horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.213992553185885,1.1018133023275245,0.8200698321981142,1.4454698988574353,0.05,TSM+LLM-COT-RF-HDELTA
5,4.648025109212513,2.155927899817736,1.5353589202106015,2.635195277337053,0.05,TSM+LLM-COT-RF-HDELTA
20,27.981087356636976,5.289715243435792,3.4466464571381166,6.213961962954061,0.05,TSM+LLM-COT-RF-HDELTA
30,56.263242784762696,7.500882800361747,5.189991866583673,9.80634294178773,0.05,TSM+LLM-COT-RF-HDELTA
1,1.205411273704587,1.0979122340627174,0.8171014088124885,1.4414543935741637,0.1,TSM+LLM-COT-RF-HDELTA
5,4.663559417236906,2.1595275912191783,1.5339740476907056,2.633992670042477,0.1,TSM+LLM-COT-RF-HDELTA
20,27.972176415767994,5.288872887087379,3.4495598087889383,6.218686827812327,0.1,TSM+LLM-COT-RF-HDELTA
30,56.23477305738479,7.498984801783825,5.184120114475582,9.795601205040501,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1954009177406932,1.0933439155822349,0.8119552597336406,1.4350810515169823,0.2,TSM+LLM-COT-RF-HDELTA
5,4.7045874573596365,2.169006098967828,1.5332395632467528,2.635224588161522,0.2,TSM+LLM-COT-RF-HDELTA
20,27.96244180744161,5.287952515619028,3.4553865120905822,6.228136557528856,0.2,TSM+LLM-COT-RF-HDELTA
30,56.18406308522604,7.495602916725648,5.173582959000898,9.77635308002242,0.2,TSM+LLM-COT-RF-HDELTA
1,1.194926832441736,1.0931270888793012,0.8122870267094723,1.438019531194443,0.3,TSM+LLM-COT-RF-HDELTA
5,4.758894729580973,2.1814891082884125,1.5361828539452982,2.6429878234695128,0.3,TSM+LLM-COT-RF-HDELTA
20,27.963490230330663,5.288051647850148,3.461322052822863,6.237778409813853,0.3,TSM+LLM-COT-RF-HDELTA
30,56.14165908986336,7.492773791451558,5.171785276042842,9.773705559912822,0.3,TSM+LLM-COT-RF-HDELTA
