model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,99,36.82544708251953,6.068397521972656,4.881097793579102,12.001553177833557
seasonal_naive,full,99,38.23850531085264,6.183729078060636,5.040013448798697,12.373440340851662
linear_ridge,full,99,112.42664615198632,10.603143220384526,8.795196196687744,22.299831711732114
linear_lasso,full,99,158.14430333641926,12.57554385847464,10.928326260602033,27.658366955441693
tsm,full,99,70.85118865966797,8.417314529418945,6.710824489593506,16.970452666282654
TSM+LLM-COT-RF-HDELTA,llm_subset,99,69.81591611832995,8.355591907120044,6.652711270998239,16.819631427138294
naive_persistence_llm_subset,llm_subset,99,36.82544708251953,6.068397521972656,4.881097793579102,12.001553177833557
seasonal_naive_llm_subset,llm_subset,99,38.23850531085264,6.183729078060636,5.040013448798697,12.373440340851662
linear_ridge_llm_subset,llm_subset,99,112.42664615198632,10.603143220384526,8.795196196687744,22.299831711732114
linear_lasso_llm_subset,llm_subset,99,158.14430333641926,12.57554385847464,10.928326260602033,27.658366955441693
tsm_llm_subset,llm_subset,99,70.85118865966797,8.417314529418945,6.710824489593506,16.970452666282654
