horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.2727272727272727,0.0,0.0,1.0,35,37,27,naive_persistence,full,99
5,0.08080808080808081,0.0,0.0,1.0,29,62,8,naive_persistence,full,99
20,0.04040404040404041,0.0,0.0,1.0,37,58,4,naive_persistence,full,99
30,0.09090909090909091,0.0,0.0,1.0,24,66,9,naive_persistence,full,99
1,0.30303030303030304,0.4,0.35135135135135137,0.1111111111111111,35,37,27,seasonal_naive,full,99
5,0.08080808080808081,0.0,0.0,1.0,29,62,8,seasonal_naive,full,99
20,0.04040404040404041,0.0,0.0,1.0,37,58,4,seasonal_naive,full,99
30,0.09090909090909091,0.0,0.0,1.0,24,66,9,seasonal_naive,full,99
1,0.3434343434343434,0.7428571428571429,0.0,0.2962962962962963,35,37,27,linear_ridge,full,99
5,0.29292929292929293,1.0,0.0,0.0,29,62,8,linear_ridge,full,99
20,0.3838383838383838,1.0,0.017241379310344827,0.0,37,58,4,linear_ridge,full,99
30,0.24242424242424243,1.0,0.0,0.0,24,66,9,linear_ridge,full,99
1,0.35353535353535354,1.0,0.0,0.0,35,37,27,linear_lasso,full,99
5,0.29292929292929293,1.0,0.0,0.0,29,62,8,linear_lasso,full,99
20,0.37373737373737376,1.0,0.0,0.0,37,58,4,linear_lasso,full,99
30,0.24242424242424243,1.0,0.0,0.0,24,66,9,linear_lasso,full,99
1,0.31313131313131315,0.22857142857142856,0.10810810810810811,0.7037037037037037,35,37,27,tsm,full,99
5,0.32323232323232326,0.8620689655172413,0.08064516129032258,0.25,29,62,8,tsm,full,99
20,0.40404040404040403,0.972972972972973,0.06896551724137931,0.0,37,58,4,tsm,full,99
30,0.29292929292929293,1.0,0.07575757575757576,0.0,24,66,9,tsm,full,99
1,0.31313131313131315,0.22857142857142856,0.10810810810810811,0.7037037037037037,35,37,27,TSM+LLM-COT-RF-HDELTA,llm_subset,99
5,0.35353535353535354,0.896551724137931,0.11290322580645161,0.25,29,62,8,TSM+LLM-COT-RF-HDELTA,llm_subset,99
20,0.41414141414141414,0.972972972972973,0.08620689655172414,0.0,37,58,4,TSM+LLM-COT-RF-HDELTA,llm_subset,99
30,0.29292929292929293,1.0,0.07575757575757576,0.0,24,66,9,TSM+LLM-COT-RF-HDELTA,llm_subset,99
1,0.2727272727272727,0.0,0.0,1.0,35,37,27,naive_persistence_llm_subset,llm_subset,99
5,0.08080808080808081,0.0,0.0,1.0,29,62,8,naive_persistence_llm_subset,llm_subset,99
20,0.04040404040404041,0.0,0.0,1.0,37,58,4,naive_persistence_llm_subset,llm_subset,99
30,0.09090909090909091,0.0,0.0,1.0,24,66,9,naive_persistence_llm_subset,llm_subset,99
1,0.30303030303030304,0.4,0.35135135135135137,0.1111111111111111,35,37,27,seasonal_naive_llm_subset,llm_subset,99
5,0.08080808080808081,0.0,0.0,1.0,29,62,8,seasonal_naive_llm_subset,llm_subset,99
20,0.04040404040404041,0.0,0.0,1.0,37,58,4,seasonal_naive_llm_subset,llm_subset,99
30,0.09090909090909091,0.0,0.0,1.0,24,66,9,seasonal_naive_llm_subset,llm_subset,99
1,0.3434343434343434,0.7428571428571429,0.0,0.2962962962962963,35,37,27,linear_ridge_llm_subset,llm_subset,99
5,0.29292929292929293,1.0,0.0,0.0,29,62,8,linear_ridge_llm_subset,llm_subset,99
20,0.3838383838383838,1.0,0.017241379310344827,0.0,37,58,4,linear_ridge_llm_subset,llm_subset,99
30,0.24242424242424243,1.0,0.0,0.0,24,66,9,linear_ridge_llm_subset,llm_subset,99
1,0.35353535353535354,1.0,0.0,0.0,35,37,27,linear_lasso_llm_subset,llm_subset,99
5,0.29292929292929293,1.0,0.0,0.0,29,62,8,linear_lasso_llm_subset,llm_subset,99
20,0.37373737373737376,1.0,0.0,0.0,37,58,4,linear_lasso_llm_subset,llm_subset,99
30,0.24242424242424243,1.0,0.0,0.0,24,66,9,linear_lasso_llm_subset,llm_subset,99
1,0.31313131313131315,0.22857142857142856,0.10810810810810811,0.7037037037037037,35,37,27,tsm_llm_subset,llm_subset,99
5,0.32323232323232326,0.8620689655172413,0.08064516129032258,0.25,29,62,8,tsm_llm_subset,llm_subset,99
20,0.40404040404040403,0.972972972972973,0.06896551724137931,0.0,37,58,4,tsm_llm_subset,llm_subset,99
30,0.29292929292929293,1.0,0.07575757575757576,0.0,24,66,9,tsm_llm_subset,llm_subset,99
