model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,100,19.872875213623047,4.457900524139404,3.104830026626587,8.036721497774124
seasonal_naive,full,100,22.120716553637653,4.703266583305442,3.304416685740153,8.60127518120715
linear_ridge,full,100,69.7337425848798,8.350673181539307,7.032321150461833,20.059469935126153
linear_lasso,full,100,119.0673339418106,10.911797924348242,9.760125442504883,27.756155648395747
tsm,full,100,17.842309951782227,4.224015712738037,2.960418939590454,7.767855376005173
TSM+LLM-COT-RF-HDELTA,llm_subset,100,17.833204270415642,4.22293787195782,2.9608864401852077,7.753175208668621
naive_persistence_llm_subset,llm_subset,100,19.872875213623047,4.457900524139404,3.104830026626587,8.036721497774124
seasonal_naive_llm_subset,llm_subset,100,22.120716553637653,4.703266583305442,3.304416685740153,8.60127518120715
linear_ridge_llm_subset,llm_subset,100,69.7337425848798,8.350673181539307,7.032321150461833,20.059469935126153
linear_lasso_llm_subset,llm_subset,100,119.0673339418106,10.911797924348242,9.760125442504883,27.756155648395747
tsm_llm_subset,llm_subset,100,17.842309951782227,4.224015712738037,2.960418939590454,7.767855376005173
