horizon,mse,rmse,mae,mape,noise_level,model
1,1.553498141008947,1.2463940552686166,0.9847636749233444,2.770797930264016,0.05,tsm
5,6.290545592633077,2.5080960094528035,1.8577465546174128,5.189139821889126,0.05,tsm
20,23.168927313083433,4.813411193019295,3.472422239971106,8.989483738575364,0.05,tsm
30,29.684780903934872,5.448374152344429,4.10506009923517,10.117754370521459,0.05,tsm
1,1.5481811235697815,1.2442592670218622,0.9859386352470798,2.7741719240610037,0.1,tsm
5,6.30732954166513,2.511439734826446,1.858486769207969,5.190075065416311,0.1,tsm
20,23.10802055135862,4.807080252227814,3.4707350535515658,8.984342933592693,0.1,tsm
30,29.702491387286603,5.44999920984275,4.1086530086815225,10.131120800956737,0.1,tsm
1,1.5460178004583403,1.2433896414472578,0.9887409241380613,2.782225071047656,0.2,tsm
5,6.352002472454696,2.5203179308283103,1.8689166513381357,5.2190240762912055,0.2,tsm
20,22.995295521201314,4.795341022409284,3.4692736323557885,8.979479947855395,0.2,tsm
30,29.74763261553081,5.454139035221857,4.115838827574225,10.157853661827291,0.2,tsm
1,1.5551487586912527,1.2470560367085566,0.993366814303082,2.795030360664499,0.3,tsm
5,6.411482120679151,2.5320904645527875,1.8817867228820597,5.2553197216539465,0.3,tsm
20,22.894688464232626,4.784839439754758,3.469249233918402,8.97858329168171,0.3,tsm
30,29.805734207648758,5.459462813102472,4.124826843205112,10.189777716277412,0.3,tsm
1,1.5534635753195376,1.2463801889148982,0.9845817549636459,2.7702972997790996,0.05,TSM+LLM-COT-RF-HDELTA
5,6.32295758729832,2.5145491817219088,1.8775294138572338,5.241309455225991,0.05,TSM+LLM-COT-RF-HDELTA
20,23.145658495607613,4.810993504008046,3.4777513557168738,8.981950539488505,0.05,TSM+LLM-COT-RF-HDELTA
30,29.758508394851265,5.455135964836373,4.090052317340094,10.04742684424022,0.05,TSM+LLM-COT-RF-HDELTA
1,1.5479200284436545,1.244154342693725,0.9855747953276821,2.773170663091169,0.1,TSM+LLM-COT-RF-HDELTA
5,6.337557514267251,2.5174505981780957,1.8767141305060635,5.237876275191298,0.1,TSM+LLM-COT-RF-HDELTA
20,23.08282612881975,4.8044589839876615,3.47585919126926,8.976194100158551,0.1,TSM+LLM-COT-RF-HDELTA
30,29.77152410764838,5.456328812273723,4.091309997915664,10.054201565082762,0.1,TSM+LLM-COT-RF-HDELTA
1,1.5447277552168608,1.242870771728445,0.98773110700068,2.7794085349711497,0.2,TSM+LLM-COT-RF-HDELTA
5,6.377127396237208,2.5252974866809668,1.8844633689804657,5.258844285316711,0.2,TSM+LLM-COT-RF-HDELTA
20,22.965756065881582,4.792260016514294,3.472074862374029,8.96468122149863,0.2,TSM+LLM-COT-RF-HDELTA
30,29.8066126815219,5.459543266750608,4.094228399893627,10.068912173110277,0.2,TSM+LLM-COT-RF-HDELTA
1,1.5520619093566896,1.2458177673145818,0.9922843723681569,2.791825575437777,0.3,TSM+LLM-COT-RF-HDELTA
5,6.430523982249954,2.5358477837303157,1.897460742700664,5.295613537529579,0.3,TSM+LLM-COT-RF-HDELTA
20,22.86014556379347,4.781228457603074,3.469509476437857,8.956533077101305,0.3,TSM+LLM-COT-RF-HDELTA
30,29.85377745310114,5.463861038963302,4.10036726460302,10.092656631903541,0.3,TSM+LLM-COT-RF-HDELTA
