horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.4752475247524752,0.0,0.0,1.0,20,33,48,naive_persistence,full,101
5,0.24752475247524752,0.0,0.0,1.0,29,47,25,naive_persistence,full,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,naive_persistence,full,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,naive_persistence,full,101
1,0.3564356435643564,0.55,0.3939393939393939,0.25,20,33,48,seasonal_naive,full,101
5,0.24752475247524752,0.0,0.0,1.0,29,47,25,seasonal_naive,full,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,seasonal_naive,full,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,seasonal_naive,full,101
1,0.40594059405940597,0.2,0.0,0.7708333333333334,20,33,48,linear_ridge,full,101
5,0.2871287128712871,1.0,0.0,0.0,29,47,25,linear_ridge,full,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_ridge,full,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_ridge,full,101
1,0.19801980198019803,1.0,0.0,0.0,20,33,48,linear_lasso,full,101
5,0.2871287128712871,1.0,0.0,0.0,29,47,25,linear_lasso,full,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_lasso,full,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_lasso,full,101
1,0.40594059405940597,0.25,0.09090909090909091,0.6875,20,33,48,tsm,full,101
5,0.4158415841584158,0.8620689655172413,0.06382978723404255,0.56,29,47,25,tsm,full,101
20,0.37623762376237624,1.0,0.017857142857142856,0.2727272727272727,34,56,11,tsm,full,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,tsm,full,101
1,0.40594059405940597,0.25,0.09090909090909091,0.6875,20,33,48,TSM+LLM-COT-RF-HDELTA,llm_subset,101
5,0.39603960396039606,0.8620689655172413,0.0425531914893617,0.52,29,47,25,TSM+LLM-COT-RF-HDELTA,llm_subset,101
20,0.3465346534653465,1.0,0.0,0.09090909090909091,34,56,11,TSM+LLM-COT-RF-HDELTA,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,TSM+LLM-COT-RF-HDELTA,llm_subset,101
1,0.4752475247524752,0.0,0.0,1.0,20,33,48,naive_persistence_llm_subset,llm_subset,101
5,0.24752475247524752,0.0,0.0,1.0,29,47,25,naive_persistence_llm_subset,llm_subset,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,naive_persistence_llm_subset,llm_subset,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,naive_persistence_llm_subset,llm_subset,101
1,0.3564356435643564,0.55,0.3939393939393939,0.25,20,33,48,seasonal_naive_llm_subset,llm_subset,101
5,0.24752475247524752,0.0,0.0,1.0,29,47,25,seasonal_naive_llm_subset,llm_subset,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,seasonal_naive_llm_subset,llm_subset,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,seasonal_naive_llm_subset,llm_subset,101
1,0.40594059405940597,0.2,0.0,0.7708333333333334,20,33,48,linear_ridge_llm_subset,llm_subset,101
5,0.2871287128712871,1.0,0.0,0.0,29,47,25,linear_ridge_llm_subset,llm_subset,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_ridge_llm_subset,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_ridge_llm_subset,llm_subset,101
1,0.19801980198019803,1.0,0.0,0.0,20,33,48,linear_lasso_llm_subset,llm_subset,101
5,0.2871287128712871,1.0,0.0,0.0,29,47,25,linear_lasso_llm_subset,llm_subset,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_lasso_llm_subset,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_lasso_llm_subset,llm_subset,101
1,0.40594059405940597,0.25,0.09090909090909091,0.6875,20,33,48,tsm_llm_subset,llm_subset,101
5,0.4158415841584158,0.8620689655172413,0.06382978723404255,0.56,29,47,25,tsm_llm_subset,llm_subset,101
20,0.37623762376237624,1.0,0.017857142857142856,0.2727272727272727,34,56,11,tsm_llm_subset,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,tsm_llm_subset,llm_subset,101
