horizon,mse,rmse,mae,mape,noise_level,model
1,1.3339846467973109,1.1549825309489796,0.8818721412337802,1.564018363074002,0.05,tsm
5,5.7828989945554605,2.4047658918396735,1.7561504076340644,3.040927377354905,0.05,tsm
20,40.48143684707793,6.362502404485041,4.375528825242813,7.80423043409102,0.05,tsm
30,65.82121866835904,8.113027712781403,5.784469606715021,10.825352915441616,0.05,tsm
1,1.3330832906029266,1.154592261624391,0.8810475175617599,1.5633302204091382,0.1,tsm
5,5.78124256924273,2.4044214624817193,1.758251434647807,3.045188827477542,0.1,tsm
20,40.465878177322864,6.361279602196626,4.373455841513796,7.7996681993613315,0.1,tsm
30,65.84542169624676,8.114519190700504,5.788822125536026,10.833904915647587,0.1,tsm
1,1.3433593068273408,1.1590337815729708,0.8820258377119169,1.5671801290741996,0.2,tsm
5,5.7896941904933605,2.4061783372172063,1.7624534886752938,3.053711727722818,0.2,tsm
20,40.44543703729485,6.359672714636725,4.369354592513308,7.7906229336838315,0.2,tsm
30,65.9046759876722,8.118169497348045,5.797666753960872,10.85125389813036,0.2,tsm
1,1.3697402984037683,1.1703590467902438,0.8855219866782273,1.5759293870973707,0.3,tsm
5,5.813831775846443,2.411188871873467,1.7671201226099198,3.0631007737703917,0.3,tsm
20,40.439230829665284,6.359184761403405,4.365656640177097,7.782291972850716,0.3,tsm
30,65.97839460139181,8.122708575431709,5.809348676900428,10.873946009704655,0.3,tsm
1,1.3342331636837548,1.155090110633692,0.881819421713877,1.5639883161709918,0.05,TSM+LLM-COT-RF-HDELTA
5,6.032707545688091,2.456157068611063,1.8224409869749212,3.1641856622595284,0.05,TSM+LLM-COT-RF-HDELTA
20,40.94718601504506,6.398998829117338,4.41993119379924,7.892602300795981,0.05,TSM+LLM-COT-RF-HDELTA
30,66.41778357314392,8.1497106435225,5.857600027874139,10.961270579425484,0.05,TSM+LLM-COT-RF-HDELTA
1,1.3341755099208141,1.1550651539721966,0.8809472279114234,1.5632690643068852,0.1,TSM+LLM-COT-RF-HDELTA
5,6.030401492779627,2.455687580450662,1.824110165961358,3.16755064530157,0.1,TSM+LLM-COT-RF-HDELTA
20,40.92465935709172,6.397238416464695,4.416482019256862,7.885463006564016,0.1,TSM+LLM-COT-RF-HDELTA
30,66.45252177016839,8.151841618319654,5.863691424940086,10.973208670610218,0.1,TSM+LLM-COT-RF-HDELTA
1,1.3479244876431191,1.161001501998649,0.8828913175727897,1.5691567224632201,0.2,TSM+LLM-COT-RF-HDELTA
5,6.039284835379111,2.4574956430030777,1.8274485239342322,3.1742806113856554,0.2,TSM+LLM-COT-RF-HDELTA
20,40.89193201076012,6.394679977196679,4.413352419662626,7.878480698913492,0.2,TSM+LLM-COT-RF-HDELTA
30,66.53478725495057,8.15688587973073,5.876278992785885,10.997795231563684,0.2,TSM+LLM-COT-RF-HDELTA
1,1.3801591790296703,1.1748017615877457,0.8868601195681646,1.5789522728967929,0.3,TSM+LLM-COT-RF-HDELTA
5,6.066162109200483,2.4629579998856017,1.8318873502620994,3.1829760504506353,0.3,TSM+LLM-COT-RF-HDELTA
20,40.875639290528646,6.393405922552442,4.411493621813687,7.873746048450195,0.3,TSM+LLM-COT-RF-HDELTA
30,66.63410486071042,8.16297157049505,5.89043906819628,11.02526225914559,0.3,TSM+LLM-COT-RF-HDELTA
