horizon,mse,rmse,mae,mape,model
1,0.00546671636402607,0.07393724471330643,0.048562176525592804,98.98979067802429,naive_persistence
5,0.009477509185671806,0.09735249727964401,0.080058254301548,99.99997019767761,naive_persistence
20,0.029932385310530663,0.17300978302955627,0.14859814941883087,99.99999403953552,naive_persistence
30,0.011216919869184494,0.10590995848178864,0.08642493188381195,99.99992251396179,naive_persistence
1,0.009496859054468893,0.09745182940544982,0.07991458011259905,9611213.09681807,seasonal_naive
5,0.009477508940457402,0.09735249837809712,0.08005824965081468,99.99996454018863,seasonal_naive
20,0.029932387574044067,0.17300979039939926,0.14859815698229895,99.99998370249781,seasonal_naive
30,0.011216919996626374,0.10590996174405114,0.0864249346918905,99.99990917297801,seasonal_naive
1,0.005598624474172617,0.07482395655251477,0.050958442720167994,1827327.6814465923,linear_ridge
5,0.011895956071473871,0.10906858425538433,0.09727013964694849,252.3961362193067,linear_ridge
20,0.07044130666357629,0.26540781198671654,0.23097513830953262,322.4255987155831,linear_ridge
30,0.10581631015618208,0.32529419016665834,0.3097960460255908,2391.1659714805596,linear_ridge
1,0.008693341321609847,0.09323808943564774,0.0763531779052666,7531064.776877888,linear_lasso
5,0.021237487667286722,0.1457308741045861,0.12926647587008078,399.68191317048445,linear_lasso
20,0.09460185364995652,0.30757414333775934,0.2811520521372976,403.46484450170897,linear_lasso
30,0.136434343773871,0.3693701988166763,0.35517731083081255,2822.4971503366523,linear_lasso
1,0.005874247755855322,0.07664363831281662,0.05206774175167084,111880.84716796875,tsm
5,0.009015827439725399,0.09495171159505844,0.08220498263835907,168.511700630188,tsm
20,0.05238141864538193,0.22886987030506134,0.18886803090572357,230.3187608718872,tsm
30,0.052763644605875015,0.2297033816576004,0.20316939055919647,1067.609977722168,tsm
1,0.005874247909020816,0.07664364232616308,0.05206774583270449,111877.99074335195,TSM+LLM-COT-RF-HDELTA
5,0.008904624939094087,0.09436432026509854,0.0813390675338966,161.1391303814658,TSM+LLM-COT-RF-HDELTA
20,0.04996600103477831,0.2235307608244966,0.18336283408511095,219.34908246494334,TSM+LLM-COT-RF-HDELTA
30,0.05000517707356921,0.22361837373876328,0.19733599724726616,1001.9042018644762,TSM+LLM-COT-RF-HDELTA
1,0.00546671636402607,0.07393724471330643,0.048562176525592804,98.98979067802429,naive_persistence_llm_subset
5,0.009477509185671806,0.09735249727964401,0.080058254301548,99.99997019767761,naive_persistence_llm_subset
20,0.029932385310530663,0.17300978302955627,0.14859814941883087,99.99999403953552,naive_persistence_llm_subset
30,0.011216919869184494,0.10590995848178864,0.08642493188381195,99.99992251396179,naive_persistence_llm_subset
1,0.009496859054468893,0.09745182940544982,0.07991458011259905,9611213.09681807,seasonal_naive_llm_subset
5,0.009477508940457402,0.09735249837809712,0.08005824965081468,99.99996454018863,seasonal_naive_llm_subset
20,0.029932387574044067,0.17300979039939926,0.14859815698229895,99.99998370249781,seasonal_naive_llm_subset
30,0.011216919996626374,0.10590996174405114,0.0864249346918905,99.99990917297801,seasonal_naive_llm_subset
1,0.005598624474172617,0.07482395655251477,0.050958442720167994,1827327.6814465923,linear_ridge_llm_subset
5,0.011895956071473871,0.10906858425538433,0.09727013964694849,252.3961362193067,linear_ridge_llm_subset
20,0.07044130666357629,0.26540781198671654,0.23097513830953262,322.4255987155831,linear_ridge_llm_subset
30,0.10581631015618208,0.32529419016665834,0.3097960460255908,2391.1659714805596,linear_ridge_llm_subset
1,0.008693341321609847,0.09323808943564774,0.0763531779052666,7531064.776877888,linear_lasso_llm_subset
5,0.021237487667286722,0.1457308741045861,0.12926647587008078,399.68191317048445,linear_lasso_llm_subset
20,0.09460185364995652,0.30757414333775934,0.2811520521372976,403.46484450170897,linear_lasso_llm_subset
30,0.136434343773871,0.3693701988166763,0.35517731083081255,2822.4971503366523,linear_lasso_llm_subset
1,0.005874247755855322,0.07664363831281662,0.05206774175167084,111880.84716796875,tsm_llm_subset
5,0.009015827439725399,0.09495171159505844,0.08220498263835907,168.511700630188,tsm_llm_subset
20,0.05238141864538193,0.22886987030506134,0.18886803090572357,230.3187608718872,tsm_llm_subset
30,0.052763644605875015,0.2297033816576004,0.20316939055919647,1067.609977722168,tsm_llm_subset
