horizon,mse,rmse,mae,mape,model,subset,n_samples
1,10.207490921020508,3.1949164867401123,2.0836362838745117,4.891834408044815,naive_persistence,full,99
5,17.56981658935547,4.191636562347412,3.4211111068725586,8.015180379152298,naive_persistence,full,99
20,52.669944763183594,7.257406234741211,6.225253105163574,15.582063794136047,naive_persistence,full,99
30,20.051403045654297,4.477879524230957,3.5999996662139893,9.04703140258789,naive_persistence,full,99
1,17.73555280799058,4.211359971314561,3.43444446602253,8.000078425732866,seasonal_naive,full,99
5,17.569816530603507,4.191636497909081,3.421111251368667,8.01518054885639,seasonal_naive,full,99
20,52.66994345059099,7.257406110353133,6.225252671675249,15.582062339678165,seasonal_naive,full,99
30,20.051403328638337,4.477879333863111,3.5999998998160314,9.04703206809149,seasonal_naive,full,99
1,10.541019745330848,3.2466936636108508,2.1988305371217054,5.193546442358659,linear_ridge,full,99
5,22.952153692784105,4.790840603984243,4.276485674309008,10.207271368899514,linear_ridge,full,99
20,144.57938776296655,12.024116922375903,10.506197380297111,27.059448484202843,linear_ridge,full,99
30,229.44568140890212,15.147464520800243,14.569535033871428,36.98539099154837,linear_ridge,full,99
1,16.51809287106623,4.064245670609274,3.3333489774453517,8.023191962995615,linear_lasso,full,99
5,41.84821661608514,6.469019756971309,5.775297954829052,14.021928165246662,linear_lasso,full,99
20,202.28813149102652,14.222803221975143,13.094212695805714,33.49577993678554,linear_lasso,full,99
30,309.8273323525882,17.601912746988273,17.10913833464035,43.37864537003336,linear_lasso,full,99
1,10.897418022155762,3.301123857498169,2.2348766326904297,5.2502695471048355,tsm,full,99
5,17.123708724975586,4.13808012008667,3.5668399333953857,8.408869802951813,tsm,full,99
20,102.44208526611328,10.121367454528809,8.367731094360352,21.71882688999176,tsm,full,99
30,103.96688842773438,10.196415901184082,9.060657501220703,23.208007216453552,tsm,full,99
1,10.897419067718515,3.3011239097795944,2.2348765363596907,5.250269264537398,TSM+LLM-COT-RF-HDELTA,llm_subset,99
5,16.86184140574092,4.106317255856021,3.5228371134671304,8.295976105433008,TSM+LLM-COT-RF-HDELTA,llm_subset,99
20,96.95566031437689,9.846606538009777,8.09275663354662,21.01178952929593,TSM+LLM-COT-RF-HDELTA,llm_subset,99
30,97.71935652708041,9.88531013813327,8.767208148089324,22.45940261614096,TSM+LLM-COT-RF-HDELTA,llm_subset,99
1,10.207490921020508,3.1949164867401123,2.0836362838745117,4.891834408044815,naive_persistence_llm_subset,llm_subset,99
5,17.56981658935547,4.191636562347412,3.4211111068725586,8.015180379152298,naive_persistence_llm_subset,llm_subset,99
20,52.669944763183594,7.257406234741211,6.225253105163574,15.582063794136047,naive_persistence_llm_subset,llm_subset,99
30,20.051403045654297,4.477879524230957,3.5999996662139893,9.04703140258789,naive_persistence_llm_subset,llm_subset,99
1,17.73555280799058,4.211359971314561,3.43444446602253,8.000078425732866,seasonal_naive_llm_subset,llm_subset,99
5,17.569816530603507,4.191636497909081,3.421111251368667,8.01518054885639,seasonal_naive_llm_subset,llm_subset,99
20,52.66994345059099,7.257406110353133,6.225252671675249,15.582062339678165,seasonal_naive_llm_subset,llm_subset,99
30,20.051403328638337,4.477879333863111,3.5999998998160314,9.04703206809149,seasonal_naive_llm_subset,llm_subset,99
1,10.541019745330848,3.2466936636108508,2.1988305371217054,5.193546442358659,linear_ridge_llm_subset,llm_subset,99
5,22.952153692784105,4.790840603984243,4.276485674309008,10.207271368899514,linear_ridge_llm_subset,llm_subset,99
20,144.57938776296655,12.024116922375903,10.506197380297111,27.059448484202843,linear_ridge_llm_subset,llm_subset,99
30,229.44568140890212,15.147464520800243,14.569535033871428,36.98539099154837,linear_ridge_llm_subset,llm_subset,99
1,16.51809287106623,4.064245670609274,3.3333489774453517,8.023191962995615,linear_lasso_llm_subset,llm_subset,99
5,41.84821661608514,6.469019756971309,5.775297954829052,14.021928165246662,linear_lasso_llm_subset,llm_subset,99
20,202.28813149102652,14.222803221975143,13.094212695805714,33.49577993678554,linear_lasso_llm_subset,llm_subset,99
30,309.8273323525882,17.601912746988273,17.10913833464035,43.37864537003336,linear_lasso_llm_subset,llm_subset,99
1,10.897418022155762,3.301123857498169,2.2348766326904297,5.2502695471048355,tsm_llm_subset,llm_subset,99
5,17.123708724975586,4.13808012008667,3.5668399333953857,8.408869802951813,tsm_llm_subset,llm_subset,99
20,102.44208526611328,10.121367454528809,8.367731094360352,21.71882688999176,tsm_llm_subset,llm_subset,99
30,103.96688842773438,10.196415901184082,9.060657501220703,23.208007216453552,tsm_llm_subset,llm_subset,99
