horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.55,0.5581395348837209,0.6176470588235294,0.43478260869565216,43,34,23,0.02,18,naive_persistence,full,100
20,0.5,0.4807692307692308,0.6538461538461539,0.36363636363636365,52,26,22,0.02,18,naive_persistence,full,100
30,0.51,0.47692307692307695,0.7142857142857143,0.35714285714285715,65,21,14,0.02,18,naive_persistence,full,100
10,0.55,0.5581395348837209,0.6176470588235294,0.43478260869565216,43,34,23,0.02,18,seasonal_naive,full,100
20,0.5,0.4807692307692308,0.6538461538461539,0.36363636363636365,52,26,22,0.02,18,seasonal_naive,full,100
30,0.51,0.47692307692307695,0.7142857142857143,0.35714285714285715,65,21,14,0.02,18,seasonal_naive,full,100
10,0.49,1.0,0.17647058823529413,0.0,43,34,23,0.02,18,linear_ridge,full,100
20,0.52,1.0,0.0,0.0,52,26,22,0.02,18,linear_ridge,full,100
30,0.65,1.0,0.0,0.0,65,21,14,0.02,18,linear_ridge,full,100
10,0.43,1.0,0.0,0.0,43,34,23,0.02,18,linear_lasso,full,100
20,0.52,1.0,0.0,0.0,52,26,22,0.02,18,linear_lasso,full,100
30,0.65,1.0,0.0,0.0,65,21,14,0.02,18,linear_lasso,full,100
10,0.55,0.6744186046511628,0.5882352941176471,0.2608695652173913,43,34,23,0.02,18,tsm,full,100
20,0.57,0.7884615384615384,0.46153846153846156,0.18181818181818182,52,26,22,0.02,18,tsm,full,100
30,0.64,0.8307692307692308,0.47619047619047616,0.0,65,21,14,0.02,18,tsm,full,100
10,0.52,0.627906976744186,0.5882352941176471,0.21739130434782608,43,34,23,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,100
20,0.56,0.7115384615384616,0.5384615384615384,0.22727272727272727,52,26,22,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,100
30,0.62,0.7692307692307693,0.47619047619047616,0.14285714285714285,65,21,14,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,100
10,0.55,0.5581395348837209,0.6176470588235294,0.43478260869565216,43,34,23,0.02,18,naive_persistence_llm_subset,llm_subset,100
20,0.5,0.4807692307692308,0.6538461538461539,0.36363636363636365,52,26,22,0.02,18,naive_persistence_llm_subset,llm_subset,100
30,0.51,0.47692307692307695,0.7142857142857143,0.35714285714285715,65,21,14,0.02,18,naive_persistence_llm_subset,llm_subset,100
10,0.55,0.5581395348837209,0.6176470588235294,0.43478260869565216,43,34,23,0.02,18,seasonal_naive_llm_subset,llm_subset,100
20,0.5,0.4807692307692308,0.6538461538461539,0.36363636363636365,52,26,22,0.02,18,seasonal_naive_llm_subset,llm_subset,100
30,0.51,0.47692307692307695,0.7142857142857143,0.35714285714285715,65,21,14,0.02,18,seasonal_naive_llm_subset,llm_subset,100
10,0.49,1.0,0.17647058823529413,0.0,43,34,23,0.02,18,linear_ridge_llm_subset,llm_subset,100
20,0.52,1.0,0.0,0.0,52,26,22,0.02,18,linear_ridge_llm_subset,llm_subset,100
30,0.65,1.0,0.0,0.0,65,21,14,0.02,18,linear_ridge_llm_subset,llm_subset,100
10,0.43,1.0,0.0,0.0,43,34,23,0.02,18,linear_lasso_llm_subset,llm_subset,100
20,0.52,1.0,0.0,0.0,52,26,22,0.02,18,linear_lasso_llm_subset,llm_subset,100
30,0.65,1.0,0.0,0.0,65,21,14,0.02,18,linear_lasso_llm_subset,llm_subset,100
10,0.55,0.6744186046511628,0.5882352941176471,0.2608695652173913,43,34,23,0.02,18,tsm_llm_subset,llm_subset,100
20,0.57,0.7884615384615384,0.46153846153846156,0.18181818181818182,52,26,22,0.02,18,tsm_llm_subset,llm_subset,100
30,0.64,0.8307692307692308,0.47619047619047616,0.0,65,21,14,0.02,18,tsm_llm_subset,llm_subset,100
