horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.4752475247524752,0.0,0.0,1.0,20,33,48,naive_persistence,full,101
5,0.2376237623762376,0.0,0.0,1.0,30,47,24,naive_persistence,full,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,naive_persistence,full,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,naive_persistence,full,101
1,0.3564356435643564,0.5,0.42424242424242425,0.25,20,33,48,seasonal_naive,full,101
5,0.2376237623762376,0.0,0.0,1.0,30,47,24,seasonal_naive,full,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,seasonal_naive,full,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,seasonal_naive,full,101
1,0.3564356435643564,0.3,0.0,0.625,20,33,48,linear_ridge,full,101
5,0.297029702970297,1.0,0.0,0.0,30,47,24,linear_ridge,full,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_ridge,full,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_ridge,full,101
1,0.19801980198019803,1.0,0.0,0.0,20,33,48,linear_lasso,full,101
5,0.297029702970297,1.0,0.0,0.0,30,47,24,linear_lasso,full,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_lasso,full,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_lasso,full,101
1,0.31683168316831684,0.4,0.0,0.5,20,33,48,tsm,full,101
5,0.3465346534653465,0.8,0.0,0.4583333333333333,30,47,24,tsm,full,101
20,0.3564356435643564,1.0,0.0,0.18181818181818182,34,56,11,tsm,full,101
30,0.25742574257425743,0.896551724137931,0.0,0.0,29,63,9,tsm,full,101
1,0.31683168316831684,0.4,0.0,0.5,20,33,48,TSM+LLM-COT-RF-HDELTA,llm_subset,101
5,0.36633663366336633,0.8333333333333334,0.0,0.5,30,47,24,TSM+LLM-COT-RF-HDELTA,llm_subset,101
20,0.36633663366336633,1.0,0.0,0.2727272727272727,34,56,11,TSM+LLM-COT-RF-HDELTA,llm_subset,101
30,0.3069306930693069,0.9655172413793104,0.015873015873015872,0.2222222222222222,29,63,9,TSM+LLM-COT-RF-HDELTA,llm_subset,101
1,0.4752475247524752,0.0,0.0,1.0,20,33,48,naive_persistence_llm_subset,llm_subset,101
5,0.2376237623762376,0.0,0.0,1.0,30,47,24,naive_persistence_llm_subset,llm_subset,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,naive_persistence_llm_subset,llm_subset,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,naive_persistence_llm_subset,llm_subset,101
1,0.3564356435643564,0.5,0.42424242424242425,0.25,20,33,48,seasonal_naive_llm_subset,llm_subset,101
5,0.2376237623762376,0.0,0.0,1.0,30,47,24,seasonal_naive_llm_subset,llm_subset,101
20,0.10891089108910891,0.0,0.0,1.0,34,56,11,seasonal_naive_llm_subset,llm_subset,101
30,0.0891089108910891,0.0,0.0,1.0,29,63,9,seasonal_naive_llm_subset,llm_subset,101
1,0.3564356435643564,0.3,0.0,0.625,20,33,48,linear_ridge_llm_subset,llm_subset,101
5,0.297029702970297,1.0,0.0,0.0,30,47,24,linear_ridge_llm_subset,llm_subset,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_ridge_llm_subset,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_ridge_llm_subset,llm_subset,101
1,0.19801980198019803,1.0,0.0,0.0,20,33,48,linear_lasso_llm_subset,llm_subset,101
5,0.297029702970297,1.0,0.0,0.0,30,47,24,linear_lasso_llm_subset,llm_subset,101
20,0.33663366336633666,1.0,0.0,0.0,34,56,11,linear_lasso_llm_subset,llm_subset,101
30,0.2871287128712871,1.0,0.0,0.0,29,63,9,linear_lasso_llm_subset,llm_subset,101
1,0.31683168316831684,0.4,0.0,0.5,20,33,48,tsm_llm_subset,llm_subset,101
5,0.3465346534653465,0.8,0.0,0.4583333333333333,30,47,24,tsm_llm_subset,llm_subset,101
20,0.3564356435643564,1.0,0.0,0.18181818181818182,34,56,11,tsm_llm_subset,llm_subset,101
30,0.25742574257425743,0.896551724137931,0.0,0.0,29,63,9,tsm_llm_subset,llm_subset,101
