horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,101,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,21,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.001821688362247412,0.0228756674396828,0.0796343261699678,0.5148514851485149,1.0,101,0.0,1,101,101,1.0,0.002085052215357386,0.0228669655936262,1.4474669872134442,0.5148514851485149,0.20200443355389175,0.5825943075458395,0.18790327079170777,0.002085052215357386,0.0228669655936262,1.4474669872134442,0.20200443355389175,0.5825943075458395,0.18790327079170777,0.002085052215357386,0.0228669655936262,1.4474669872134442,0.5148514851485149,1.0,101.0,0.20200443355389175,0.5825943075458395,0.18790327079170777,0.002085052215357386,0.0228669655936262,1.4474669872134442,0.20200443355389175,0.5825943075458395,0.18790327079170777,0.20200443355389175,0.20200443355389175,0.20200443355389175,0.20200443355389175,seasonal_naive
5,0.0011622583410601215,0.0420559780009495,0.02763598414080113,0.5050505050505051,0.9801980198019802,99,0.0,5,21,20,0.9523809523809523,0.012348026743844524,0.03935848076708191,2.2272783895113175,0.7,0.2735179263719665,0.7865375559027814,0.09052433408022287,0.012348026743844524,0.03935848076708191,2.2272783895113175,0.2735179263719665,0.7865375559027814,0.09052433408022287,0.0019464910559708118,0.041098920553020245,0.39507752116136186,0.5052631578947369,0.9804761904761904,19.8,0.03959716177240517,0.1541304779252998,0.13864465040677793,0.0019464910559708118,0.041098920553020245,0.39507752116136186,0.03959716177240517,0.1541304779252998,0.13864465040677793,-0.22268702146880603,0.2735179263719665,-0.22268702146880603,0.2735179263719665,seasonal_naive
20,0.017264910088390997,0.08082093056594647,0.21361929351090012,0.5656565656565656,0.9801980198019802,99,0.0,20,6,6,1.0,0.0430992458725458,0.0780729114383884,1.9595419651382566,0.5,0.26730737022129003,0.6445690668068889,0.04432675326977198,0.0430992458725458,0.0780729114383884,1.9595419651382566,0.26730737022129003,0.6445690668068889,0.04432675326977198,0.020516972884568167,0.0751834209206232,1.3306061110151228,0.5625000000000001,0.9800000000000001,4.95,0.10000494668375612,0.3014372070871677,0.0573434091682285,0.020516972884568167,0.0751834209206232,1.3306061110151228,0.10000494668375612,0.3014372070871677,0.0573434091682285,-0.19072638371243245,0.36960757675989764,-0.19072638371243245,0.36960757675989764,seasonal_naive
30,0.014156174186690905,0.08582637037283092,0.16493968141954846,0.5454545454545454,0.9801980198019802,99,0.0,30,4,4,1.0,0.08201510263439385,0.0986852597575491,2.408691539288324,0.75,0.348033421806756,0.8722825325910428,0.04520933909612157,0.08201510263439385,0.0986852597575491,2.408691539288324,0.348033421806756,0.8722825325910428,0.04520933909612157,0.018515086861038175,0.07325338380542439,1.9350009870181306,0.5555555555555555,0.9833333333333333,3.3,0.05569378290870074,0.17705971801623507,0.06338427461534045,0.018515086861038175,0.07325338380542439,1.9350009870181306,0.05569378290870074,0.17705971801623507,0.06338427461534045,-0.10949064491275673,0.35600100861599926,-0.10949064491275673,0.35600100861599926,seasonal_naive
1,-0.0017531037893685705,0.02288102568513512,-0.0766182344049153,0.44554455445544555,1.0,101,0.0,1,101,101,1.0,-0.0014900315766677972,0.022875213965710624,-1.0340239011724575,0.44554455445544555,-0.16227339833359034,-0.35711032944685417,0.22728933309217192,-0.0014900315766677972,0.022875213965710624,-1.0340239011724575,-0.16227339833359034,-0.35711032944685417,0.22728933309217192,-0.0014900315766677972,0.022875213965710624,-1.0340239011724575,0.44554455445544555,1.0,101.0,-0.16227339833359034,-0.35711032944685417,0.22728933309217192,-0.0014900315766677972,0.022875213965710624,-1.0340239011724575,-0.16227339833359034,-0.35711032944685417,0.22728933309217192,-0.16227339833359034,-0.16227339833359034,-0.16227339833359034,-0.16227339833359034,linear_ridge
5,-0.009621617020024816,0.04279682654266524,-0.2248208055901711,0.4158415841584158,1.0,101,0.0,5,21,21,1.0,-0.00818598526930226,0.045713385405752,-1.2712847633562494,0.38095238095238093,-0.17705601567289475,-0.3735467599216442,0.19454482758410396,-0.00818598526930226,0.045713385405752,-1.2712847633562494,-0.17705601567289475,-0.3735467599216442,0.19454482758410396,-0.008675687899313812,0.042005815677750045,-1.480091856081569,0.4161904761904762,1.0,20.2,-0.17658560700871967,-0.38410503927587336,0.16004709444310453,-0.008675687899313812,0.042005815677750045,-1.480091856081569,-0.17658560700871967,-0.38410503927587336,0.16004709444310453,-0.19072630419762837,-0.16275464002656959,-0.19072630419762837,-0.16275464002656959,linear_ridge
