model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,98,27.898378372192383,5.281891345977783,4.087037086486816,9.173506498336792
seasonal_naive,full,98,29.680926014975306,5.448020375785622,4.272309495316071,9.598034761480296
linear_ridge,full,98,14.598161377869793,3.82075403263149,2.9982592161009913,6.727021743005303
linear_lasso,full,98,13.212288263338808,3.6348711481067397,2.856496400898006,6.54784421488502
tsm,full,98,17.49633026123047,4.182861328125,3.238682746887207,7.259970158338547
TSM+LLM-COT-RF-HDELTA,llm_subset,98,17.330641419520354,4.163008697987593,3.1914755160640533,7.16923183765969
naive_persistence_llm_subset,llm_subset,98,27.898378372192383,5.281891345977783,4.087037086486816,9.173506498336792
seasonal_naive_llm_subset,llm_subset,98,29.680926014975306,5.448020375785622,4.272309495316071,9.598034761480296
linear_ridge_llm_subset,llm_subset,98,14.598161377869793,3.82075403263149,2.9982592161009913,6.727021743005303
linear_lasso_llm_subset,llm_subset,98,13.212288263338808,3.6348711481067397,2.856496400898006,6.54784421488502
tsm_llm_subset,llm_subset,98,17.49633026123047,4.182861328125,3.238682746887207,7.259970158338547
