horizon,mse,rmse,mae,mape,noise_level,model
1,1.3873245398137213,1.17784741788303,0.8765546622222018,1.5528952563712495,0.05,tsm
5,5.1532566104016215,2.270078547187657,1.61429309638481,2.7797297735867486,0.05,tsm
20,36.572867760840985,6.047550558766829,3.870194835975041,6.974434239335199,0.05,tsm
30,64.8759923068411,8.054563446074598,5.380940763565025,10.236344264112494,0.05,tsm
1,1.3872370100215545,1.1778102606199161,0.8750426166107977,1.5509985558282862,0.1,tsm
5,5.159596922244095,2.2714746140435063,1.6142336229259895,2.780410768180354,0.1,tsm
20,36.57391979673317,6.047637538471793,3.872844941445728,6.978991174328336,0.1,tsm
30,64.85592479063233,8.053317626334648,5.376631462068266,10.228458299872853,0.1,tsm
1,1.3929375239395598,1.1802277424037955,0.8750051908672312,1.552266854165588,0.2,tsm
5,5.179008194997481,2.2757434378676082,1.6153186757706242,2.783909232841443,0.2,tsm
20,36.58199877634982,6.0483054466808985,3.878181114236287,6.988170180788616,0.2,tsm
30,64.82140763361174,8.051174301529668,5.368012859074753,10.212686371393575,0.2,tsm
1,1.4064721362751966,1.1859477797420916,0.8807093834770714,1.5636597132219006,0.3,tsm
5,5.207393673998488,2.2819714446062833,1.6170406988483814,2.788604049990129,0.3,tsm
20,36.598044293762136,6.04963174860769,3.8836555760203435,6.997599665617408,0.3,tsm
30,64.79438097932196,8.049495697205009,5.361896969615563,10.201902065899356,0.3,tsm
1,1.0600158711292345,1.0295707217715715,0.7851563801149005,1.3964396872539575,0.05,naive_persistence+LLM-COT-RF-HDELTA
5,5.2274729481055475,2.2863667571292114,1.6792691537704747,2.9195133175071595,0.05,naive_persistence+LLM-COT-RF-HDELTA
20,44.112887013840485,6.641753308716042,4.379490352314785,7.89373656045696,0.05,naive_persistence+LLM-COT-RF-HDELTA
30,79.63901696988718,8.924069529642134,6.345505915182235,12.008370315154757,0.05,naive_persistence+LLM-COT-RF-HDELTA
1,1.0598961297059537,1.029512568988817,0.7851738882951221,1.396487377325052,0.1,naive_persistence+LLM-COT-RF-HDELTA
5,5.228229994550172,2.286532307786219,1.6794884007573156,2.9199581955953717,0.1,naive_persistence+LLM-COT-RF-HDELTA
20,44.113096639604436,6.641769089602892,4.379631516513707,7.894042961194793,0.1,naive_persistence+LLM-COT-RF-HDELTA
30,79.63799748057532,8.924012409257134,6.345344115119648,12.008042037103497,0.1,naive_persistence+LLM-COT-RF-HDELTA
1,1.0596701150376164,1.0294027953321365,0.7852089046555653,1.3965827574672411,0.2,naive_persistence+LLM-COT-RF-HDELTA
5,5.229761270527817,2.286867130055399,1.6799268947309978,2.9208479517717967,0.2,naive_persistence+LLM-COT-RF-HDELTA
20,44.11353958587793,6.641802435023036,4.379913844911552,7.894655762670459,0.2,naive_persistence+LLM-COT-RF-HDELTA
30,79.63598458343697,8.923899628718207,6.34502051499447,12.007385481000973,0.2,naive_persistence+LLM-COT-RF-HDELTA
1,1.0594620579402465,1.0293017331862637,0.7852439210160086,1.39667813760943,0.3,naive_persistence+LLM-COT-RF-HDELTA
5,5.231315457289996,2.2872069117790796,1.6803653887046799,2.9217377079482203,0.3,naive_persistence+LLM-COT-RF-HDELTA
20,44.1140141251455,6.641838158608316,4.380196173309396,7.895268564146124,0.3,naive_persistence+LLM-COT-RF-HDELTA
30,79.63400646161242,8.923788795215428,6.344696914869293,12.006728924898452,0.3,naive_persistence+LLM-COT-RF-HDELTA
