model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,144,32.05109405517578,5.661368370056152,3.575324058532715,6.442694365978241
seasonal_naive,full,144,34.23765341765504,5.851295020562119,3.798430501090156,6.828057426133436
linear_ridge,full,144,22.486069085158693,4.741947815524617,2.789278064833747,5.048806555563345
linear_lasso,full,144,24.239772197696304,4.923390315392058,2.9149091535144382,5.219934692952372
tsm,full,144,26.850793838500977,5.181775093078613,3.178436040878296,5.711892619729042
TSM+LLM-COT-RF-HDELTA,llm_subset,144,26.650131938849636,5.1623765785585265,3.144087057670053,5.64812020805743
naive_persistence_llm_subset,llm_subset,144,32.05109405517578,5.661368370056152,3.575324058532715,6.442694365978241
seasonal_naive_llm_subset,llm_subset,144,34.23765341765504,5.851295020562119,3.798430501090156,6.828057426133436
linear_ridge_llm_subset,llm_subset,144,22.486069085158693,4.741947815524617,2.789278064833747,5.048806555563345
linear_lasso_llm_subset,llm_subset,144,24.239772197696304,4.923390315392058,2.9149091535144382,5.219934692952372
tsm_llm_subset,llm_subset,144,26.850793838500977,5.181775093078613,3.178436040878296,5.711892619729042
