horizon,mse,rmse,mae,mape,model,subset,n_samples
1,0.7728632092475891,0.8791263699531555,0.71485435962677,0.9471477940678596,naive_persistence,full,103
5,2.6805949211120605,1.6372522115707397,1.313398838043213,1.7341472208499908,naive_persistence,full,103
20,8.727397918701172,2.954216957092285,2.4787375926971436,3.162478283047676,naive_persistence,full,103
30,19.501602172851562,4.416061878204346,3.949709415435791,4.92960587143898,naive_persistence,full,103
1,2.781761996982646,1.667861504137153,1.3447572282217082,1.7829531400919516,seasonal_naive,full,103
5,2.6805948626868275,1.6372522294035294,1.3133987130470646,1.7341471340420178,seasonal_naive,full,103
20,8.727398027925304,2.9542169906635674,2.478737470015739,3.162478353927016,seasonal_naive,full,103
30,19.501601840606757,4.416061802172469,3.949709105260164,4.929605750795404,seasonal_naive,full,103
1,0.7847441836656975,0.8858578800607338,0.7285706603411332,0.9650115141879471,linear_ridge,full,103
5,2.962261145159679,1.7211220599247687,1.3858584061409662,1.8280698557826054,linear_ridge,full,103
20,6.125463067731386,2.4749672861941803,2.022945811447588,2.5749895461545584,linear_ridge,full,103
30,25.023838122365703,5.002383244251254,4.532460110858806,5.6453954483048125,linear_ridge,full,103
1,4.561226986571852,2.135702925636394,1.9524526503479596,2.583576883968355,linear_lasso,full,103
5,7.831443177753703,2.7984715788718852,2.378706922808897,3.1120319999597155,linear_lasso,full,103
20,19.960867372348236,4.467758651980682,4.120481472570919,5.257012520684884,linear_lasso,full,103
30,35.29725922653915,5.941149655288878,5.529042438395972,6.898663873424665,linear_lasso,full,103
1,0.7825747132301331,0.8846325278282166,0.7284896969795227,0.9667955338954926,tsm,full,103
5,2.399439573287964,1.5490124225616455,1.268287181854248,1.6815098002552986,tsm,full,103
20,4.112015247344971,2.027810573577881,1.6059205532073975,2.0474813878536224,tsm,full,103
30,9.131734848022461,3.021876096725464,2.603729248046875,3.247903287410736,tsm,full,103
1,0.17618708782538306,0.41974645659657817,0.3596210479736328,0.48503267689120444,TSM+LLM-COT-RF-HDELTA,llm_subset,4
5,3.7675465929281007,1.941016896610666,1.7940598125457718,2.333051235262763,TSM+LLM-COT-RF-HDELTA,llm_subset,4
20,0.9464748899467916,0.9728694105309261,0.7571150035858203,0.9657735713130604,TSM+LLM-COT-RF-HDELTA,llm_subset,4
30,3.9787766878245456,1.994687115270098,1.6183786449432382,2.0286737911076136,TSM+LLM-COT-RF-HDELTA,llm_subset,4
1,0.1350754052400589,0.3675260543823242,0.30249977111816406,0.4051155410706997,naive_persistence_llm_subset,llm_subset,4
5,4.532277584075928,2.1289145946502686,1.7625007629394531,2.271868474781513,naive_persistence_llm_subset,llm_subset,4
20,4.780549049377441,2.1864466667175293,2.0699996948242188,2.6692550629377365,naive_persistence_llm_subset,llm_subset,4
30,13.087947845458984,3.6177268028259277,3.414999008178711,4.324564710259438,naive_persistence_llm_subset,llm_subset,4
1,0.534626899738214,0.7311818513463076,0.6275005340576172,0.859712437395416,seasonal_naive_llm_subset,llm_subset,4
5,4.532277650461765,2.128914664908334,1.7625007629394531,2.2718684667275046,seasonal_naive_llm_subset,llm_subset,4
20,4.780548632814316,2.186446576711701,2.0699996948242188,2.669255228880469,seasonal_naive_llm_subset,llm_subset,4
30,13.087947216801695,3.617726802399774,3.414999008178711,4.324564614755362,seasonal_naive_llm_subset,llm_subset,4
1,0.12242326619161759,0.34989036310195454,0.3074016571044922,0.4110133773081183,linear_ridge_llm_subset,llm_subset,4
5,5.177781217702432,2.275473844653555,1.90338134765625,2.468904338435512,linear_ridge_llm_subset,llm_subset,4
20,2.7522391586680897,1.658987389544625,1.3855400085449219,1.7728709494529302,linear_ridge_llm_subset,llm_subset,4
30,17.606034921569517,4.195954590027103,3.8313255310058594,4.81908503944362,linear_ridge_llm_subset,llm_subset,4
1,3.5134647064696765,1.8744238332003988,1.827188491821289,2.425626570929116,linear_lasso_llm_subset,llm_subset,4
5,11.845332248340128,3.441704846197612,2.8686370849609375,3.721736911673813,linear_lasso_llm_subset,llm_subset,4
20,14.691654155758442,3.8329693653561128,3.6764984130859375,4.739059016257079,linear_lasso_llm_subset,llm_subset,4
30,25.97855275045731,5.096916003865211,4.840656280517578,6.112907997959827,linear_lasso_llm_subset,llm_subset,4
1,0.17618708312511444,0.419746458530426,0.3596210479736328,0.48503270372748375,tsm_llm_subset,llm_subset,4
5,4.288706302642822,2.0709192752838135,1.9389324188232422,2.5313928723335266,tsm_llm_subset,llm_subset,4
20,1.5277615785598755,1.2360265254974365,1.151651382446289,1.489232387393713,tsm_llm_subset,llm_subset,4
30,4.757885932922363,2.181257963180542,1.9787120819091797,2.5013016536831856,tsm_llm_subset,llm_subset,4
