horizon,mse,rmse,mae,mape,noise_level,model
1,0.7865173612222747,0.886858140416084,0.731509358439534,0.9706887881924926,0.05,tsm
5,2.4022519534650355,1.5499199829233234,1.2700013705041946,1.683785339068255,0.05,tsm
20,4.103691922466022,2.025757123266761,1.6048319189317204,2.046147801525437,0.05,tsm
30,9.116435281424641,3.0193435182874837,2.6018929741171455,3.2460046091738812,0.05,tsm
1,0.7915594255191978,0.8896962546392998,0.7346312895292659,0.9747111043780856,0.1,tsm
5,2.4061264359965464,1.5511693769529318,1.2722988789534877,1.6868223427545828,0.1,tsm
20,4.096484165048181,2.0239773133728995,1.60379765756103,2.0448807075617257,0.1,tsm
30,9.102689346764471,3.0170663477564545,2.600056477972041,3.244105531585518,0.1,tsm
1,0.8049415501800953,0.8971853488438692,0.7414839683846096,0.9835241535738141,0.2,tsm
5,2.417062264661599,1.5546904079789001,1.2785356261087888,1.6950786542294352,0.2,tsm
20,4.085415698452717,2.0212411282310474,1.6021807116016928,2.0428944167370413,0.2,tsm
30,9.079858537634953,3.0132803616050987,2.596383485681832,3.240307376408792,0.2,tsm
1,0.8227210040229723,0.9070396926391768,0.7487567172280261,0.992920147397913,0.3,tsm
5,2.4322472465671483,1.5595663649127434,1.2872116660577266,1.7065169297111222,0.3,tsm
20,4.078809962754886,2.0196063880753807,1.6006425243188076,2.0410167137044204,0.3,tsm
30,9.06324247928346,3.0105219612690854,2.5927104936415883,3.2365092216079665,0.3,tsm
1,0.7727417924498947,0.8790573317195498,0.7148205468440472,0.9471019789079999,0.05,naive_persistence+LLM-COT-RF-HDELTA
5,2.7010911831781668,1.6434996754420632,1.3180649150000252,1.7406812160766445,0.05,naive_persistence+LLM-COT-RF-HDELTA
20,8.849798292397601,2.974861054301125,2.515849247453967,3.214189901249725,0.05,naive_persistence+LLM-COT-RF-HDELTA
30,19.790020461817218,4.448597583713008,3.998498905145617,4.996083324431375,0.05,naive_persistence+LLM-COT-RF-HDELTA
1,0.7726270199249596,0.8789920477029127,0.7147867514219005,0.9470561152862399,0.1,naive_persistence+LLM-COT-RF-HDELTA
5,2.7024971162429776,1.643927345183776,1.3183166508357942,1.7410317162544195,0.1,naive_persistence+LLM-COT-RF-HDELTA
20,8.851990557763441,2.975229496654576,2.516414949867544,3.2149719010423183,0.1,naive_persistence+LLM-COT-RF-HDELTA
30,19.789844995761086,4.448577862166862,3.998234674547861,4.995712907869954,0.1,naive_persistence+LLM-COT-RF-HDELTA
1,0.7724175213356264,0.878872869837058,0.7147191605776065,0.9469643880427197,0.2,naive_persistence+LLM-COT-RF-HDELTA
5,2.705346333186408,1.644793705358337,1.318820122507332,1.7417327166099692,0.2,naive_persistence+LLM-COT-RF-HDELTA
20,8.856419759408743,2.975973749784891,2.5175463546946966,3.216535900627505,0.2,naive_persistence+LLM-COT-RF-HDELTA
30,19.78952280860434,4.448541649642537,3.9977062133523504,4.994972074747113,0.2,naive_persistence+LLM-COT-RF-HDELTA
1,0.7722347513603467,0.8787688839281615,0.7146515697333136,0.9468726607992006,0.3,naive_persistence+LLM-COT-RF-HDELTA
5,2.708245351214917,1.645674740407386,1.3193235941788692,1.7424337169655186,0.3,naive_persistence+LLM-COT-RF-HDELTA
20,8.8609085222722,2.976727821328682,2.51867775952185,3.218099900212691,0.3,naive_persistence+LLM-COT-RF-HDELTA
30,19.789238948054948,4.4485097446285256,3.9971777521568397,4.994231241624271,0.3,naive_persistence+LLM-COT-RF-HDELTA
