horizon,mse,rmse,mae,mape,noise_level,model
1,0.7865173612222747,0.886858140416084,0.731509358439534,0.9706887881924926,0.05,tsm
5,2.4022519534650355,1.5499199829233234,1.2700013705041946,1.683785339068255,0.05,tsm
20,4.103691922466022,2.025757123266761,1.6048319189317204,2.046147801525437,0.05,tsm
30,9.116435281424641,3.0193435182874837,2.6018929741171455,3.2460046091738812,0.05,tsm
1,0.7915594255191978,0.8896962546392998,0.7346312895292659,0.9747111043780856,0.1,tsm
5,2.4061264359965464,1.5511693769529318,1.2722988789534877,1.6868223427545828,0.1,tsm
20,4.096484165048181,2.0239773133728995,1.60379765756103,2.0448807075617257,0.1,tsm
30,9.102689346764471,3.0170663477564545,2.600056477972041,3.244105531585518,0.1,tsm
1,0.8049415501800953,0.8971853488438692,0.7414839683846096,0.9835241535738141,0.2,tsm
5,2.417062264661599,1.5546904079789001,1.2785356261087888,1.6950786542294352,0.2,tsm
20,4.085415698452717,2.0212411282310474,1.6021807116016928,2.0428944167370413,0.2,tsm
30,9.079858537634953,3.0132803616050987,2.596383485681832,3.240307376408792,0.2,tsm
1,0.8227210040229723,0.9070396926391768,0.7487567172280261,0.992920147397913,0.3,tsm
5,2.4322472465671483,1.5595663649127434,1.2872116660577266,1.7065169297111222,0.3,tsm
20,4.078809962754886,2.0196063880753807,1.6006425243188076,2.0410167137044204,0.3,tsm
30,9.06324247928346,3.0105219612690854,2.5927104936415883,3.2365092216079665,0.3,tsm
1,2.7633928432047354,1.662345584770127,1.342015176807937,1.7796728262066925,0.05,seasonal_naive+LLM-COT-RF-HDELTA
5,2.6988609530062315,1.6428210349901877,1.318629742924104,1.7408702015760853,0.05,seasonal_naive+LLM-COT-RF-HDELTA
20,8.836556946342865,2.9726346809426256,2.510817100166235,3.2075209880612534,0.05,seasonal_naive+LLM-COT-RF-HDELTA
30,19.77974210397359,4.447442197935077,3.9936751340315717,4.989727866915509,0.05,seasonal_naive+LLM-COT-RF-HDELTA
1,2.7472114691558245,1.6574714082468585,1.3400498422005227,1.7773643802195216,0.1,seasonal_naive+LLM-COT-RF-HDELTA
5,2.71988587960463,1.6492076520573842,1.3240302661385788,1.7478015942529308,0.1,seasonal_naive+LLM-COT-RF-HDELTA
20,8.839010241298372,2.973047298866665,2.511917451604135,3.2094317528669127,0.1,seasonal_naive+LLM-COT-RF-HDELTA
30,19.73374159794224,4.442267618901662,3.985026792623573,4.97851299273382,0.1,seasonal_naive+LLM-COT-RF-HDELTA
1,2.721412060244994,1.6496702883440053,1.3363538524046763,1.7730359339128483,0.2,seasonal_naive+LLM-COT-RF-HDELTA
5,2.770212241638424,1.6643954583086389,1.3350502517050629,1.7619334788395256,0.2,seasonal_naive+LLM-COT-RF-HDELTA
20,8.853189251674086,2.9754309354569273,2.5143453116292735,3.2135730420092092,0.2,seasonal_naive+LLM-COT-RF-HDELTA
30,19.649463496276056,4.432771536665978,3.9677301098075715,4.95608324437044,0.2,seasonal_naive+LLM-COT-RF-HDELTA
1,2.7043637702501524,1.6444949894268917,1.3327348132086136,1.7688020679798115,0.3,seasonal_naive+LLM-COT-RF-HDELTA
5,2.831573948788204,1.6827281268191259,1.3462016866977344,1.7762393764143642,0.3,seasonal_naive+LLM-COT-RF-HDELTA
20,8.879731489336063,2.9798878316701893,2.5192970192153514,3.2212670448331844,0.3,seasonal_naive+LLM-COT-RF-HDELTA
30,19.575482608471887,4.424418900654852,3.95043342699157,4.933653496007059,0.3,seasonal_naive+LLM-COT-RF-HDELTA
