horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,naive_persistence,full,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,naive_persistence,full,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,naive_persistence,full,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,seasonal_naive,full,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,seasonal_naive,full,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,seasonal_naive,full,103
10,0.4174757281553398,0.2413793103448276,0.25,0.7297297297297297,58,8,37,0.02,18,linear_ridge,full,103
20,0.5533980582524272,0.4880952380952381,0.3333333333333333,0.9375,84,3,16,0.02,18,linear_ridge,full,103
30,0.18446601941747573,0.1,0.3333333333333333,0.9,90,3,10,0.02,18,linear_ridge,full,103
10,0.27184466019417475,0.0,1.0,0.5405405405405406,58,8,37,0.02,18,linear_lasso,full,103
20,0.06796116504854369,0.0,1.0,0.25,84,3,16,0.02,18,linear_lasso,full,103
30,0.05825242718446602,0.011111111111111112,1.0,0.2,90,3,10,0.02,18,linear_lasso,full,103
10,0.5339805825242718,0.5517241379310345,0.125,0.5945945945945946,58,8,37,0.02,18,tsm,full,103
20,0.7087378640776699,0.7142857142857143,0.3333333333333333,0.75,84,3,16,0.02,18,tsm,full,103
30,0.7475728155339806,0.8111111111111111,0.0,0.4,90,3,10,0.02,18,tsm,full,103
10,0.5436893203883495,0.5517241379310345,0.25,0.5945945945945946,58,8,37,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
20,0.7184466019417476,0.7261904761904762,0.3333333333333333,0.75,84,3,16,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
30,0.7475728155339806,0.7888888888888889,0.0,0.6,90,3,10,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,naive_persistence_llm_subset,llm_subset,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,naive_persistence_llm_subset,llm_subset,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,naive_persistence_llm_subset,llm_subset,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,seasonal_naive_llm_subset,llm_subset,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,seasonal_naive_llm_subset,llm_subset,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,seasonal_naive_llm_subset,llm_subset,103
10,0.4174757281553398,0.2413793103448276,0.25,0.7297297297297297,58,8,37,0.02,18,linear_ridge_llm_subset,llm_subset,103
20,0.5533980582524272,0.4880952380952381,0.3333333333333333,0.9375,84,3,16,0.02,18,linear_ridge_llm_subset,llm_subset,103
30,0.18446601941747573,0.1,0.3333333333333333,0.9,90,3,10,0.02,18,linear_ridge_llm_subset,llm_subset,103
10,0.27184466019417475,0.0,1.0,0.5405405405405406,58,8,37,0.02,18,linear_lasso_llm_subset,llm_subset,103
20,0.06796116504854369,0.0,1.0,0.25,84,3,16,0.02,18,linear_lasso_llm_subset,llm_subset,103
30,0.05825242718446602,0.011111111111111112,1.0,0.2,90,3,10,0.02,18,linear_lasso_llm_subset,llm_subset,103
10,0.5339805825242718,0.5517241379310345,0.125,0.5945945945945946,58,8,37,0.02,18,tsm_llm_subset,llm_subset,103
20,0.7087378640776699,0.7142857142857143,0.3333333333333333,0.75,84,3,16,0.02,18,tsm_llm_subset,llm_subset,103
30,0.7475728155339806,0.8111111111111111,0.0,0.4,90,3,10,0.02,18,tsm_llm_subset,llm_subset,103
