horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,naive_persistence,full,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,naive_persistence,full,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,naive_persistence,full,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,seasonal_naive,full,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,seasonal_naive,full,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,seasonal_naive,full,103
10,0.4174757281553398,0.2413793103448276,0.25,0.7297297297297297,58,8,37,0.02,18,linear_ridge,full,103
20,0.5533980582524272,0.4880952380952381,0.3333333333333333,0.9375,84,3,16,0.02,18,linear_ridge,full,103
30,0.18446601941747573,0.1,0.3333333333333333,0.9,90,3,10,0.02,18,linear_ridge,full,103
10,0.27184466019417475,0.0,1.0,0.5405405405405406,58,8,37,0.02,18,linear_lasso,full,103
20,0.06796116504854369,0.0,1.0,0.25,84,3,16,0.02,18,linear_lasso,full,103
30,0.05825242718446602,0.011111111111111112,1.0,0.2,90,3,10,0.02,18,linear_lasso,full,103
10,0.5339805825242718,0.5172413793103449,0.25,0.6216216216216216,58,8,37,0.02,18,tsm,full,103
20,0.6019417475728155,0.5595238095238095,0.3333333333333333,0.875,84,3,16,0.02,18,tsm,full,103
30,0.6116504854368932,0.5888888888888889,0.3333333333333333,0.9,90,3,10,0.02,18,tsm,full,103
10,0.5242718446601942,0.5344827586206896,0.25,0.5675675675675675,58,8,37,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
20,0.6213592233009708,0.5952380952380952,0.3333333333333333,0.8125,84,3,16,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
30,0.6310679611650486,0.6111111111111112,0.3333333333333333,0.9,90,3,10,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,naive_persistence_llm_subset,llm_subset,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,naive_persistence_llm_subset,llm_subset,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,naive_persistence_llm_subset,llm_subset,103
10,0.4368932038834951,0.3103448275862069,0.5,0.6216216216216216,58,8,37,0.02,18,seasonal_naive_llm_subset,llm_subset,103
20,0.4077669902912621,0.35714285714285715,0.3333333333333333,0.6875,84,3,16,0.02,18,seasonal_naive_llm_subset,llm_subset,103
30,0.3786407766990291,0.34444444444444444,0.3333333333333333,0.7,90,3,10,0.02,18,seasonal_naive_llm_subset,llm_subset,103
10,0.4174757281553398,0.2413793103448276,0.25,0.7297297297297297,58,8,37,0.02,18,linear_ridge_llm_subset,llm_subset,103
20,0.5533980582524272,0.4880952380952381,0.3333333333333333,0.9375,84,3,16,0.02,18,linear_ridge_llm_subset,llm_subset,103
30,0.18446601941747573,0.1,0.3333333333333333,0.9,90,3,10,0.02,18,linear_ridge_llm_subset,llm_subset,103
10,0.27184466019417475,0.0,1.0,0.5405405405405406,58,8,37,0.02,18,linear_lasso_llm_subset,llm_subset,103
20,0.06796116504854369,0.0,1.0,0.25,84,3,16,0.02,18,linear_lasso_llm_subset,llm_subset,103
30,0.05825242718446602,0.011111111111111112,1.0,0.2,90,3,10,0.02,18,linear_lasso_llm_subset,llm_subset,103
10,0.5339805825242718,0.5172413793103449,0.25,0.6216216216216216,58,8,37,0.02,18,tsm_llm_subset,llm_subset,103
20,0.6019417475728155,0.5595238095238095,0.3333333333333333,0.875,84,3,16,0.02,18,tsm_llm_subset,llm_subset,103
30,0.6116504854368932,0.5888888888888889,0.3333333333333333,0.9,90,3,10,0.02,18,tsm_llm_subset,llm_subset,103
