model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,98,46.43788146972656,6.814534664154053,5.431285381317139,8.480476588010788
seasonal_naive,full,98,56.769896887169004,7.534580073711408,6.095169989916743,9.530469221342733
linear_ridge,full,98,52.086395859336605,7.217090539776857,5.812958997609664,9.153210617307133
linear_lasso,full,98,53.30677306444058,7.3011487496448515,6.006172766653048,9.310703918365519
tsm,full,98,50.121036529541016,7.079621315002441,5.7219719886779785,8.992178738117218
TSM+LLM-COT-RF-HDELTA,llm_subset,98,49.25233007302457,7.018000432674863,5.67735119376589,8.916427108056686
naive_persistence_llm_subset,llm_subset,98,46.43788146972656,6.814534664154053,5.431285381317139,8.480476588010788
seasonal_naive_llm_subset,llm_subset,98,56.769896887169004,7.534580073711408,6.095169989916743,9.530469221342733
linear_ridge_llm_subset,llm_subset,98,52.086395859336605,7.217090539776857,5.812958997609664,9.153210617307133
linear_lasso_llm_subset,llm_subset,98,53.30677306444058,7.3011487496448515,6.006172766653048,9.310703918365519
tsm_llm_subset,llm_subset,98,50.121036529541016,7.079621315002441,5.7219719886779785,8.992178738117218
