horizon,mse,rmse,mae,mape,noise_level,model
1,4.151631088657479,2.0375551743836238,1.6152818534116076,2.497563828597099,0.05,tsm
5,21.209892672471046,4.60541992357603,3.8716965403091477,5.992130612803299,0.05,tsm
20,63.677134381146466,7.979795384666606,6.805357033504018,10.712260003860669,0.05,tsm
30,94.26591892235444,9.70906375107067,8.48850772779432,13.298746207345285,0.05,tsm
1,4.1868242676083725,2.046173078605124,1.6229021307977962,2.509433463868666,0.1,tsm
5,21.199226955571532,4.604261825262713,3.869069294096852,5.988389768669006,0.1,tsm
20,63.56012325464827,7.972460301227486,6.803525137664326,10.70858795944987,0.1,tsm
30,94.37995634981584,9.714934706410324,8.486277890878915,13.2971189307131,0.1,tsm
1,4.265732243581602,2.065364917776421,1.6416216840301188,2.538274407360721,0.2,tsm
5,21.18887625938837,4.60313765375188,3.8638148016722593,5.98090808040042,0.2,tsm
20,63.33637722050331,7.958415496850067,6.79986134598494,10.701243870628266,0.2,tsm
30,94.62225681846489,9.727397227340152,8.48181821704811,13.293864377448724,0.2,tsm
1,4.356002382068699,2.087103826374888,1.6625938621436138,2.570641250039226,0.3,tsm
5,21.193166542809074,4.603603647449362,3.85856030856109,5.973426391167775,0.3,tsm
20,63.12633281285998,7.945208166741761,6.7961975545080815,10.693899782018683,0.3,tsm
30,94.88352476908106,9.740817458975457,8.477358542063108,13.29060982263575,0.3,tsm
1,4.152101495509894,2.037670605252452,1.6155002315547156,2.4978681577684774,0.05,TSM+LLM-COT-RF-HDELTA
5,20.97522916394505,4.579872177686299,3.847808850668021,5.955094258551137,0.05,TSM+LLM-COT-RF-HDELTA
20,62.10889459780501,7.880919654317319,6.706020552401784,10.543550896387252,0.05,TSM+LLM-COT-RF-HDELTA
30,92.94319480707044,9.640705099061503,8.46318046479782,13.246533176352168,0.05,TSM+LLM-COT-RF-HDELTA
1,4.18764467429816,2.046373542220032,1.6233388868418432,2.510042121868016,0.1,TSM+LLM-COT-RF-HDELTA
5,20.962944161944186,4.578530786392529,3.8434478641239673,5.9485165662761865,0.1,TSM+LLM-COT-RF-HDELTA
20,61.98729541845818,7.873201090945041,6.702699581652561,10.537415057378647,0.1,TSM+LLM-COT-RF-HDELTA
30,93.06377007987447,9.646956519020621,8.462156191212248,13.246908089368581,0.1,TSM+LLM-COT-RF-HDELTA
1,4.266891428900987,2.0656455235351943,1.6418979729508765,2.538550028019497,0.2,TSM+LLM-COT-RF-HDELTA
5,20.949184518052444,4.577027913182576,3.8356868341912054,5.936876626002373,0.2,TSM+LLM-COT-RF-HDELTA
20,61.75448247289035,7.858402030495154,6.696180859488943,10.525350889183951,0.2,TSM+LLM-COT-RF-HDELTA
30,93.31888015400713,9.660169778736144,8.4601076440411,13.247657915401403,0.2,TSM+LLM-COT-RF-HDELTA
1,4.357018712872199,2.0873472909106905,1.6630624547649648,2.57112983961181,0.3,TSM+LLM-COT-RF-HDELTA
5,20.949838687640714,4.577099374892434,3.8296565314875335,5.927966109064586,0.3,TSM+LLM-COT-RF-HDELTA
20,61.53551674482363,7.844457708779086,6.691112051235541,10.51572847559373,0.3,TSM+LLM-COT-RF-HDELTA
30,93.59260293283933,9.67432700154586,8.458059096869956,13.248407741434228,0.3,TSM+LLM-COT-RF-HDELTA
