horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,101,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,21,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,-7.453293448526154e-05,0.017957669309827735,-0.004150479285442221,0.49504950495049505,1.0,101,0.0,1,101,101,1.0,8.701286219103608e-05,0.01801109103592307,0.07669087689210641,0.49504950495049505,-0.007499563262406639,-0.01860701125745645,0.15766451276669158,8.701286219103608e-05,0.01801109103592307,0.07669087689210641,-0.007499563262406639,-0.01860701125745645,0.15766451276669158,8.701286219103608e-05,0.01801109103592307,0.07669087689210641,0.49504950495049505,1.0,101.0,-0.007499563262406639,-0.01860701125745645,0.15766451276669158,8.701286219103608e-05,0.01801109103592307,0.07669087689210641,-0.007499563262406639,-0.01860701125745645,0.15766451276669158,-0.007499563262406639,-0.007499563262406639,-0.007499563262406639,-0.007499563262406639,seasonal_naive
5,-0.005056394856552234,0.0377989049885788,-0.13377093484798191,0.4752475247524752,1.0,101,0.0,5,21,21,1.0,-0.008925388016825924,0.038879180764955605,-1.629766056704319,0.47619047619047616,-0.18479872313531986,-0.38759935000516277,0.2194463150828535,-0.008925388016825924,0.038879180764955605,-1.629766056704319,-0.18479872313531986,-0.38759935000516277,0.2194463150828535,-0.004287599890696336,0.0368559210784979,-0.7816589205292512,0.4752380952380951,1.0,20.2,-0.09073156166357402,-0.18753816628200526,0.1801037344857741,-0.004287599890696336,0.0368559210784979,-0.7816589205292512,-0.09073156166357402,-0.18753816628200526,0.1801037344857741,-0.1994214397220312,0.10422154766856306,-0.1994214397220312,0.10422154766856306,seasonal_naive
20,0.010443796426758613,0.060799416960296185,0.1717746147726831,0.5841584158415841,1.0,101,0.0,20,6,6,1.0,0.040767814060227454,0.05648772956500091,2.561819804975609,0.8333333333333334,0.25969002494614357,0.6238793147085024,0.04808107740178613,0.040767814060227454,0.05648772956500091,2.561819804975609,0.25969002494614357,0.6238793147085024,0.04808107740178613,0.012079512160309292,0.05083724446382785,1.4526469710172354,0.5816666666666668,1.0,5.05,0.06562623195494774,0.2132303562622368,0.06762060325616823,0.012079512160309292,0.05083724446382785,1.4526469710172354,0.06562623195494774,0.2132303562622368,0.06762060325616823,-0.21063185767933001,0.29811669935265295,-0.21063185767933001,0.29811669935265295,seasonal_naive
30,0.008725714376472895,0.07062293315523546,0.12355355387594852,0.5445544554455446,1.0,101,0.0,30,4,4,1.0,0.03288696654623794,0.047031764286454225,2.0266193688086807,0.5,0.13355192141286043,0.30114883311832474,0.016141745544075325,0.03288696654623794,0.047031764286454225,2.0266193688086807,0.13355192141286043,0.30114883311832474,0.016141745544075325,0.00901050890099568,0.054428689545413994,0.430013219350313,0.5388888888888889,1.0,3.3666666666666667,0.039401372836165294,0.11729633328725102,0.06324802069798349,0.00901050890099568,0.054428689545413994,0.430013219350313,0.039401372836165294,0.11729633328725102,0.06324802069798349,-0.29076980877813985,0.26417237169193397,-0.29076980877813985,0.26417237169193397,seasonal_naive
1,0.0020451038377935823,0.017840991914467478,0.11462949188016741,0.5445544554455446,1.0,101,0.0,1,101,101,1.0,0.00220692085396116,0.0179210533330063,1.9548952734925067,0.5445544554455446,0.2294359507958077,0.6742514454073707,0.09811309460681783,0.00220692085396116,0.0179210533330063,1.9548952734925067,0.2294359507958077,0.6742514454073707,0.09811309460681783,0.00220692085396116,0.0179210533330063,1.9548952734925067,0.5445544554455446,1.0,101.0,0.2294359507958077,0.6742514454073707,0.09811309460681783,0.00220692085396116,0.0179210533330063,1.9548952734925067,0.2294359507958077,0.6742514454073707,0.09811309460681783,0.2294359507958077,0.2294359507958077,0.2294359507958077,0.2294359507958077,linear_ridge
5,0.00308348233627137,0.03801074169182809,0.08112134094279687,0.5148514851485149,1.0,101,0.0,5,21,21,1.0,0.012638793625086039,0.038555089397603055,2.327229300714474,0.6666666666666666,0.2818896070335326,0.8148532085209503,0.07795584754528095,0.012638793625086039,0.038555089397603055,2.327229300714474,0.2818896070335326,0.8148532085209503,0.07795584754528095,0.003725748257566268,0.037542835779857786,0.6440277492996765,0.5133333333333334,1.0,20.2,0.07023307418401514,0.20275273818527265,0.0993839286626121,0.003725748257566268,0.037542835779857786,0.6440277492996765,0.07023307418401514,0.20275273818527265,0.0993839286626121,-0.058596540697443134,0.2818896070335326,-0.058596540697443134,0.2818896070335326,linear_ridge
