horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5247524752475248,0.5348837209302325,0.5384615384615384,0.47368421052631576,43,39,19,0.02,18,naive_persistence,full,101
20,0.38613861386138615,0.3469387755102041,0.4722222222222222,0.3125,49,36,16,0.02,18,naive_persistence,full,101
30,0.36633663366336633,0.3541666666666667,0.34146341463414637,0.5,48,41,12,0.02,18,naive_persistence,full,101
10,0.5247524752475248,0.5348837209302325,0.5384615384615384,0.47368421052631576,43,39,19,0.02,18,seasonal_naive,full,101
20,0.38613861386138615,0.3469387755102041,0.4722222222222222,0.3125,49,36,16,0.02,18,seasonal_naive,full,101
30,0.36633663366336633,0.3541666666666667,0.34146341463414637,0.5,48,41,12,0.02,18,seasonal_naive,full,101
10,0.48514851485148514,0.5348837209302325,0.358974358974359,0.631578947368421,43,39,19,0.02,18,linear_ridge,full,101
20,0.38613861386138615,0.40816326530612246,0.2222222222222222,0.6875,49,36,16,0.02,18,linear_ridge,full,101
30,0.2871287128712871,0.25,0.1951219512195122,0.75,48,41,12,0.02,18,linear_ridge,full,101
10,0.45544554455445546,0.11627906976744186,0.8205128205128205,0.47368421052631576,43,39,19,0.02,18,linear_lasso,full,101
20,0.32673267326732675,0.04081632653061224,0.6111111111111112,0.5625,49,36,16,0.02,18,linear_lasso,full,101
30,0.297029702970297,0.0625,0.5365853658536586,0.4166666666666667,48,41,12,0.02,18,linear_lasso,full,101
10,0.5148514851485149,0.6744186046511628,0.3333333333333333,0.5263157894736842,43,39,19,0.02,18,tsm,full,101
20,0.36633663366336633,0.5510204081632653,0.05555555555555555,0.5,49,36,16,0.02,18,tsm,full,101
30,0.37623762376237624,0.625,0.024390243902439025,0.5833333333333334,48,41,12,0.02,18,tsm,full,101
10,0.504950495049505,0.6744186046511628,0.3333333333333333,0.47368421052631576,43,39,19,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,101
20,0.37623762376237624,0.5918367346938775,0.05555555555555555,0.4375,49,36,16,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,101
30,0.37623762376237624,0.625,0.024390243902439025,0.5833333333333334,48,41,12,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,101
10,0.5247524752475248,0.5348837209302325,0.5384615384615384,0.47368421052631576,43,39,19,0.02,18,naive_persistence_llm_subset,llm_subset,101
20,0.38613861386138615,0.3469387755102041,0.4722222222222222,0.3125,49,36,16,0.02,18,naive_persistence_llm_subset,llm_subset,101
30,0.36633663366336633,0.3541666666666667,0.34146341463414637,0.5,48,41,12,0.02,18,naive_persistence_llm_subset,llm_subset,101
10,0.5247524752475248,0.5348837209302325,0.5384615384615384,0.47368421052631576,43,39,19,0.02,18,seasonal_naive_llm_subset,llm_subset,101
20,0.38613861386138615,0.3469387755102041,0.4722222222222222,0.3125,49,36,16,0.02,18,seasonal_naive_llm_subset,llm_subset,101
30,0.36633663366336633,0.3541666666666667,0.34146341463414637,0.5,48,41,12,0.02,18,seasonal_naive_llm_subset,llm_subset,101
10,0.48514851485148514,0.5348837209302325,0.358974358974359,0.631578947368421,43,39,19,0.02,18,linear_ridge_llm_subset,llm_subset,101
20,0.38613861386138615,0.40816326530612246,0.2222222222222222,0.6875,49,36,16,0.02,18,linear_ridge_llm_subset,llm_subset,101
30,0.2871287128712871,0.25,0.1951219512195122,0.75,48,41,12,0.02,18,linear_ridge_llm_subset,llm_subset,101
10,0.45544554455445546,0.11627906976744186,0.8205128205128205,0.47368421052631576,43,39,19,0.02,18,linear_lasso_llm_subset,llm_subset,101
20,0.32673267326732675,0.04081632653061224,0.6111111111111112,0.5625,49,36,16,0.02,18,linear_lasso_llm_subset,llm_subset,101
30,0.297029702970297,0.0625,0.5365853658536586,0.4166666666666667,48,41,12,0.02,18,linear_lasso_llm_subset,llm_subset,101
10,0.5148514851485149,0.6744186046511628,0.3333333333333333,0.5263157894736842,43,39,19,0.02,18,tsm_llm_subset,llm_subset,101
20,0.36633663366336633,0.5510204081632653,0.05555555555555555,0.5,49,36,16,0.02,18,tsm_llm_subset,llm_subset,101
30,0.37623762376237624,0.625,0.024390243902439025,0.5833333333333334,48,41,12,0.02,18,tsm_llm_subset,llm_subset,101
