model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,97,32.71282196044922,5.719512462615967,4.61720609664917,6.5006934106349945
seasonal_naive,full,97,37.56948645497432,6.12939527645055,5.063391781836441,7.112281094182303
linear_ridge,full,97,34.78330323404328,5.897737128258878,4.8927055254015315,6.883334894773677
linear_lasso,full,97,32.788869893077624,5.726156642380439,4.861347768724579,6.751215357456415
tsm,full,97,38.163002014160156,6.177620887756348,5.054062843322754,7.098159939050674
TSM+LLM-COT-RF-HDELTA,llm_subset,97,37.40532025258209,6.115988902261194,5.01252700387201,7.0321669433552545
naive_persistence_llm_subset,llm_subset,97,32.71282196044922,5.719512462615967,4.61720609664917,6.5006934106349945
seasonal_naive_llm_subset,llm_subset,97,37.56948645497432,6.12939527645055,5.063391781836441,7.112281094182303
linear_ridge_llm_subset,llm_subset,97,34.78330323404328,5.897737128258878,4.8927055254015315,6.883334894773677
linear_lasso_llm_subset,llm_subset,97,32.788869893077624,5.726156642380439,4.861347768724579,6.751215357456415
tsm_llm_subset,llm_subset,97,38.163002014160156,6.177620887756348,5.054062843322754,7.098159939050674
