horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.6391752577319587,0.8048780487804879,0.5555555555555556,0.36363636363636365,41,45,11,0.02,18,naive_persistence,full,97
20,0.5154639175257731,0.627906976744186,0.4423076923076923,0.0,43,52,2,0.02,18,naive_persistence,full,97
30,0.4742268041237113,0.5238095238095238,0.41304347826086957,0.5555555555555556,42,46,9,0.02,18,naive_persistence,full,97
10,0.6391752577319587,0.8048780487804879,0.5555555555555556,0.36363636363636365,41,45,11,0.02,18,seasonal_naive,full,97
20,0.5154639175257731,0.627906976744186,0.4423076923076923,0.0,43,52,2,0.02,18,seasonal_naive,full,97
30,0.4742268041237113,0.5238095238095238,0.41304347826086957,0.5555555555555556,42,46,9,0.02,18,seasonal_naive,full,97
10,0.6494845360824743,0.8048780487804879,0.5111111111111111,0.6363636363636364,41,45,11,0.02,18,linear_ridge,full,97
20,0.4536082474226804,0.6046511627906976,0.34615384615384615,0.0,43,52,2,0.02,18,linear_ridge,full,97
30,0.4845360824742268,0.6190476190476191,0.34782608695652173,0.5555555555555556,42,46,9,0.02,18,linear_ridge,full,97
10,0.5567010309278351,0.4146341463414634,0.6888888888888889,0.5454545454545454,41,45,11,0.02,18,linear_lasso,full,97
20,0.4639175257731959,0.37209302325581395,0.5384615384615384,0.5,43,52,2,0.02,18,linear_lasso,full,97
30,0.44329896907216493,0.30952380952380953,0.5,0.7777777777777778,42,46,9,0.02,18,linear_lasso,full,97
10,0.6391752577319587,0.7317073170731707,0.5777777777777777,0.5454545454545454,41,45,11,0.02,18,tsm,full,97
20,0.4536082474226804,0.627906976744186,0.3269230769230769,0.0,43,52,2,0.02,18,tsm,full,97
30,0.422680412371134,0.5714285714285714,0.30434782608695654,0.3333333333333333,42,46,9,0.02,18,tsm,full,97
10,0.6288659793814433,0.6829268292682927,0.6,0.5454545454545454,41,45,11,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,97
20,0.44329896907216493,0.5813953488372093,0.34615384615384615,0.0,43,52,2,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,97
30,0.422680412371134,0.5238095238095238,0.34782608695652173,0.3333333333333333,42,46,9,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,97
10,0.6391752577319587,0.8048780487804879,0.5555555555555556,0.36363636363636365,41,45,11,0.02,18,naive_persistence_llm_subset,llm_subset,97
20,0.5154639175257731,0.627906976744186,0.4423076923076923,0.0,43,52,2,0.02,18,naive_persistence_llm_subset,llm_subset,97
30,0.4742268041237113,0.5238095238095238,0.41304347826086957,0.5555555555555556,42,46,9,0.02,18,naive_persistence_llm_subset,llm_subset,97
10,0.6391752577319587,0.8048780487804879,0.5555555555555556,0.36363636363636365,41,45,11,0.02,18,seasonal_naive_llm_subset,llm_subset,97
20,0.5154639175257731,0.627906976744186,0.4423076923076923,0.0,43,52,2,0.02,18,seasonal_naive_llm_subset,llm_subset,97
30,0.4742268041237113,0.5238095238095238,0.41304347826086957,0.5555555555555556,42,46,9,0.02,18,seasonal_naive_llm_subset,llm_subset,97
10,0.6494845360824743,0.8048780487804879,0.5111111111111111,0.6363636363636364,41,45,11,0.02,18,linear_ridge_llm_subset,llm_subset,97
20,0.4536082474226804,0.6046511627906976,0.34615384615384615,0.0,43,52,2,0.02,18,linear_ridge_llm_subset,llm_subset,97
30,0.4845360824742268,0.6190476190476191,0.34782608695652173,0.5555555555555556,42,46,9,0.02,18,linear_ridge_llm_subset,llm_subset,97
10,0.5567010309278351,0.4146341463414634,0.6888888888888889,0.5454545454545454,41,45,11,0.02,18,linear_lasso_llm_subset,llm_subset,97
20,0.4639175257731959,0.37209302325581395,0.5384615384615384,0.5,43,52,2,0.02,18,linear_lasso_llm_subset,llm_subset,97
30,0.44329896907216493,0.30952380952380953,0.5,0.7777777777777778,42,46,9,0.02,18,linear_lasso_llm_subset,llm_subset,97
10,0.6391752577319587,0.7317073170731707,0.5777777777777777,0.5454545454545454,41,45,11,0.02,18,tsm_llm_subset,llm_subset,97
20,0.4536082474226804,0.627906976744186,0.3269230769230769,0.0,43,52,2,0.02,18,tsm_llm_subset,llm_subset,97
30,0.422680412371134,0.5714285714285714,0.30434782608695654,0.3333333333333333,42,46,9,0.02,18,tsm_llm_subset,llm_subset,97
