horizon,mse,rmse,mae,mape,noise_level,model
1,2.00811753424586,1.4170806378769911,1.17635201915809,1.6635849731467576,0.05,tsm
5,10.4389683797659,3.2309392411133175,2.6644172296144912,3.7590887136566122,0.05,tsm
20,49.82793956492846,7.058890816900942,6.022851700413907,8.352025697356535,0.05,tsm
30,63.86429111969598,7.991513693894041,6.699671331167666,9.290375895687648,0.05,tsm
1,2.023617304302302,1.4225390343685835,1.1778244322813163,1.6657336747493638,0.1,tsm
5,10.475384170604482,3.236569815499811,2.667625191599279,3.7637901540725576,0.1,tsm
20,49.8174783527436,7.058149782538169,6.021429488156227,8.350301021332402,0.1,tsm
30,63.872135678237306,7.992004484372948,6.700847872029779,9.293112618872122,0.1,tsm
1,2.059779113824501,1.4351930580324381,1.1820212476088383,1.6718442831902471,0.2,tsm
5,10.556559553352654,3.2490859565965096,2.676362508631787,3.776536396097404,0.2,tsm
20,49.80212883290629,7.057062337326084,6.018585063640868,8.346851669284133,0.2,tsm
30,63.89523776903359,7.993449678895439,6.703200953754005,9.298586065241073,0.2,tsm
1,2.1028239529252937,1.4501117036026203,1.1871453001656287,1.6793271702653014,0.3,tsm
5,10.648860010093058,3.2632591086355767,2.6871306878176733,3.7922374369087644,0.3,tsm
20,49.79420983628324,7.056501246105129,6.015740638176597,8.343402316048143,0.3,tsm
30,63.928223806659226,7.995512729441385,6.705554034485384,9.304059510452985,0.3,tsm
1,2.0087708481833544,1.4173111331614363,1.176249064071917,1.6634182362225376,0.05,TSM+LLM-COT-RF-HDELTA
5,10.32779498444403,3.2136886881656768,2.6456504775119494,3.7334441854906335,0.05,TSM+LLM-COT-RF-HDELTA
20,50.313067627145635,7.093170491898925,6.05725098328116,8.400840498126266,0.05,TSM+LLM-COT-RF-HDELTA
30,65.06367217188895,8.066205562213806,6.760876312633737,9.367005303953382,0.05,TSM+LLM-COT-RF-HDELTA
1,2.0249857886299862,1.4230199537005748,1.1775122691063065,1.6652440392225858,0.1,TSM+LLM-COT-RF-HDELTA
5,10.364204441144029,3.2193484497867,2.648893175088517,3.7382015392421044,0.1,TSM+LLM-COT-RF-HDELTA
20,50.30062500886429,7.092293353271866,6.056162782582942,8.399584147708246,0.1,TSM+LLM-COT-RF-HDELTA
30,65.07912776738343,8.067163551545452,6.762113271313859,9.369793284808212,0.1,TSM+LLM-COT-RF-HDELTA
1,2.0627635082906504,1.436232400515547,1.181380324036312,1.6708407400927952,0.2,TSM+LLM-COT-RF-HDELTA
5,10.445437886877176,3.231940266601036,2.6568190384010415,3.7497783202331214,0.2,TSM+LLM-COT-RF-HDELTA
20,50.28118099841101,7.090922436355584,6.053986381186506,8.39707144687221,0.2,TSM+LLM-COT-RF-HDELTA
30,65.11697920939159,8.069509229772997,6.764587188674099,9.375369246517876,0.2,TSM+LLM-COT-RF-HDELTA
1,2.107671679641185,1.4517822425009836,1.1861014602957742,1.6776940660093584,0.3,TSM+LLM-COT-RF-HDELTA
5,10.5378907090545,3.2462117474149004,2.668779820662504,3.7669233681240644,0.3,TSM+LLM-COT-RF-HDELTA
20,50.26899195610357,7.090062902126015,6.05180997979007,8.394558746036175,0.3,TSM+LLM-COT-RF-HDELTA
30,65.16408431942543,8.072427411839975,6.767061106034343,9.380945208227539,0.3,TSM+LLM-COT-RF-HDELTA
