horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5845070422535211,0.6944444444444444,0.5,0.4,72,50,20,0.02,18,naive_persistence,full,142
20,0.4507042253521127,0.5061728395061729,0.41818181818181815,0.0,81,55,6,0.02,18,naive_persistence,full,142
30,0.5,0.5180722891566265,0.41304347826086957,0.6923076923076923,83,46,13,0.02,18,naive_persistence,full,142
10,0.5845070422535211,0.6944444444444444,0.5,0.4,72,50,20,0.02,18,seasonal_naive,full,142
20,0.4507042253521127,0.5061728395061729,0.41818181818181815,0.0,81,55,6,0.02,18,seasonal_naive,full,142
30,0.5,0.5180722891566265,0.41304347826086957,0.6923076923076923,83,46,13,0.02,18,seasonal_naive,full,142
10,0.5845070422535211,0.7222222222222222,0.4,0.55,72,50,20,0.02,18,linear_ridge,full,142
20,0.4507042253521127,0.6419753086419753,0.21818181818181817,0.0,81,55,6,0.02,18,linear_ridge,full,142
30,0.49295774647887325,0.6385542168674698,0.21739130434782608,0.5384615384615384,83,46,13,0.02,18,linear_ridge,full,142
10,0.4647887323943662,0.2638888888888889,0.7,0.6,72,50,20,0.02,18,linear_lasso,full,142
20,0.31690140845070425,0.18518518518518517,0.45454545454545453,0.8333333333333334,81,55,6,0.02,18,linear_lasso,full,142
30,0.352112676056338,0.26506024096385544,0.391304347826087,0.7692307692307693,83,46,13,0.02,18,linear_lasso,full,142
10,0.6056338028169014,0.7083333333333334,0.5,0.5,72,50,20,0.02,18,tsm,full,142
20,0.4788732394366197,0.654320987654321,0.2727272727272727,0.0,81,55,6,0.02,18,tsm,full,142
30,0.5211267605633803,0.7469879518072289,0.1956521739130435,0.23076923076923078,83,46,13,0.02,18,tsm,full,142
10,0.5985915492957746,0.7083333333333334,0.5,0.45,72,50,20,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,142
20,0.43661971830985913,0.5925925925925926,0.2545454545454545,0.0,81,55,6,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,142
30,0.5,0.6987951807228916,0.1956521739130435,0.3076923076923077,83,46,13,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,142
10,0.5845070422535211,0.6944444444444444,0.5,0.4,72,50,20,0.02,18,naive_persistence_llm_subset,llm_subset,142
20,0.4507042253521127,0.5061728395061729,0.41818181818181815,0.0,81,55,6,0.02,18,naive_persistence_llm_subset,llm_subset,142
30,0.5,0.5180722891566265,0.41304347826086957,0.6923076923076923,83,46,13,0.02,18,naive_persistence_llm_subset,llm_subset,142
10,0.5845070422535211,0.6944444444444444,0.5,0.4,72,50,20,0.02,18,seasonal_naive_llm_subset,llm_subset,142
20,0.4507042253521127,0.5061728395061729,0.41818181818181815,0.0,81,55,6,0.02,18,seasonal_naive_llm_subset,llm_subset,142
30,0.5,0.5180722891566265,0.41304347826086957,0.6923076923076923,83,46,13,0.02,18,seasonal_naive_llm_subset,llm_subset,142
10,0.5845070422535211,0.7222222222222222,0.4,0.55,72,50,20,0.02,18,linear_ridge_llm_subset,llm_subset,142
20,0.4507042253521127,0.6419753086419753,0.21818181818181817,0.0,81,55,6,0.02,18,linear_ridge_llm_subset,llm_subset,142
30,0.49295774647887325,0.6385542168674698,0.21739130434782608,0.5384615384615384,83,46,13,0.02,18,linear_ridge_llm_subset,llm_subset,142
10,0.4647887323943662,0.2638888888888889,0.7,0.6,72,50,20,0.02,18,linear_lasso_llm_subset,llm_subset,142
20,0.31690140845070425,0.18518518518518517,0.45454545454545453,0.8333333333333334,81,55,6,0.02,18,linear_lasso_llm_subset,llm_subset,142
30,0.352112676056338,0.26506024096385544,0.391304347826087,0.7692307692307693,83,46,13,0.02,18,linear_lasso_llm_subset,llm_subset,142
10,0.6056338028169014,0.7083333333333334,0.5,0.5,72,50,20,0.02,18,tsm_llm_subset,llm_subset,142
20,0.4788732394366197,0.654320987654321,0.2727272727272727,0.0,81,55,6,0.02,18,tsm_llm_subset,llm_subset,142
30,0.5211267605633803,0.7469879518072289,0.1956521739130435,0.23076923076923078,83,46,13,0.02,18,tsm_llm_subset,llm_subset,142
