horizon,mse,rmse,mae,mape,noise_level,model
1,2.752714524430737,1.659130653212922,1.250105176869399,1.861723016455228,0.05,tsm
5,12.590872676561244,3.5483619709044967,2.912029753205293,4.316525608968043,0.05,tsm
20,40.7112564197752,6.38053731434706,5.369379693516984,7.9203757265888175,0.05,tsm
30,55.462457841725566,7.447312121948802,6.503593088304289,9.583402958247113,0.05,tsm
1,2.743199701306033,1.6562607588498959,1.2495827176514456,1.8609414988585427,0.1,tsm
5,12.60139112564973,3.549843817078398,2.9140022543816917,4.318612275697014,0.1,tsm
20,40.7395209313509,6.382751830625322,5.372884670011197,7.925702849662572,0.1,tsm
30,55.434452877928834,7.445431678413874,6.502628032512825,9.582650207764415,0.1,tsm
1,2.7337804972378508,1.6534147989049361,1.2541053509275557,1.8673833282269654,0.2,tsm
5,12.633527189548978,3.554367340265913,2.917947256734491,4.322785609154957,0.2,tsm
20,40.80529149482086,6.387901963463501,5.380665607153816,7.937480700558716,0.2,tsm
30,55.38876149975021,7.44236262888004,6.501642494384825,9.582473968672618,0.2,tsm
1,2.737175216698602,1.654441058695837,1.262976902982162,1.8801414850753877,0.3,tsm
5,12.680462144931122,3.5609636539750196,2.9218922588740983,4.326958942233268,0.3,tsm
20,40.88338411196187,6.3940115820947545,5.388884461141726,7.950019484173721,0.3,tsm
30,55.35682818690121,7.440216944881461,6.50091954459204,9.582661879295252,0.3,tsm
1,2.752247571018577,1.6589899249297981,1.2498494147101076,1.861341065726865,0.05,TSM+LLM-COT-RF-HDELTA
5,13.078959944351501,3.6164844731246255,2.9540608583066397,4.378255333931223,0.05,TSM+LLM-COT-RF-HDELTA
20,43.60727909744862,6.603580778445026,5.5480117754925224,8.185837960347316,0.05,TSM+LLM-COT-RF-HDELTA
30,58.02600009820288,7.617479904679951,6.642088425174281,9.787469444390267,0.05,TSM+LLM-COT-RF-HDELTA
1,2.7429219259527393,1.6561769005612714,1.2490711933328629,1.8601775974018173,0.1,TSM+LLM-COT-RF-HDELTA
5,13.090318571635946,3.6180545285603345,2.956053882535248,4.380340554869881,0.1,TSM+LLM-COT-RF-HDELTA
20,43.63124014814467,6.605394776101173,5.551212206470001,8.190684674989033,0.1,TSM+LLM-COT-RF-HDELTA
30,58.00293935755411,7.615966081696669,6.641036275017616,9.786656248257405,0.1,TSM+LLM-COT-RF-HDELTA
1,2.735849472415374,1.6540403478801156,1.2540019489179184,1.8671423563118104,0.2,TSM+LLM-COT-RF-HDELTA
5,13.126132700910153,3.6230005107521244,2.9609517246891826,4.3860465199541965,0.2,TSM+LLM-COT-RF-HDELTA
20,43.68998230791232,6.609839809550025,5.557822060012919,8.200741252151849,0.2,TSM+LLM-COT-RF-HDELTA
30,57.968444853516324,7.613701127146792,6.639876548153665,9.78635911785747,0.2,TSM+LLM-COT-RF-HDELTA
1,2.744215467670426,1.6565673749263645,1.2628217999722102,1.8797800272440393,0.3,TSM+LLM-COT-RF-HDELTA
5,13.179409329791454,3.630345621258595,2.966752484351032,4.393097529691515,0.3,TSM+LLM-COT-RF-HDELTA
20,43.763151212180645,6.6153723411596905,5.56481383112561,8.211461456769314,0.3,TSM+LLM-COT-RF-HDELTA
30,57.94945298582485,7.612453808452623,6.638979409658526,9.786426137182387,0.3,TSM+LLM-COT-RF-HDELTA
