horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.23448275862068965,0.0,0.0,1.0,52,59,34,naive_persistence,full,145
5,0.06896551724137931,0.0,0.0,1.0,61,74,10,naive_persistence,full,145
20,0.1103448275862069,0.0,0.0,1.0,69,60,16,naive_persistence,full,145
30,0.020689655172413793,0.0,0.0,1.0,73,69,3,naive_persistence,full,145
1,0.33793103448275863,0.40384615384615385,0.4406779661016949,0.058823529411764705,52,59,34,seasonal_naive,full,145
5,0.06896551724137931,0.0,0.0,1.0,61,74,10,seasonal_naive,full,145
20,0.1103448275862069,0.0,0.0,1.0,69,60,16,seasonal_naive,full,145
30,0.020689655172413793,0.0,0.0,1.0,73,69,3,seasonal_naive,full,145
1,0.22758620689655173,0.0,0.0,0.9705882352941176,52,59,34,linear_ridge,full,145
5,0.2827586206896552,0.39344262295081966,0.12162162162162163,0.8,61,74,10,linear_ridge,full,145
20,0.3310344827586207,0.6231884057971014,0.08333333333333333,0.0,69,60,16,linear_ridge,full,145
30,0.4,0.7808219178082192,0.014492753623188406,0.0,73,69,3,linear_ridge,full,145
1,0.4068965517241379,0.0,1.0,0.0,52,59,34,linear_lasso,full,145
5,0.5103448275862069,0.0,1.0,0.0,61,74,10,linear_lasso,full,145
20,0.33793103448275863,0.14492753623188406,0.6166666666666667,0.125,69,60,16,linear_lasso,full,145
30,0.45517241379310347,0.4520547945205479,0.463768115942029,0.3333333333333333,73,69,3,linear_lasso,full,145
1,0.2896551724137931,0.057692307692307696,0.0847457627118644,1.0,52,59,34,tsm,full,145
5,0.25517241379310346,0.4262295081967213,0.08108108108108109,0.5,61,74,10,tsm,full,145
20,0.35172413793103446,0.6521739130434783,0.08333333333333333,0.0625,69,60,16,tsm,full,145
30,0.3310344827586207,0.6438356164383562,0.014492753623188406,0.0,73,69,3,tsm,full,145
1,0.2896551724137931,0.057692307692307696,0.0847457627118644,1.0,52,59,34,TSM+LLM-COT-RF-HDELTA,llm_subset,145
5,0.25517241379310346,0.4262295081967213,0.0945945945945946,0.4,61,74,10,TSM+LLM-COT-RF-HDELTA,llm_subset,145
20,0.31724137931034485,0.5942028985507246,0.06666666666666667,0.0625,69,60,16,TSM+LLM-COT-RF-HDELTA,llm_subset,145
30,0.32413793103448274,0.6301369863013698,0.014492753623188406,0.0,73,69,3,TSM+LLM-COT-RF-HDELTA,llm_subset,145
1,0.23448275862068965,0.0,0.0,1.0,52,59,34,naive_persistence_llm_subset,llm_subset,145
5,0.06896551724137931,0.0,0.0,1.0,61,74,10,naive_persistence_llm_subset,llm_subset,145
20,0.1103448275862069,0.0,0.0,1.0,69,60,16,naive_persistence_llm_subset,llm_subset,145
30,0.020689655172413793,0.0,0.0,1.0,73,69,3,naive_persistence_llm_subset,llm_subset,145
1,0.33793103448275863,0.40384615384615385,0.4406779661016949,0.058823529411764705,52,59,34,seasonal_naive_llm_subset,llm_subset,145
5,0.06896551724137931,0.0,0.0,1.0,61,74,10,seasonal_naive_llm_subset,llm_subset,145
20,0.1103448275862069,0.0,0.0,1.0,69,60,16,seasonal_naive_llm_subset,llm_subset,145
30,0.020689655172413793,0.0,0.0,1.0,73,69,3,seasonal_naive_llm_subset,llm_subset,145
1,0.22758620689655173,0.0,0.0,0.9705882352941176,52,59,34,linear_ridge_llm_subset,llm_subset,145
5,0.2827586206896552,0.39344262295081966,0.12162162162162163,0.8,61,74,10,linear_ridge_llm_subset,llm_subset,145
20,0.3310344827586207,0.6231884057971014,0.08333333333333333,0.0,69,60,16,linear_ridge_llm_subset,llm_subset,145
30,0.4,0.7808219178082192,0.014492753623188406,0.0,73,69,3,linear_ridge_llm_subset,llm_subset,145
1,0.4068965517241379,0.0,1.0,0.0,52,59,34,linear_lasso_llm_subset,llm_subset,145
5,0.5103448275862069,0.0,1.0,0.0,61,74,10,linear_lasso_llm_subset,llm_subset,145
20,0.33793103448275863,0.14492753623188406,0.6166666666666667,0.125,69,60,16,linear_lasso_llm_subset,llm_subset,145
30,0.45517241379310347,0.4520547945205479,0.463768115942029,0.3333333333333333,73,69,3,linear_lasso_llm_subset,llm_subset,145
1,0.2896551724137931,0.057692307692307696,0.0847457627118644,1.0,52,59,34,tsm_llm_subset,llm_subset,145
5,0.25517241379310346,0.4262295081967213,0.08108108108108109,0.5,61,74,10,tsm_llm_subset,llm_subset,145
20,0.35172413793103446,0.6521739130434783,0.08333333333333333,0.0625,69,60,16,tsm_llm_subset,llm_subset,145
30,0.3310344827586207,0.6438356164383562,0.014492753623188406,0.0,73,69,3,tsm_llm_subset,llm_subset,145
