horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.38620689655172413,0.15789473684210525,0.42696629213483145,0.40540540540540543,19,89,37,0.02,18,naive_persistence,full,145
20,0.4896551724137931,0.2857142857142857,0.5046728971962616,0.5416666666666666,14,107,24,0.02,18,naive_persistence,full,145
30,0.42758620689655175,0.0,0.4435483870967742,0.3684210526315789,2,124,19,0.02,18,naive_persistence,full,145
10,0.38620689655172413,0.15789473684210525,0.42696629213483145,0.40540540540540543,19,89,37,0.02,18,seasonal_naive,full,145
20,0.4896551724137931,0.2857142857142857,0.5046728971962616,0.5416666666666666,14,107,24,0.02,18,seasonal_naive,full,145
30,0.42758620689655175,0.0,0.4435483870967742,0.3684210526315789,2,124,19,0.02,18,seasonal_naive,full,145
10,0.20689655172413793,0.2631578947368421,0.06741573033707865,0.5135135135135135,19,89,37,0.02,18,linear_ridge,full,145
20,0.0896551724137931,0.6428571428571429,0.009345794392523364,0.125,14,107,24,0.02,18,linear_ridge,full,145
30,0.027586206896551724,1.0,0.0,0.10526315789473684,2,124,19,0.02,18,linear_ridge,full,145
10,0.503448275862069,0.10526315789473684,0.7191011235955056,0.1891891891891892,19,89,37,0.02,18,linear_lasso,full,145
20,0.43448275862068964,0.21428571428571427,0.3925233644859813,0.75,14,107,24,0.02,18,linear_lasso,full,145
30,0.1793103448275862,1.0,0.08870967741935484,0.6842105263157895,2,124,19,0.02,18,linear_lasso,full,145
10,0.23448275862068965,0.5789473684210527,0.07865168539325842,0.43243243243243246,19,89,37,0.02,18,tsm,full,145
20,0.12413793103448276,0.9285714285714286,0.018691588785046728,0.125,14,107,24,0.02,18,tsm,full,145
30,0.027586206896551724,1.0,0.016129032258064516,0.0,2,124,19,0.02,18,tsm,full,145
10,0.2206896551724138,0.5263157894736842,0.07865168539325842,0.40540540540540543,19,89,37,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,145
20,0.12413793103448276,0.9285714285714286,0.018691588785046728,0.125,14,107,24,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,145
30,0.027586206896551724,1.0,0.016129032258064516,0.0,2,124,19,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,145
10,0.38620689655172413,0.15789473684210525,0.42696629213483145,0.40540540540540543,19,89,37,0.02,18,naive_persistence_llm_subset,llm_subset,145
20,0.4896551724137931,0.2857142857142857,0.5046728971962616,0.5416666666666666,14,107,24,0.02,18,naive_persistence_llm_subset,llm_subset,145
30,0.42758620689655175,0.0,0.4435483870967742,0.3684210526315789,2,124,19,0.02,18,naive_persistence_llm_subset,llm_subset,145
10,0.38620689655172413,0.15789473684210525,0.42696629213483145,0.40540540540540543,19,89,37,0.02,18,seasonal_naive_llm_subset,llm_subset,145
20,0.4896551724137931,0.2857142857142857,0.5046728971962616,0.5416666666666666,14,107,24,0.02,18,seasonal_naive_llm_subset,llm_subset,145
30,0.42758620689655175,0.0,0.4435483870967742,0.3684210526315789,2,124,19,0.02,18,seasonal_naive_llm_subset,llm_subset,145
10,0.20689655172413793,0.2631578947368421,0.06741573033707865,0.5135135135135135,19,89,37,0.02,18,linear_ridge_llm_subset,llm_subset,145
20,0.0896551724137931,0.6428571428571429,0.009345794392523364,0.125,14,107,24,0.02,18,linear_ridge_llm_subset,llm_subset,145
30,0.027586206896551724,1.0,0.0,0.10526315789473684,2,124,19,0.02,18,linear_ridge_llm_subset,llm_subset,145
10,0.503448275862069,0.10526315789473684,0.7191011235955056,0.1891891891891892,19,89,37,0.02,18,linear_lasso_llm_subset,llm_subset,145
20,0.43448275862068964,0.21428571428571427,0.3925233644859813,0.75,14,107,24,0.02,18,linear_lasso_llm_subset,llm_subset,145
30,0.1793103448275862,1.0,0.08870967741935484,0.6842105263157895,2,124,19,0.02,18,linear_lasso_llm_subset,llm_subset,145
10,0.23448275862068965,0.5789473684210527,0.07865168539325842,0.43243243243243246,19,89,37,0.02,18,tsm_llm_subset,llm_subset,145
20,0.12413793103448276,0.9285714285714286,0.018691588785046728,0.125,14,107,24,0.02,18,tsm_llm_subset,llm_subset,145
30,0.027586206896551724,1.0,0.016129032258064516,0.0,2,124,19,0.02,18,tsm_llm_subset,llm_subset,145
