horizon,mse,rmse,mae,mape,model,subset,n_samples
1,4.469277858734131,2.1140666007995605,1.6986205577850342,1.972334273159504,naive_persistence,full,145
5,24.177831649780273,4.91709566116333,3.9411721229553223,4.551379382610321,naive_persistence,full,145
20,67.79084014892578,8.233519554138184,6.971999645233154,7.9313963651657104,naive_persistence,full,145
30,86.4603042602539,9.2984037399292,7.67186164855957,8.62852931022644,naive_persistence,full,145
1,23.97139398431333,4.896059025819984,3.8977936317180766,4.513996081619094,seasonal_naive,full,145
5,24.177831561502135,4.917095846279808,3.9411718960466056,4.551379466602373,seasonal_naive,full,145
20,67.79083850376573,8.233519205283105,6.971999753754714,7.931396295952115,seasonal_naive,full,145
30,86.46030641480887,9.29840343364434,7.671861688021956,8.628529406513012,seasonal_naive,full,145
1,4.469998442393262,2.1142370828252117,1.6775427982724946,1.952311059822981,linear_ridge,full,145
5,22.938138215929865,4.789377643904254,3.8557637707940464,4.460597831966815,linear_ridge,full,145
20,70.99589277265578,8.425906050547667,7.534960200868804,8.656696886679093,linear_ridge,full,145
30,93.31749597211521,9.660098134704182,8.367007077973465,9.546924414119964,linear_ridge,full,145
1,48.337906217238675,6.952546743261686,6.629996779869343,7.6534108561336,linear_lasso,full,145
5,61.88195938293085,7.866508716255951,6.700617481100148,7.639165337298899,linear_lasso,full,145
20,77.03664693136756,8.777052291707482,6.985341828444908,7.863561608111196,linear_lasso,full,145
30,89.2171579383402,9.445483467686564,7.607153109846444,8.523947909262072,linear_lasso,full,145
1,4.714263916015625,2.1712355613708496,1.7402607202529907,2.020407095551491,tsm,full,145
5,24.53902244567871,4.95368766784668,4.027805805206299,4.658661410212517,tsm,full,145
20,75.92779541015625,8.713655471801758,7.667966365814209,8.724695444107056,tsm,full,145
30,101.1852798461914,10.059089660644531,8.497316360473633,9.588921070098877,tsm,full,145
1,4.714263506781245,2.171235479348393,1.7402606832570042,2.0204071306238864,TSM+LLM-COT-RF-HDELTA,llm_subset,145
5,24.644617545996244,4.964334552182825,4.034876316859805,4.668220764592534,TSM+LLM-COT-RF-HDELTA,llm_subset,145
20,77.1826873656706,8.785367799111805,7.727949264236977,8.792363789722799,TSM+LLM-COT-RF-HDELTA,llm_subset,145
30,103.06656577142944,10.15217049558514,8.586702009387839,9.690101973380445,TSM+LLM-COT-RF-HDELTA,llm_subset,145
1,4.469277858734131,2.1140666007995605,1.6986205577850342,1.972334273159504,naive_persistence_llm_subset,llm_subset,145
5,24.177831649780273,4.91709566116333,3.9411721229553223,4.551379382610321,naive_persistence_llm_subset,llm_subset,145
20,67.79084014892578,8.233519554138184,6.971999645233154,7.9313963651657104,naive_persistence_llm_subset,llm_subset,145
30,86.4603042602539,9.2984037399292,7.67186164855957,8.62852931022644,naive_persistence_llm_subset,llm_subset,145
1,23.97139398431333,4.896059025819984,3.8977936317180766,4.513996081619094,seasonal_naive_llm_subset,llm_subset,145
5,24.177831561502135,4.917095846279808,3.9411718960466056,4.551379466602373,seasonal_naive_llm_subset,llm_subset,145
20,67.79083850376573,8.233519205283105,6.971999753754714,7.931396295952115,seasonal_naive_llm_subset,llm_subset,145
30,86.46030641480887,9.29840343364434,7.671861688021956,8.628529406513012,seasonal_naive_llm_subset,llm_subset,145
1,4.469998442393262,2.1142370828252117,1.6775427982724946,1.952311059822981,linear_ridge_llm_subset,llm_subset,145
5,22.938138215929865,4.789377643904254,3.8557637707940464,4.460597831966815,linear_ridge_llm_subset,llm_subset,145
20,70.99589277265578,8.425906050547667,7.534960200868804,8.656696886679093,linear_ridge_llm_subset,llm_subset,145
30,93.31749597211521,9.660098134704182,8.367007077973465,9.546924414119964,linear_ridge_llm_subset,llm_subset,145
1,48.337906217238675,6.952546743261686,6.629996779869343,7.6534108561336,linear_lasso_llm_subset,llm_subset,145
5,61.88195938293085,7.866508716255951,6.700617481100148,7.639165337298899,linear_lasso_llm_subset,llm_subset,145
20,77.03664693136756,8.777052291707482,6.985341828444908,7.863561608111196,linear_lasso_llm_subset,llm_subset,145
30,89.2171579383402,9.445483467686564,7.607153109846444,8.523947909262072,linear_lasso_llm_subset,llm_subset,145
1,4.714263916015625,2.1712355613708496,1.7402607202529907,2.020407095551491,tsm_llm_subset,llm_subset,145
5,24.53902244567871,4.95368766784668,4.027805805206299,4.658661410212517,tsm_llm_subset,llm_subset,145
20,75.92779541015625,8.713655471801758,7.667966365814209,8.724695444107056,tsm_llm_subset,llm_subset,145
30,101.1852798461914,10.059089660644531,8.497316360473633,9.588921070098877,tsm_llm_subset,llm_subset,145
