horizon,mse,rmse,mae,mape,noise_level,model
1,9.537183314522387,3.0882330408378165,2.107474461210973,5.077353731997473,0.05,tsm
5,21.61129400361086,4.648794897993549,3.9923654803129156,9.7700523772624,0.05,tsm
20,136.73904014814505,11.693546944710363,10.052156689846182,26.285422236747486,0.05,tsm
30,194.7433041976165,13.95504583287409,12.766650950671185,33.48128432647827,0.05,tsm
1,9.656620526001051,3.107510342058583,2.123450532992287,5.117999244806106,0.1,tsm
5,21.572287080382683,4.644597623086707,3.9844807060339806,9.753687847676277,0.1,tsm
20,136.85242952845223,11.698394314112182,10.066742818244174,26.317196635590445,0.1,tsm
30,196.03874639610822,14.001383731478407,12.808843494293061,33.58796056619026,0.1,tsm
1,10.067552114483702,3.1729406099836948,2.202204674820229,5.318315745805616,0.2,tsm
5,21.683584228366936,4.6565635643000665,3.9784614367188045,9.745220770485933,0.2,tsm
20,137.22961318158883,11.714504393340285,10.095993219404384,26.380915571233498,0.2,tsm
30,198.80946159299197,14.09998090753998,12.893228581536814,33.80131304561424,0.2,tsm
1,10.70789331811395,3.272291753208132,2.32225753921666,5.625918554458303,0.3,tsm
5,22.047296080637928,4.695454832136917,3.9969499832643702,9.793219081437275,0.3,tsm
20,137.80733677152975,11.739136968769456,10.129923120728202,26.454836180227137,0.3,tsm
30,201.8199515278924,14.206334908339041,12.977613678370608,34.01466554885284,0.3,tsm
