horizon,mse,rmse,mae,mape,noise_level,model
1,2.6576407425046464,1.6302272057920781,1.128398292785,2.761437507225279,0.05,tsm
5,10.882431829310212,3.298853108174144,2.546278693795551,6.199678393054011,0.05,tsm
20,29.980150606614156,5.475413281809343,4.5951706124580785,11.075215613897015,0.05,tsm
30,34.66333672393791,5.887557789435099,4.998367570498709,12.046076270335622,0.05,tsm
1,2.686040448673336,1.6389144116375742,1.134944640114934,2.775181685399601,0.1,tsm
5,10.93140528284436,3.306267575808764,2.550703876340999,6.212664314127595,0.1,tsm
20,30.046129072807968,5.481434946508803,4.602061109593633,11.090932615329958,0.1,tsm
30,34.6609916454799,5.887358630615252,4.9972665443322395,12.047324877999834,0.1,tsm
1,2.769062418919845,1.6640500049336995,1.161812976666851,2.835786445102016,0.2,tsm
5,11.057693024663445,3.3253109666110094,2.5615157309460055,6.243264493850682,0.2,tsm
20,30.19621866392795,5.4951086125688136,4.617434691017191,11.126030733998165,0.2,tsm
30,34.681472506582246,5.889097766770581,4.995064491999307,12.049822093328256,0.2,tsm
1,2.8870478039134104,1.6991314851751205,1.1999239687428869,2.925061368541402,0.3,tsm
5,11.221768559215066,3.349890827954706,2.5811199840347863,6.294495467100514,0.3,tsm
20,30.370485166807416,5.510942312055844,4.632808275175796,11.161128859030764,0.3,tsm
30,34.73551472670483,5.8936843083681385,4.9944785161355485,12.05576657160666,0.3,tsm
