horizon,mse,rmse,mae,mape,model
1,0.0020496812649071217,0.04527340456843376,0.02996872179210186,99.99986290931702,naive_persistence
5,0.0037371295038610697,0.06113206595182419,0.046608518809080124,99.99991655349731,naive_persistence
20,0.016278989613056183,0.1275891363620758,0.10810162127017975,99.99997615814209,naive_persistence
30,0.024715490639209747,0.15721161663532257,0.13423068821430206,99.99997019767761,naive_persistence
1,0.003733071522085826,0.06109886678233751,0.046569728380574854,603.3433076699783,seasonal_naive
5,0.003737129457402565,0.06113206570534457,0.046608516196911656,99.99990825954312,seasonal_naive
20,0.016278987241122103,0.1275891344947606,0.10810163111445065,99.99997367809003,seasonal_naive
30,0.024715492892066163,0.15721161818410928,0.1342306910274065,99.99997309050245,seasonal_naive
1,0.0021310776379037536,0.04616359645763915,0.030465167209896633,125.59852104407024,linear_ridge
5,0.004568384151715707,0.06758982284128068,0.05048091808897596,308.9707201345243,linear_ridge
20,0.16143486711795083,0.40178958064881526,0.37552636010457113,916.453230838594,linear_ridge
30,0.12771808522720313,0.3573766713527943,0.30978450607301977,710.7044579807788,linear_ridge
1,0.02353259610057291,0.1534033770833384,0.14644176042839185,2020.1488503889223,linear_lasso
5,0.022917456351376854,0.151385125925161,0.1378459322129859,1282.868633475956,linear_lasso
20,0.12967597895852784,0.3601055108694226,0.3345918133157428,800.5135887566398,linear_lasso
30,0.11229122738272891,0.3350988322610643,0.29287252736649316,678.9596227037354,linear_lasso
1,0.01133694127202034,0.10647507011890411,0.09212686121463776,1200.9208679199219,tsm
5,0.016370832920074463,0.1279485523700714,0.10061748325824738,842.1594619750977,tsm
20,0.01997230015695095,0.14132338762283325,0.11029031872749329,293.05102825164795,tsm
30,0.246639221906662,0.4966278374195099,0.4726496636867523,1255.7201385498047,tsm
1,0.0020496812649071217,0.04527340456843376,0.02996872179210186,99.99986290931702,naive_persistence_llm_subset
5,0.0037371295038610697,0.06113206595182419,0.046608518809080124,99.99991655349731,naive_persistence_llm_subset
20,0.016278989613056183,0.1275891363620758,0.10810162127017975,99.99997615814209,naive_persistence_llm_subset
30,0.024715490639209747,0.15721161663532257,0.13423068821430206,99.99997019767761,naive_persistence_llm_subset
1,0.003733071522085826,0.06109886678233751,0.046569728380574854,603.3433076699783,seasonal_naive_llm_subset
5,0.003737129457402565,0.06113206570534457,0.046608516196911656,99.99990825954312,seasonal_naive_llm_subset
20,0.016278987241122103,0.1275891344947606,0.10810163111445065,99.99997367809003,seasonal_naive_llm_subset
30,0.024715492892066163,0.15721161818410928,0.1342306910274065,99.99997309050245,seasonal_naive_llm_subset
1,0.0021310776379037536,0.04616359645763915,0.030465167209896633,125.59852104407024,linear_ridge_llm_subset
5,0.004568384151715707,0.06758982284128068,0.05048091808897596,308.9707201345243,linear_ridge_llm_subset
20,0.16143486711795083,0.40178958064881526,0.37552636010457113,916.453230838594,linear_ridge_llm_subset
30,0.12771808522720313,0.3573766713527943,0.30978450607301977,710.7044579807788,linear_ridge_llm_subset
1,0.02353259610057291,0.1534033770833384,0.14644176042839185,2020.1488503889223,linear_lasso_llm_subset
5,0.022917456351376854,0.151385125925161,0.1378459322129859,1282.868633475956,linear_lasso_llm_subset
20,0.12967597895852784,0.3601055108694226,0.3345918133157428,800.5135887566398,linear_lasso_llm_subset
30,0.11229122738272891,0.3350988322610643,0.29287252736649316,678.9596227037354,linear_lasso_llm_subset
1,0.01133694127202034,0.10647507011890411,0.09212686121463776,1200.9208679199219,tsm_llm_subset
5,0.016370832920074463,0.1279485523700714,0.10061748325824738,842.1594619750977,tsm_llm_subset
20,0.01997230015695095,0.14132338762283325,0.11029031872749329,293.05102825164795,tsm_llm_subset
30,0.246639221906662,0.4966278374195099,0.4726496636867523,1255.7201385498047,tsm_llm_subset
