horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence,full,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive,full,146
1,0.21232876712328766,0.06779661016949153,0.0967741935483871,0.84,59,62,25,linear_ridge,full,146
5,0.4657534246575342,0.0,0.7831325301204819,0.17647058823529413,46,83,17,linear_ridge,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge,full,146
30,0.3219178082191781,0.9111111111111111,0.06315789473684211,0.0,45,95,6,linear_ridge,full,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso,full,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso,full,146
30,0.3150684931506849,0.9333333333333333,0.042105263157894736,0.0,45,95,6,linear_lasso,full,146
1,0.4315068493150685,0.05084745762711865,0.967741935483871,0.0,59,62,25,tsm,full,146
5,0.5684931506849316,0.043478260869565216,0.963855421686747,0.058823529411764705,46,83,17,tsm,full,146
20,0.6232876712328768,0.0,0.9578947368421052,0.0,47,95,4,tsm,full,146
30,0.6506849315068494,0.0,1.0,0.0,45,95,6,tsm,full,146
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence_llm_subset,llm_subset,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive_llm_subset,llm_subset,146
1,0.21232876712328766,0.06779661016949153,0.0967741935483871,0.84,59,62,25,linear_ridge_llm_subset,llm_subset,146
5,0.4657534246575342,0.0,0.7831325301204819,0.17647058823529413,46,83,17,linear_ridge_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge_llm_subset,llm_subset,146
30,0.3219178082191781,0.9111111111111111,0.06315789473684211,0.0,45,95,6,linear_ridge_llm_subset,llm_subset,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso_llm_subset,llm_subset,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso_llm_subset,llm_subset,146
30,0.3150684931506849,0.9333333333333333,0.042105263157894736,0.0,45,95,6,linear_lasso_llm_subset,llm_subset,146
1,0.4315068493150685,0.05084745762711865,0.967741935483871,0.0,59,62,25,tsm_llm_subset,llm_subset,146
5,0.5684931506849316,0.043478260869565216,0.963855421686747,0.058823529411764705,46,83,17,tsm_llm_subset,llm_subset,146
20,0.6232876712328768,0.0,0.9578947368421052,0.0,47,95,4,tsm_llm_subset,llm_subset,146
30,0.6506849315068494,0.0,1.0,0.0,45,95,6,tsm_llm_subset,llm_subset,146
