horizon,mse,rmse,mae,mape,model
1,0.0016527698608115315,0.040654271841049194,0.02872590348124504,99.3005633354187,naive_persistence
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence
20,0.017751703038811684,0.13323551416397095,0.10172243416309357,99.84591007232666,naive_persistence
30,0.022142985835671425,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence
1,0.005606765924119469,0.07487834082109104,0.054762629641880764,1484685.8538384056,seasonal_naive
5,0.005719237476617671,0.0756256403385629,0.05551088075120966,99.99991044429648,seasonal_naive
20,0.017751703971022097,0.13323552068056813,0.10172244088424659,99.84590082387928,seasonal_naive
30,0.022142984734574555,0.14880519054984123,0.1207166788513427,99.99993703760617,seasonal_naive
1,0.0016176141736056312,0.04021957450801327,0.030168150139556583,701395.7847265836,linear_ridge
5,0.005626431164098105,0.07500954048718139,0.061144747893216035,247.3871882953196,linear_ridge
20,0.01856962012633938,0.13627039343283404,0.10459589220300343,575413.5044850345,linear_ridge
30,0.020552430237165457,0.14336118804322687,0.10172205421274017,384.8343113463541,linear_ridge
1,0.004599990050293777,0.06782322648100558,0.05816158503390563,4278766.528194792,linear_lasso
5,0.009640610658528954,0.09818661140160075,0.08437458947373083,631.4186224145485,linear_lasso
20,0.023266930886472262,0.15253501528000796,0.11853475494333705,1396671.7876820674,linear_lasso
30,0.025076413101165013,0.15835533808863222,0.11355042884038381,604.7977752691588,linear_lasso
1,0.004460322204977274,0.06678564101457596,0.05777713283896446,2021070.8984375,tsm
5,0.01554645225405693,0.12468541413545609,0.10444873571395874,804.5910835266113,tsm
20,0.03447505086660385,0.18567457795143127,0.13763613998889923,1775149.609375,tsm
30,0.03617146611213684,0.1901879757642746,0.1435900628566742,639.5102977752686,tsm
1,0.0016527698608115315,0.040654271841049194,0.02872590348124504,99.3005633354187,naive_persistence_llm_subset
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence_llm_subset
20,0.017751703038811684,0.13323551416397095,0.10172243416309357,99.84591007232666,naive_persistence_llm_subset
30,0.022142985835671425,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence_llm_subset
1,0.005606765924119469,0.07487834082109104,0.054762629641880764,1484685.8538384056,seasonal_naive_llm_subset
5,0.005719237476617671,0.0756256403385629,0.05551088075120966,99.99991044429648,seasonal_naive_llm_subset
20,0.017751703971022097,0.13323552068056813,0.10172244088424659,99.84590082387928,seasonal_naive_llm_subset
30,0.022142984734574555,0.14880519054984123,0.1207166788513427,99.99993703760617,seasonal_naive_llm_subset
1,0.0016176141736056312,0.04021957450801327,0.030168150139556583,701395.7847265836,linear_ridge_llm_subset
5,0.005626431164098105,0.07500954048718139,0.061144747893216035,247.3871882953196,linear_ridge_llm_subset
20,0.01856962012633938,0.13627039343283404,0.10459589220300343,575413.5044850345,linear_ridge_llm_subset
30,0.020552430237165457,0.14336118804322687,0.10172205421274017,384.8343113463541,linear_ridge_llm_subset
1,0.004599990050293777,0.06782322648100558,0.05816158503390563,4278766.528194792,linear_lasso_llm_subset
5,0.009640610658528954,0.09818661140160075,0.08437458947373083,631.4186224145485,linear_lasso_llm_subset
20,0.023266930886472262,0.15253501528000796,0.11853475494333705,1396671.7876820674,linear_lasso_llm_subset
30,0.025076413101165013,0.15835533808863222,0.11355042884038381,604.7977752691588,linear_lasso_llm_subset
1,0.004460322204977274,0.06678564101457596,0.05777713283896446,2021070.8984375,tsm_llm_subset
5,0.01554645225405693,0.12468541413545609,0.10444873571395874,804.5910835266113,tsm_llm_subset
20,0.03447505086660385,0.18567457795143127,0.13763613998889923,1775149.609375,tsm_llm_subset
30,0.03617146611213684,0.1901879757642746,0.1435900628566742,639.5102977752686,tsm_llm_subset
