model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,146,61.12382888793945,7.818172931671143,6.202305793762207,9.171311557292938
seasonal_naive,full,146,66.27895078522837,8.141188536401081,6.588675585185012,9.779129794777516
linear_ridge,full,146,310.4285230081986,17.61898189476902,12.333888664419792,18.01639639539609
linear_lasso,full,146,265.7616678616025,16.30219825243217,12.320597600719156,17.89087926323069
tsm,full,146,858.69970703125,29.303579330444336,25.613948822021484,36.190617084503174
naive_persistence_llm_subset,llm_subset,146,61.12382888793945,7.818172931671143,6.202305793762207,9.171311557292938
seasonal_naive_llm_subset,llm_subset,146,66.27895078522837,8.141188536401081,6.588675585185012,9.779129794777516
linear_ridge_llm_subset,llm_subset,146,310.4285230081986,17.61898189476902,12.333888664419792,18.01639639539609
linear_lasso_llm_subset,llm_subset,146,265.7616678616025,16.30219825243217,12.320597600719156,17.89087926323069
tsm_llm_subset,llm_subset,146,858.69970703125,29.303579330444336,25.613948822021484,36.190617084503174
