horizon,mse,rmse,mae,mape,noise_level,model
1,33.743778495061356,5.808939532742732,4.294187882178856,5.813302121235489,0.05,tsm
5,737.7898450043407,27.162287182863313,26.125969946431095,36.37528222062871,0.05,tsm
20,432.5013785671784,20.79666748705615,18.590093819772658,25.85284456036191,0.05,tsm
30,435.33285624517447,20.86463170643504,18.687810730513647,26.264161163048772,0.05,tsm
1,35.198023986096786,5.93279225880165,4.429527292869443,6.006693785564213,0.1,tsm
5,740.0323180542653,27.203535028636725,26.15959777743384,36.427739304114446,0.1,tsm
20,432.379754546694,20.793743158620913,18.565555594792336,25.819583943350217,0.1,tsm
30,428.9954693482088,20.712205805954344,18.537772588672713,26.058226412820613,0.1,tsm
1,40.0615963928673,6.329423069511731,4.777743982314479,6.504022059093178,0.2,tsm
5,746.8571903636367,27.328688046879176,26.22685343943933,36.53265347108592,0.2,tsm
20,434.1232916956148,20.83562554126021,18.529757529674686,25.779915441618563,0.2,tsm
30,418.42841912990514,20.45552294931384,18.23932679518345,25.64951188562859,0.2,tsm
1,47.531944363221015,6.89434147422515,5.299642037168298,7.252029053970493,0.3,tsm
5,756.8019650196827,27.510033897101668,26.294109102709957,36.637567638957954,0.3,tsm
20,438.5158761623489,20.94077066782283,18.51496899358632,25.782325123075804,0.3,tsm
30,410.6716658678284,20.265035550618418,17.954662192349886,25.26746377067187,0.3,tsm
