horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.3986013986013986,0.4696969696969697,0.38181818181818183,0.22727272727272727,66,55,22,0.02,10,naive_persistence,full,143
20,0.4195804195804196,0.45348837209302323,0.3541666666666667,0.4444444444444444,86,48,9,0.02,10,naive_persistence,full,143
30,0.4405594405594406,0.4673913043478261,0.3953488372093023,0.375,92,43,8,0.02,10,naive_persistence,full,143
10,0.3986013986013986,0.4696969696969697,0.38181818181818183,0.22727272727272727,66,55,22,0.02,10,seasonal_naive,full,143
20,0.4195804195804196,0.45348837209302323,0.3541666666666667,0.4444444444444444,86,48,9,0.02,10,seasonal_naive,full,143
30,0.4405594405594406,0.4673913043478261,0.3953488372093023,0.375,92,43,8,0.02,10,seasonal_naive,full,143
10,0.43356643356643354,0.8333333333333334,0.05454545454545454,0.18181818181818182,66,55,22,0.02,10,linear_ridge,full,143
20,0.5874125874125874,0.9767441860465116,0.0,0.0,86,48,9,0.02,10,linear_ridge,full,143
30,0.6503496503496503,1.0,0.0,0.125,92,43,8,0.02,10,linear_ridge,full,143
10,0.4755244755244755,0.9848484848484849,0.01818181818181818,0.09090909090909091,66,55,22,0.02,10,linear_lasso,full,143
20,0.6013986013986014,1.0,0.0,0.0,86,48,9,0.02,10,linear_lasso,full,143
30,0.6433566433566433,1.0,0.0,0.0,92,43,8,0.02,10,linear_lasso,full,143
10,0.35664335664335667,0.5,0.21818181818181817,0.2727272727272727,66,55,22,0.02,10,tsm,full,143
20,0.3916083916083916,0.5465116279069767,0.125,0.3333333333333333,86,48,9,0.02,10,tsm,full,143
30,0.4755244755244755,0.6630434782608695,0.13953488372093023,0.125,92,43,8,0.02,10,tsm,full,143
10,0.3986013986013986,0.4696969696969697,0.38181818181818183,0.22727272727272727,66,55,22,0.02,10,naive_persistence_llm_subset,llm_subset,143
20,0.4195804195804196,0.45348837209302323,0.3541666666666667,0.4444444444444444,86,48,9,0.02,10,naive_persistence_llm_subset,llm_subset,143
30,0.4405594405594406,0.4673913043478261,0.3953488372093023,0.375,92,43,8,0.02,10,naive_persistence_llm_subset,llm_subset,143
10,0.3986013986013986,0.4696969696969697,0.38181818181818183,0.22727272727272727,66,55,22,0.02,10,seasonal_naive_llm_subset,llm_subset,143
20,0.4195804195804196,0.45348837209302323,0.3541666666666667,0.4444444444444444,86,48,9,0.02,10,seasonal_naive_llm_subset,llm_subset,143
30,0.4405594405594406,0.4673913043478261,0.3953488372093023,0.375,92,43,8,0.02,10,seasonal_naive_llm_subset,llm_subset,143
10,0.43356643356643354,0.8333333333333334,0.05454545454545454,0.18181818181818182,66,55,22,0.02,10,linear_ridge_llm_subset,llm_subset,143
20,0.5874125874125874,0.9767441860465116,0.0,0.0,86,48,9,0.02,10,linear_ridge_llm_subset,llm_subset,143
30,0.6503496503496503,1.0,0.0,0.125,92,43,8,0.02,10,linear_ridge_llm_subset,llm_subset,143
10,0.4755244755244755,0.9848484848484849,0.01818181818181818,0.09090909090909091,66,55,22,0.02,10,linear_lasso_llm_subset,llm_subset,143
20,0.6013986013986014,1.0,0.0,0.0,86,48,9,0.02,10,linear_lasso_llm_subset,llm_subset,143
30,0.6433566433566433,1.0,0.0,0.0,92,43,8,0.02,10,linear_lasso_llm_subset,llm_subset,143
10,0.35664335664335667,0.5,0.21818181818181817,0.2727272727272727,66,55,22,0.02,10,tsm_llm_subset,llm_subset,143
20,0.3916083916083916,0.5465116279069767,0.125,0.3333333333333333,86,48,9,0.02,10,tsm_llm_subset,llm_subset,143
30,0.4755244755244755,0.6630434782608695,0.13953488372093023,0.125,92,43,8,0.02,10,tsm_llm_subset,llm_subset,143
