model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,146,17.744678497314453,4.2124433517456055,3.1170341968536377,7.647016644477844
seasonal_naive,full,146,19.64550951874297,4.432325520394793,3.335175798146148,8.16411503416429
linear_ridge,full,146,90.36294972349488,9.505942863466773,7.902291799571416,20.668662035704124
linear_lasso,full,146,125.66667870233606,11.210115017355355,9.904708607991536,25.787527964506168
tsm,full,146,20.329816818237305,4.508859634399414,3.329611301422119,8.233455568552017
naive_persistence_llm_subset,llm_subset,146,17.744678497314453,4.2124433517456055,3.1170341968536377,7.647016644477844
seasonal_naive_llm_subset,llm_subset,146,19.64550951874297,4.432325520394793,3.335175798146148,8.16411503416429
linear_ridge_llm_subset,llm_subset,146,90.36294972349488,9.505942863466773,7.902291799571416,20.668662035704124
linear_lasso_llm_subset,llm_subset,146,125.66667870233606,11.210115017355355,9.904708607991536,25.787527964506168
tsm_llm_subset,llm_subset,146,20.329816818237305,4.508859634399414,3.329611301422119,8.233455568552017
