horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.5172781944274902,1.2317785024642944,0.924246609210968,2.3501040413975716,naive_persistence,full,146
5,4.2649970054626465,2.0651869773864746,1.5695888996124268,3.9404433220624924,naive_persistence,full,146
20,24.00370216369629,4.899357318878174,3.8521230220794678,9.443003684282303,naive_persistence,full,146
30,34.71660614013672,5.892079830169678,4.68458890914917,11.297466605901718,naive_persistence,full,146
1,4.133378105522739,2.0330711019348877,1.536643772909086,3.869444862590738,seasonal_naive,full,146
5,4.2649973892234625,2.065187010714396,1.5695888310262602,3.940442921240492,seasonal_naive,full,146
20,24.003701889333183,4.899357293496075,3.8521232343699836,9.443003952056445,seasonal_naive,full,146
30,34.716605544210175,5.892079899679754,4.68458909857763,11.297465790846678,seasonal_naive,full,146
1,1.8777859689216712,1.370323308172809,1.1068080484050593,2.84694616884651,linear_ridge,full,146
5,13.25902320151004,3.641294165747947,3.1844308670252968,8.320205162420233,linear_ridge,full,146
20,123.74315048038122,11.12398986337102,10.111940723575957,26.576579848123536,linear_ridge,full,146
30,196.42714226581353,14.015246778626965,13.196659924232797,34.1648185393004,linear_ridge,full,146
1,10.23924858888714,3.1998825898596874,2.98984266307256,7.792467784449006,linear_lasso,full,146
5,31.47836882889393,5.610558691333148,5.275631342848686,13.736640613073813,linear_lasso,full,146
20,166.84191052033017,12.916729869449549,12.151501616386518,31.73281366364763,linear_lasso,full,146
30,255.7652064768215,15.992661019255722,15.33204423564754,39.53346030300145,linear_lasso,full,146
1,1.503717064857483,1.2262613773345947,0.9415906071662903,2.3923495784401894,tsm,full,146
5,4.507194519042969,2.1230154037475586,1.6023139953613281,4.045728221535683,tsm,full,146
20,26.413955688476562,5.139451026916504,4.062939167022705,10.051632672548294,tsm,full,146
30,37.030582427978516,6.085275650024414,4.88974142074585,11.980822682380676,tsm,full,146
1,1.5172781944274902,1.2317785024642944,0.924246609210968,2.3501040413975716,naive_persistence_llm_subset,llm_subset,146
5,4.2649970054626465,2.0651869773864746,1.5695888996124268,3.9404433220624924,naive_persistence_llm_subset,llm_subset,146
20,24.00370216369629,4.899357318878174,3.8521230220794678,9.443003684282303,naive_persistence_llm_subset,llm_subset,146
30,34.71660614013672,5.892079830169678,4.68458890914917,11.297466605901718,naive_persistence_llm_subset,llm_subset,146
1,4.133378105522739,2.0330711019348877,1.536643772909086,3.869444862590738,seasonal_naive_llm_subset,llm_subset,146
5,4.2649973892234625,2.065187010714396,1.5695888310262602,3.940442921240492,seasonal_naive_llm_subset,llm_subset,146
20,24.003701889333183,4.899357293496075,3.8521232343699836,9.443003952056445,seasonal_naive_llm_subset,llm_subset,146
30,34.716605544210175,5.892079899679754,4.68458909857763,11.297465790846678,seasonal_naive_llm_subset,llm_subset,146
1,1.8777859689216712,1.370323308172809,1.1068080484050593,2.84694616884651,linear_ridge_llm_subset,llm_subset,146
5,13.25902320151004,3.641294165747947,3.1844308670252968,8.320205162420233,linear_ridge_llm_subset,llm_subset,146
20,123.74315048038122,11.12398986337102,10.111940723575957,26.576579848123536,linear_ridge_llm_subset,llm_subset,146
30,196.42714226581353,14.015246778626965,13.196659924232797,34.1648185393004,linear_ridge_llm_subset,llm_subset,146
1,10.23924858888714,3.1998825898596874,2.98984266307256,7.792467784449006,linear_lasso_llm_subset,llm_subset,146
5,31.47836882889393,5.610558691333148,5.275631342848686,13.736640613073813,linear_lasso_llm_subset,llm_subset,146
20,166.84191052033017,12.916729869449549,12.151501616386518,31.73281366364763,linear_lasso_llm_subset,llm_subset,146
30,255.7652064768215,15.992661019255722,15.33204423564754,39.53346030300145,linear_lasso_llm_subset,llm_subset,146
1,1.503717064857483,1.2262613773345947,0.9415906071662903,2.3923495784401894,tsm_llm_subset,llm_subset,146
5,4.507194519042969,2.1230154037475586,1.6023139953613281,4.045728221535683,tsm_llm_subset,llm_subset,146
20,26.413955688476562,5.139451026916504,4.062939167022705,10.051632672548294,tsm_llm_subset,llm_subset,146
30,37.030582427978516,6.085275650024414,4.88974142074585,11.980822682380676,tsm_llm_subset,llm_subset,146
