model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,146,37.9995231628418,6.164375305175781,5.019227981567383,12.700429558753967
seasonal_naive,full,146,40.744418407665165,6.383135468377995,5.293442940385375,13.368407910697533
linear_ridge,full,146,101.92252668824767,10.09566870931528,8.42277928879272,21.904382579511033
linear_lasso,full,146,138.04445107854784,11.749231935686172,10.153506844228806,26.459925812970425
tsm,full,146,70.20631408691406,8.378920555114746,6.645504474639893,17.03331619501114
TSM+LLM-COT-RF-HDELTA,llm_subset,146,69.48792352379888,8.335941669889424,6.608582872130134,16.948809089582305
naive_persistence_llm_subset,llm_subset,146,37.9995231628418,6.164375305175781,5.019227981567383,12.700429558753967
seasonal_naive_llm_subset,llm_subset,146,40.744418407665165,6.383135468377995,5.293442940385375,13.368407910697533
linear_ridge_llm_subset,llm_subset,146,101.92252668824767,10.09566870931528,8.42277928879272,21.904382579511033
linear_lasso_llm_subset,llm_subset,146,138.04445107854784,11.749231935686172,10.153506844228806,26.459925812970425
tsm_llm_subset,llm_subset,146,70.20631408691406,8.378920555114746,6.645504474639893,17.03331619501114
