horizon,mse,rmse,mae,mape,noise_level,model
1,9.705138976531005,3.115307204198489,2.037713577615808,4.882394241218871,0.05,tsm
5,22.560248217941904,4.749762964395371,3.8604453900149918,9.390246509917626,0.05,tsm
20,90.5689208257524,9.516770503997268,7.808296933557875,20.35009533185597,0.05,tsm
30,120.6297026981096,10.983155407172822,9.146130066287803,24.000183247987504,0.05,tsm
1,9.825376728746637,3.134545697345412,2.0474677082729342,4.907704187557847,0.1,tsm
5,22.52190071590678,4.745724466918279,3.8438269187951115,9.349177500098255,0.1,tsm
20,90.55834333713325,9.516214758880405,7.818249829811562,20.373616276540798,0.1,tsm
30,121.77731545945036,11.03527595755767,9.186989616193097,24.105586954822826,0.1,tsm
1,10.172580170751003,3.189448254910401,2.098700315980314,5.0365101513033945,0.2,tsm
5,22.57509486198544,4.751325589978594,3.8368255121730304,9.331205206145885,0.2,tsm
20,90.63410122755128,9.520194390218682,7.838818853436419,20.422262886665578,0.2,tsm
30,124.22207654209696,11.145495796154469,9.272888512283755,24.326015428189844,0.2,tsm
1,10.662087542000588,3.265285216026402,2.181837921524637,5.247639679112505,0.3,tsm
5,22.80147455551736,4.775088957864278,3.8440614607635895,9.348784994520898,0.3,tsm
20,90.83907632277861,9.53095358937282,7.862637862592932,20.478730188736755,0.3,tsm
30,126.86621855937278,11.263490514017969,9.36203203295035,24.553908336665025,0.3,tsm
1,9.705941519923051,3.115436007996802,2.03784847559006,4.882711534769285,0.05,TSM+LLM-COT-RF-HDELTA
5,22.56409220197419,4.75016759725109,3.8537402738322686,9.375466201845628,0.05,TSM+LLM-COT-RF-HDELTA
20,89.44191658146161,9.457373661934989,7.757756587689852,20.23606754488497,0.05,TSM+LLM-COT-RF-HDELTA
30,118.98290420396033,10.90792850196408,9.080434183864753,23.846701421045648,0.05,TSM+LLM-COT-RF-HDELTA
1,9.826830913228564,3.1347776497271007,2.047622910422372,4.908094072879312,0.1,TSM+LLM-COT-RF-HDELTA
5,22.52371271787314,4.745915371967049,3.8406348731231055,9.342036642763638,0.1,TSM+LLM-COT-RF-HDELTA
20,89.43234137026127,9.45686741845635,7.767571330413391,20.25927802294637,0.1,TSM+LLM-COT-RF-HDELTA
30,120.1202194024812,10.959937016355578,9.121316934584325,23.952236355747754,0.1,TSM+LLM-COT-RF-HDELTA
1,10.174884930506213,3.189809544550617,2.0986685987547897,5.036570726570557,0.2,TSM+LLM-COT-RF-HDELTA
5,22.571909297499868,4.750990349127208,3.8316299271702787,9.319971778730284,0.2,TSM+LLM-COT-RF-HDELTA
20,89.50861671078673,9.46089936056751,7.787864046827947,20.30730369946135,0.2,TSM+LLM-COT-RF-HDELTA
30,122.54330334248155,11.069927883346013,9.207262232348619,24.17292728493884,0.2,TSM+LLM-COT-RF-HDELTA
1,10.664639255339353,3.2656759262577406,2.181190760662384,5.246384233918003,0.3,TSM+LLM-COT-RF-HDELTA
5,22.79204660756504,4.7741016545068495,3.840224541265013,9.340432127756328,0.3,TSM+LLM-COT-RF-HDELTA
20,89.71212640188033,9.471648557768617,7.8114067450805225,20.363150058685793,0.3,TSM+LLM-COT-RF-HDELTA
30,125.1643253397602,11.187686326482353,9.296452146411486,24.40108262913913,0.3,TSM+LLM-COT-RF-HDELTA
