horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.5172781944274902,1.2317785024642944,0.924246609210968,2.3501040413975716,naive_persistence,full,146
5,4.2649970054626465,2.0651869773864746,1.5695888996124268,3.9404433220624924,naive_persistence,full,146
20,24.00370216369629,4.899357318878174,3.8521230220794678,9.443003684282303,naive_persistence,full,146
30,34.71660614013672,5.892079830169678,4.68458890914917,11.297466605901718,naive_persistence,full,146
1,4.133378105522739,2.0330711019348877,1.536643772909086,3.869444862590738,seasonal_naive,full,146
5,4.2649973892234625,2.065187010714396,1.5695888310262602,3.940442921240492,seasonal_naive,full,146
20,24.003701889333183,4.899357293496075,3.8521232343699836,9.443003952056445,seasonal_naive,full,146
30,34.716605544210175,5.892079899679754,4.68458909857763,11.297465790846678,seasonal_naive,full,146
1,2.2391064671232614,1.4963644165520849,1.233219512521404,3.1851917478838567,linear_ridge,full,146
5,22.080908397105777,4.699032708665239,4.277900486776273,11.18493171694773,linear_ridge,full,146
20,224.0408272796561,14.967993428634852,14.243898313339443,37.11516757007351,linear_ridge,full,146
30,317.08181435460455,17.806791242517686,17.22026924237813,44.313938519552394,linear_ridge,full,146
1,13.392925705730217,3.6596346410168077,3.4699235158423853,9.037801256029736,linear_lasso,full,146
5,46.99750089481318,6.8554723319996835,6.559881889656799,17.052457293637435,linear_lasso,full,146
20,288.5293052862265,16.98615039631483,16.41996744234268,42.62204803112504,linear_lasso,full,146
30,394.040896614098,19.85046338537461,19.368112564086914,49.709798634943496,linear_lasso,full,146
1,1.5239536762237549,1.234485149383545,0.9138699769973755,2.3213114589452744,tsm,full,146
5,4.8309173583984375,2.197934865951538,1.7073442935943604,4.288118705153465,tsm,full,146
20,25.08247184753418,5.008240222930908,4.054850101470947,10.099954158067703,tsm,full,146
30,38.52836608886719,6.207122325897217,5.196154594421387,12.863582372665405,tsm,full,146
1,1.5172781944274902,1.2317785024642944,0.924246609210968,2.3501040413975716,naive_persistence_llm_subset,llm_subset,146
5,4.2649970054626465,2.0651869773864746,1.5695888996124268,3.9404433220624924,naive_persistence_llm_subset,llm_subset,146
20,24.00370216369629,4.899357318878174,3.8521230220794678,9.443003684282303,naive_persistence_llm_subset,llm_subset,146
30,34.71660614013672,5.892079830169678,4.68458890914917,11.297466605901718,naive_persistence_llm_subset,llm_subset,146
1,4.133378105522739,2.0330711019348877,1.536643772909086,3.869444862590738,seasonal_naive_llm_subset,llm_subset,146
5,4.2649973892234625,2.065187010714396,1.5695888310262602,3.940442921240492,seasonal_naive_llm_subset,llm_subset,146
20,24.003701889333183,4.899357293496075,3.8521232343699836,9.443003952056445,seasonal_naive_llm_subset,llm_subset,146
30,34.716605544210175,5.892079899679754,4.68458909857763,11.297465790846678,seasonal_naive_llm_subset,llm_subset,146
1,2.2391064671232614,1.4963644165520849,1.233219512521404,3.1851917478838567,linear_ridge_llm_subset,llm_subset,146
5,22.080908397105777,4.699032708665239,4.277900486776273,11.18493171694773,linear_ridge_llm_subset,llm_subset,146
20,224.0408272796561,14.967993428634852,14.243898313339443,37.11516757007351,linear_ridge_llm_subset,llm_subset,146
30,317.08181435460455,17.806791242517686,17.22026924237813,44.313938519552394,linear_ridge_llm_subset,llm_subset,146
1,13.392925705730217,3.6596346410168077,3.4699235158423853,9.037801256029736,linear_lasso_llm_subset,llm_subset,146
5,46.99750089481318,6.8554723319996835,6.559881889656799,17.052457293637435,linear_lasso_llm_subset,llm_subset,146
20,288.5293052862265,16.98615039631483,16.41996744234268,42.62204803112504,linear_lasso_llm_subset,llm_subset,146
30,394.040896614098,19.85046338537461,19.368112564086914,49.709798634943496,linear_lasso_llm_subset,llm_subset,146
1,1.5239536762237549,1.234485149383545,0.9138699769973755,2.3213114589452744,tsm_llm_subset,llm_subset,146
5,4.8309173583984375,2.197934865951538,1.7073442935943604,4.288118705153465,tsm_llm_subset,llm_subset,146
20,25.08247184753418,5.008240222930908,4.054850101470947,10.099954158067703,tsm_llm_subset,llm_subset,146
30,38.52836608886719,6.207122325897217,5.196154594421387,12.863582372665405,tsm_llm_subset,llm_subset,146
