horizon,mse,rmse,mae,mape,model
1,0.00527423107996583,0.07262390106916428,0.04744753614068031,99.31495189666748,naive_persistence
5,0.011048110201954842,0.10510998964309692,0.08590187877416611,99.72488284111023,naive_persistence
20,0.02923380210995674,0.17097894847393036,0.1481683999300003,99.99997615814209,naive_persistence
30,0.017870787531137466,0.13368166983127594,0.10705911368131638,99.99993443489075,naive_persistence
1,0.010785683014058942,0.10385414297975282,0.08414797458067182,6517474.277040828,seasonal_naive
5,0.011048110261396175,0.1051099912539059,0.0859018815593628,99.72487972095924,seasonal_naive
20,0.029233800675047546,0.17097894804638245,0.1481684102893691,99.99998538042475,seasonal_naive
30,0.017870787251084583,0.13368166385516222,0.1070591061828938,99.99993421498992,seasonal_naive
1,0.0054517706616982915,0.07383610676151806,0.05065425459526471,1791846.2035942932,linear_ridge
5,0.016932120171376082,0.1301234804767229,0.11327182727513824,1987204.7640931166,linear_ridge
20,0.09543624463971463,0.30892757183475,0.2821055680250337,362.31366096935255,linear_ridge
30,0.16435997488327153,0.405413338314456,0.3907796103905791,2097.543391148336,linear_ridge
1,0.00890062978879243,0.09434314913544295,0.07601672485274708,5071110.731785292,linear_lasso
5,0.02782300131006227,0.16680228208889192,0.14467396864951645,4641526.35010505,linear_lasso
20,0.12271873933239587,0.3503123453896478,0.32955933026469264,428.4169473072194,linear_lasso
30,0.19038536461666294,0.4363317139707621,0.42212852971117404,2315.478229457872,linear_lasso
1,0.006615705322474241,0.08133698254823685,0.05325685441493988,589565.673828125,tsm
5,0.01612243801355362,0.1269741654396057,0.10540233552455902,617909.814453125,tsm
20,0.05427734926342964,0.23297499120235443,0.19925059378147125,216.53544902801514,tsm
30,0.06625837832689285,0.2574070394039154,0.2270125299692154,1396.3071823120117,tsm
1,0.00527423107996583,0.07262390106916428,0.04744753614068031,99.31495189666748,naive_persistence_llm_subset
5,0.011048110201954842,0.10510998964309692,0.08590187877416611,99.72488284111023,naive_persistence_llm_subset
20,0.02923380210995674,0.17097894847393036,0.1481683999300003,99.99997615814209,naive_persistence_llm_subset
30,0.017870787531137466,0.13368166983127594,0.10705911368131638,99.99993443489075,naive_persistence_llm_subset
1,0.010785683014058942,0.10385414297975282,0.08414797458067182,6517474.277040828,seasonal_naive_llm_subset
5,0.011048110261396175,0.1051099912539059,0.0859018815593628,99.72487972095924,seasonal_naive_llm_subset
20,0.029233800675047546,0.17097894804638245,0.1481684102893691,99.99998538042475,seasonal_naive_llm_subset
30,0.017870787251084583,0.13368166385516222,0.1070591061828938,99.99993421498992,seasonal_naive_llm_subset
1,0.0054517706616982915,0.07383610676151806,0.05065425459526471,1791846.2035942932,linear_ridge_llm_subset
5,0.016932120171376082,0.1301234804767229,0.11327182727513824,1987204.7640931166,linear_ridge_llm_subset
20,0.09543624463971463,0.30892757183475,0.2821055680250337,362.31366096935255,linear_ridge_llm_subset
30,0.16435997488327153,0.405413338314456,0.3907796103905791,2097.543391148336,linear_ridge_llm_subset
1,0.00890062978879243,0.09434314913544295,0.07601672485274708,5071110.731785292,linear_lasso_llm_subset
5,0.02782300131006227,0.16680228208889192,0.14467396864951645,4641526.35010505,linear_lasso_llm_subset
20,0.12271873933239587,0.3503123453896478,0.32955933026469264,428.4169473072194,linear_lasso_llm_subset
30,0.19038536461666294,0.4363317139707621,0.42212852971117404,2315.478229457872,linear_lasso_llm_subset
1,0.006615705322474241,0.08133698254823685,0.05325685441493988,589565.673828125,tsm_llm_subset
5,0.01612243801355362,0.1269741654396057,0.10540233552455902,617909.814453125,tsm_llm_subset
20,0.05427734926342964,0.23297499120235443,0.19925059378147125,216.53544902801514,tsm_llm_subset
30,0.06625837832689285,0.2574070394039154,0.2270125299692154,1396.3071823120117,tsm_llm_subset
