horizon,mse,rmse,mae,mape,model
1,0.0016527700936421752,0.04065427556633949,0.02872590348124504,99.3005633354187,naive_persistence
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence
20,0.017751701176166534,0.13323551416397095,0.10172243416309357,99.96019005775452,naive_persistence
30,0.022142987698316574,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence
1,0.00560676602296959,0.07487834148116256,0.05476263401478217,1484685.8195255036,seasonal_naive
5,0.00571923760047293,0.0756256411574337,0.05551087834475028,99.99991044400396,seasonal_naive
20,0.0177517006242348,0.13323550812090146,0.10172243172732671,99.9601811450754,seasonal_naive
30,0.022142986960278693,0.1488051980284247,0.12071667950261723,99.99993703430945,seasonal_naive
1,0.0016434103429203346,0.0405389978036006,0.03079377323076371,866557.288222383,linear_ridge
5,0.005924598363717144,0.07697141263948028,0.06403532516598483,302.7603985152103,linear_ridge
20,0.02194018545820284,0.14812219772270072,0.11134124639835309,242850.117325835,linear_ridge
30,0.020061972432138763,0.14164029240346393,0.10098090207502579,367.15429323041934,linear_ridge
1,0.005461796641047162,0.07390396904799608,0.0638917619457834,4810723.380210738,linear_lasso
5,0.010968702874066205,0.10473157534414444,0.09021568840230315,708.5955895379936,linear_lasso
20,0.028314681685596997,0.16826966953553155,0.1298397239834931,439387.2907091996,linear_lasso
30,0.024428065316163268,0.15629480258845227,0.11182637685222636,582.2962581115765,linear_lasso
1,0.0016984952380880713,0.04121280461549759,0.029147345572710037,84753.39965820312,tsm
5,0.00650572357699275,0.08065806329250336,0.05906397104263306,171.92490100860596,tsm
20,0.01856580190360546,0.1362563818693161,0.10416243970394135,311397.3388671875,tsm
30,0.023340832442045212,0.1527770608663559,0.1299661099910736,501.80468559265137,tsm
1,0.0016527700936421752,0.04065427556633949,0.02872590348124504,99.3005633354187,naive_persistence_llm_subset
5,0.005719237495213747,0.07562564313411713,0.05551088601350784,99.99991655349731,naive_persistence_llm_subset
20,0.017751701176166534,0.13323551416397095,0.10172243416309357,99.96019005775452,naive_persistence_llm_subset
30,0.022142987698316574,0.14880520105361938,0.12071668356657028,99.99993443489075,naive_persistence_llm_subset
1,0.00560676602296959,0.07487834148116256,0.05476263401478217,1484685.8195255036,seasonal_naive_llm_subset
5,0.00571923760047293,0.0756256411574337,0.05551087834475028,99.99991044400396,seasonal_naive_llm_subset
20,0.0177517006242348,0.13323550812090146,0.10172243172732671,99.9601811450754,seasonal_naive_llm_subset
30,0.022142986960278693,0.1488051980284247,0.12071667950261723,99.99993703430945,seasonal_naive_llm_subset
1,0.0016434103429203346,0.0405389978036006,0.03079377323076371,866557.288222383,linear_ridge_llm_subset
5,0.005924598363717144,0.07697141263948028,0.06403532516598483,302.7603985152103,linear_ridge_llm_subset
20,0.02194018545820284,0.14812219772270072,0.11134124639835309,242850.117325835,linear_ridge_llm_subset
30,0.020061972432138763,0.14164029240346393,0.10098090207502579,367.15429323041934,linear_ridge_llm_subset
1,0.005461796641047162,0.07390396904799608,0.0638917619457834,4810723.380210738,linear_lasso_llm_subset
5,0.010968702874066205,0.10473157534414444,0.09021568840230315,708.5955895379936,linear_lasso_llm_subset
20,0.028314681685596997,0.16826966953553155,0.1298397239834931,439387.2907091996,linear_lasso_llm_subset
30,0.024428065316163268,0.15629480258845227,0.11182637685222636,582.2962581115765,linear_lasso_llm_subset
1,0.0016984952380880713,0.04121280461549759,0.029147345572710037,84753.39965820312,tsm_llm_subset
5,0.00650572357699275,0.08065806329250336,0.05906397104263306,171.92490100860596,tsm_llm_subset
20,0.01856580190360546,0.1362563818693161,0.10416243970394135,311397.3388671875,tsm_llm_subset
30,0.023340832442045212,0.1527770608663559,0.1299661099910736,501.80468559265137,tsm_llm_subset
