horizon,mse,rmse,mae,mape,model,subset,n_samples
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence,full,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence,full,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence,full,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence,full,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive,full,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive,full,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive,full,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive,full,143
1,2.6532357836341025,1.628875619448613,1.2372514417955092,3.082325511542032,linear_ridge,full,143
5,9.141959394705196,3.0235673292826135,2.55769891005296,6.481775560888887,linear_ridge,full,143
20,33.681766394187534,5.80359943433276,4.5103036973859885,12.175624597017013,linear_ridge,full,143
30,30.87411099799133,5.556447695964692,4.12828856248122,10.982001422175983,linear_ridge,full,143
1,8.38467034085416,2.8956295241025156,2.545454945597615,6.6549281046603666,linear_lasso,full,143
5,17.21575790026505,4.149187619313575,3.637680653925542,9.524637348128705,linear_lasso,full,143
20,45.08439202627023,6.714491196380425,5.360530919961996,14.480980618541262,linear_lasso,full,143
30,38.54280585374582,6.208285258728518,4.6343691098940125,12.45321738442594,linear_lasso,full,143
1,2.8342180252075195,1.6835136413574219,1.1831063032150269,2.885957807302475,tsm,full,143
5,10.518003463745117,3.243147134780884,2.386598825454712,5.732415616512299,tsm,full,143
20,29.745342254638672,5.4539289474487305,4.2002129554748535,9.77478176355362,tsm,full,143
30,37.46331787109375,6.120728492736816,5.246235370635986,12.197577208280563,tsm,full,143
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence_llm_subset,llm_subset,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence_llm_subset,llm_subset,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence_llm_subset,llm_subset,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence_llm_subset,llm_subset,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive_llm_subset,llm_subset,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive_llm_subset,llm_subset,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive_llm_subset,llm_subset,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive_llm_subset,llm_subset,143
1,2.6532357836341025,1.628875619448613,1.2372514417955092,3.082325511542032,linear_ridge_llm_subset,llm_subset,143
5,9.141959394705196,3.0235673292826135,2.55769891005296,6.481775560888887,linear_ridge_llm_subset,llm_subset,143
20,33.681766394187534,5.80359943433276,4.5103036973859885,12.175624597017013,linear_ridge_llm_subset,llm_subset,143
30,30.87411099799133,5.556447695964692,4.12828856248122,10.982001422175983,linear_ridge_llm_subset,llm_subset,143
1,8.38467034085416,2.8956295241025156,2.545454945597615,6.6549281046603666,linear_lasso_llm_subset,llm_subset,143
5,17.21575790026505,4.149187619313575,3.637680653925542,9.524637348128705,linear_lasso_llm_subset,llm_subset,143
20,45.08439202627023,6.714491196380425,5.360530919961996,14.480980618541262,linear_lasso_llm_subset,llm_subset,143
30,38.54280585374582,6.208285258728518,4.6343691098940125,12.45321738442594,linear_lasso_llm_subset,llm_subset,143
1,2.8342180252075195,1.6835136413574219,1.1831063032150269,2.885957807302475,tsm_llm_subset,llm_subset,143
5,10.518003463745117,3.243147134780884,2.386598825454712,5.732415616512299,tsm_llm_subset,llm_subset,143
20,29.745342254638672,5.4539289474487305,4.2002129554748535,9.77478176355362,tsm_llm_subset,llm_subset,143
30,37.46331787109375,6.120728492736816,5.246235370635986,12.197577208280563,tsm_llm_subset,llm_subset,143
