horizon,mse,rmse,mae,mape,noise_level,model
1,2.8522675970491167,1.6888657723599934,1.1865398020396714,2.894060936447895,0.05,tsm
5,10.52682053188648,3.2445062077127362,2.387723672532285,5.736336474146709,0.05,tsm
20,29.714989483653333,5.451145703762956,4.199384227896676,9.772848891902566,0.05,tsm
30,37.43625857025166,6.118517677530372,5.2432765367073975,12.192253008422107,0.05,tsm
1,2.874755450130933,1.695510380425591,1.1904645640138167,2.9033182465646012,0.1,tsm
5,10.539622031341423,3.2464784045703157,2.388848344547264,5.74025714309423,0.1,tsm
20,29.6877747891966,5.44864889575357,4.198555617026893,9.770916188390826,0.1,tsm
30,37.41194636361333,6.116530582251129,5.240317792810999,12.18692828082562,0.1,tsm
1,2.9330457589673533,1.712613721470009,1.2012824958905213,2.9284840159294787,0.2,tsm
5,10.577176478661421,3.2522571359997694,2.391097688577223,5.748098480989275,0.2,tsm
20,29.64275567601904,5.444516110364542,4.196908659889966,9.767078834394399,0.2,tsm
30,37.371562793117604,6.113228508171243,5.235784994784108,12.17904378134502,0.2,tsm
1,3.0090888719051123,1.7346725546641684,1.219124594472012,2.9690883881489514,0.3,tsm
5,10.6306661797153,3.2604702390476286,2.39499209422457,5.7595036437911356,0.3,tsm
20,29.61028359835039,5.441533202908017,4.195770888339193,9.76463307788311,0.3,tsm
30,37.34216701152825,6.110823758833849,5.23312386233445,12.174896633683467,0.3,tsm
