horizon,mse,rmse,mae,mape,model,subset,n_samples
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence,full,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence,full,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence,full,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence,full,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive,full,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive,full,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive,full,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive,full,143
1,2.6248545022959164,1.6201402724134464,1.2183157647406304,3.026580148223942,linear_ridge,full,143
5,8.519802253170363,2.918870030194966,2.3655288936374905,5.900713728689284,linear_ridge,full,143
20,23.95955634605005,4.894849981975959,4.088019671140017,10.393628290358878,linear_ridge,full,143
30,28.456380657187804,5.33445223590837,4.735680640160621,11.503039418198732,linear_ridge,full,143
1,8.867798951892748,2.9778849796277806,2.6311605226743473,6.876918137082395,linear_lasso,full,143
5,15.695059471536716,3.9616990637271674,3.4658386257144955,9.058356061272328,linear_lasso,full,143
20,25.71471106375021,5.070967468220459,4.092166913972868,10.821461903130524,linear_lasso,full,143
30,25.875372604509714,5.08678411223729,4.068513510110495,10.478156035321927,linear_lasso,full,143
1,2.5564754009246826,1.59889817237854,1.138855218887329,2.786237560212612,tsm,full,143
5,10.042282104492188,3.1689560413360596,2.3604440689086914,5.697280913591385,tsm,full,143
20,33.44035720825195,5.782763957977295,4.488246917724609,10.356045514345169,tsm,full,143
30,42.35639572143555,6.508179187774658,5.393332004547119,12.515580654144287,tsm,full,143
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence_llm_subset,llm_subset,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence_llm_subset,llm_subset,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence_llm_subset,llm_subset,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence_llm_subset,llm_subset,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive_llm_subset,llm_subset,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive_llm_subset,llm_subset,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive_llm_subset,llm_subset,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive_llm_subset,llm_subset,143
1,2.6248545022959164,1.6201402724134464,1.2183157647406304,3.026580148223942,linear_ridge_llm_subset,llm_subset,143
5,8.519802253170363,2.918870030194966,2.3655288936374905,5.900713728689284,linear_ridge_llm_subset,llm_subset,143
20,23.95955634605005,4.894849981975959,4.088019671140017,10.393628290358878,linear_ridge_llm_subset,llm_subset,143
30,28.456380657187804,5.33445223590837,4.735680640160621,11.503039418198732,linear_ridge_llm_subset,llm_subset,143
1,8.867798951892748,2.9778849796277806,2.6311605226743473,6.876918137082395,linear_lasso_llm_subset,llm_subset,143
5,15.695059471536716,3.9616990637271674,3.4658386257144955,9.058356061272328,linear_lasso_llm_subset,llm_subset,143
20,25.71471106375021,5.070967468220459,4.092166913972868,10.821461903130524,linear_lasso_llm_subset,llm_subset,143
30,25.875372604509714,5.08678411223729,4.068513510110495,10.478156035321927,linear_lasso_llm_subset,llm_subset,143
1,2.5564754009246826,1.59889817237854,1.138855218887329,2.786237560212612,tsm_llm_subset,llm_subset,143
5,10.042282104492188,3.1689560413360596,2.3604440689086914,5.697280913591385,tsm_llm_subset,llm_subset,143
20,33.44035720825195,5.782763957977295,4.488246917724609,10.356045514345169,tsm_llm_subset,llm_subset,143
30,42.35639572143555,6.508179187774658,5.393332004547119,12.515580654144287,tsm_llm_subset,llm_subset,143
