horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.4041095890410959,0.0,0.0,1.0,41,46,59,naive_persistence,full,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,naive_persistence,full,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,naive_persistence,full,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,naive_persistence,full,146
1,0.410958904109589,0.4878048780487805,0.6086956521739131,0.2033898305084746,41,46,59,seasonal_naive,full,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,seasonal_naive,full,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,seasonal_naive,full,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,seasonal_naive,full,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_ridge,full,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_ridge,full,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_ridge,full,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_ridge,full,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_lasso,full,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_lasso,full,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_lasso,full,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_lasso,full,146
1,0.3698630136986301,0.3170731707317073,0.17391304347826086,0.559322033898305,41,46,59,tsm,full,146
5,0.3767123287671233,0.42424242424242425,0.34615384615384615,0.32142857142857145,66,52,28,tsm,full,146
20,0.3972602739726027,0.5072463768115942,0.36065573770491804,0.0625,69,61,16,tsm,full,146
30,0.4520547945205479,0.6197183098591549,0.3125,0.18181818181818182,71,64,11,tsm,full,146
1,0.4041095890410959,0.0,0.0,1.0,41,46,59,naive_persistence_llm_subset,llm_subset,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,naive_persistence_llm_subset,llm_subset,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,naive_persistence_llm_subset,llm_subset,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,naive_persistence_llm_subset,llm_subset,146
1,0.410958904109589,0.4878048780487805,0.6086956521739131,0.2033898305084746,41,46,59,seasonal_naive_llm_subset,llm_subset,146
5,0.1917808219178082,0.0,0.0,1.0,66,52,28,seasonal_naive_llm_subset,llm_subset,146
20,0.1095890410958904,0.0,0.0,1.0,69,61,16,seasonal_naive_llm_subset,llm_subset,146
30,0.07534246575342465,0.0,0.0,1.0,71,64,11,seasonal_naive_llm_subset,llm_subset,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_ridge_llm_subset,llm_subset,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_ridge_llm_subset,llm_subset,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_ridge_llm_subset,llm_subset,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_ridge_llm_subset,llm_subset,146
1,0.2808219178082192,1.0,0.0,0.0,41,46,59,linear_lasso_llm_subset,llm_subset,146
5,0.4520547945205479,1.0,0.0,0.0,66,52,28,linear_lasso_llm_subset,llm_subset,146
20,0.4726027397260274,1.0,0.0,0.0,69,61,16,linear_lasso_llm_subset,llm_subset,146
30,0.4863013698630137,1.0,0.0,0.0,71,64,11,linear_lasso_llm_subset,llm_subset,146
1,0.3698630136986301,0.3170731707317073,0.17391304347826086,0.559322033898305,41,46,59,tsm_llm_subset,llm_subset,146
5,0.3767123287671233,0.42424242424242425,0.34615384615384615,0.32142857142857145,66,52,28,tsm_llm_subset,llm_subset,146
20,0.3972602739726027,0.5072463768115942,0.36065573770491804,0.0625,69,61,16,tsm_llm_subset,llm_subset,146
30,0.4520547945205479,0.6197183098591549,0.3125,0.18181818181818182,71,64,11,tsm_llm_subset,llm_subset,146
