horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5804195804195804,0.6216216216216216,0.6037735849056604,0.3125,74,53,16,0.02,18,naive_persistence,full,143
20,0.5454545454545454,0.5652173913043478,0.5714285714285714,0.2222222222222222,92,42,9,0.02,18,naive_persistence,full,143
30,0.5244755244755245,0.5555555555555556,0.475,0.25,99,40,4,0.02,18,naive_persistence,full,143
10,0.5804195804195804,0.6216216216216216,0.6037735849056604,0.3125,74,53,16,0.02,18,seasonal_naive,full,143
20,0.5454545454545454,0.5652173913043478,0.5714285714285714,0.2222222222222222,92,42,9,0.02,18,seasonal_naive,full,143
30,0.5244755244755245,0.5555555555555556,0.475,0.25,99,40,4,0.02,18,seasonal_naive,full,143
10,0.4755244755244755,0.8243243243243243,0.09433962264150944,0.125,74,53,16,0.02,18,linear_ridge,full,143
20,0.6083916083916084,0.9456521739130435,0.0,0.0,92,42,9,0.02,18,linear_ridge,full,143
30,0.6923076923076923,1.0,0.0,0.0,99,40,4,0.02,18,linear_ridge,full,143
10,0.5034965034965035,0.972972972972973,0.0,0.0,74,53,16,0.02,18,linear_lasso,full,143
20,0.6433566433566433,1.0,0.0,0.0,92,42,9,0.02,18,linear_lasso,full,143
30,0.6923076923076923,1.0,0.0,0.0,99,40,4,0.02,18,linear_lasso,full,143
10,0.5454545454545454,0.527027027027027,0.6415094339622641,0.3125,74,53,16,0.02,18,tsm,full,143
20,0.46153846153846156,0.4673913043478261,0.47619047619047616,0.3333333333333333,92,42,9,0.02,18,tsm,full,143
30,0.40559440559440557,0.40404040404040403,0.45,0.0,99,40,4,0.02,18,tsm,full,143
10,0.5804195804195804,0.6216216216216216,0.6037735849056604,0.3125,74,53,16,0.02,18,naive_persistence_llm_subset,llm_subset,143
20,0.5454545454545454,0.5652173913043478,0.5714285714285714,0.2222222222222222,92,42,9,0.02,18,naive_persistence_llm_subset,llm_subset,143
30,0.5244755244755245,0.5555555555555556,0.475,0.25,99,40,4,0.02,18,naive_persistence_llm_subset,llm_subset,143
10,0.5804195804195804,0.6216216216216216,0.6037735849056604,0.3125,74,53,16,0.02,18,seasonal_naive_llm_subset,llm_subset,143
20,0.5454545454545454,0.5652173913043478,0.5714285714285714,0.2222222222222222,92,42,9,0.02,18,seasonal_naive_llm_subset,llm_subset,143
30,0.5244755244755245,0.5555555555555556,0.475,0.25,99,40,4,0.02,18,seasonal_naive_llm_subset,llm_subset,143
10,0.4755244755244755,0.8243243243243243,0.09433962264150944,0.125,74,53,16,0.02,18,linear_ridge_llm_subset,llm_subset,143
20,0.6083916083916084,0.9456521739130435,0.0,0.0,92,42,9,0.02,18,linear_ridge_llm_subset,llm_subset,143
30,0.6923076923076923,1.0,0.0,0.0,99,40,4,0.02,18,linear_ridge_llm_subset,llm_subset,143
10,0.5034965034965035,0.972972972972973,0.0,0.0,74,53,16,0.02,18,linear_lasso_llm_subset,llm_subset,143
20,0.6433566433566433,1.0,0.0,0.0,92,42,9,0.02,18,linear_lasso_llm_subset,llm_subset,143
30,0.6923076923076923,1.0,0.0,0.0,99,40,4,0.02,18,linear_lasso_llm_subset,llm_subset,143
10,0.5454545454545454,0.527027027027027,0.6415094339622641,0.3125,74,53,16,0.02,18,tsm_llm_subset,llm_subset,143
20,0.46153846153846156,0.4673913043478261,0.47619047619047616,0.3333333333333333,92,42,9,0.02,18,tsm_llm_subset,llm_subset,143
30,0.40559440559440557,0.40404040404040403,0.45,0.0,99,40,4,0.02,18,tsm_llm_subset,llm_subset,143
