horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence,full,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive,full,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive,full,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive,full,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive,full,146
1,0.363013698630137,0.4406779661016949,0.27419354838709675,0.4,59,62,25,linear_ridge,full,146
5,0.4863013698630137,0.17391304347826086,0.7590361445783133,0.0,46,83,17,linear_ridge,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge,full,146
30,0.3082191780821918,1.0,0.0,0.0,45,95,6,linear_ridge,full,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso,full,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso,full,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso,full,146
30,0.3082191780821918,1.0,0.0,0.0,45,95,6,linear_lasso,full,146
1,0.4520547945205479,0.4745762711864407,0.5161290322580645,0.24,59,62,25,tsm,full,146
5,0.3561643835616438,0.2826086956521739,0.39759036144578314,0.35294117647058826,46,83,17,tsm,full,146
20,0.4041095890410959,0.7872340425531915,0.23157894736842105,0.0,47,95,4,tsm,full,146
30,0.3424657534246575,0.7777777777777778,0.15789473684210525,0.0,45,95,6,tsm,full,146
1,0.17123287671232876,0.0,0.0,1.0,59,62,25,naive_persistence_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,naive_persistence_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,naive_persistence_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,naive_persistence_llm_subset,llm_subset,146
1,0.4931506849315068,0.6610169491525424,0.45161290322580644,0.2,59,62,25,seasonal_naive_llm_subset,llm_subset,146
5,0.11643835616438356,0.0,0.0,1.0,46,83,17,seasonal_naive_llm_subset,llm_subset,146
20,0.0273972602739726,0.0,0.0,1.0,47,95,4,seasonal_naive_llm_subset,llm_subset,146
30,0.0410958904109589,0.0,0.0,1.0,45,95,6,seasonal_naive_llm_subset,llm_subset,146
1,0.363013698630137,0.4406779661016949,0.27419354838709675,0.4,59,62,25,linear_ridge_llm_subset,llm_subset,146
5,0.4863013698630137,0.17391304347826086,0.7590361445783133,0.0,46,83,17,linear_ridge_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_ridge_llm_subset,llm_subset,146
30,0.3082191780821918,1.0,0.0,0.0,45,95,6,linear_ridge_llm_subset,llm_subset,146
1,0.4246575342465753,0.0,1.0,0.0,59,62,25,linear_lasso_llm_subset,llm_subset,146
5,0.5684931506849316,0.0,1.0,0.0,46,83,17,linear_lasso_llm_subset,llm_subset,146
20,0.3219178082191781,1.0,0.0,0.0,47,95,4,linear_lasso_llm_subset,llm_subset,146
30,0.3082191780821918,1.0,0.0,0.0,45,95,6,linear_lasso_llm_subset,llm_subset,146
1,0.4520547945205479,0.4745762711864407,0.5161290322580645,0.24,59,62,25,tsm_llm_subset,llm_subset,146
5,0.3561643835616438,0.2826086956521739,0.39759036144578314,0.35294117647058826,46,83,17,tsm_llm_subset,llm_subset,146
20,0.4041095890410959,0.7872340425531915,0.23157894736842105,0.0,47,95,4,tsm_llm_subset,llm_subset,146
30,0.3424657534246575,0.7777777777777778,0.15789473684210525,0.0,45,95,6,tsm_llm_subset,llm_subset,146
