model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive,full,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge,full,143,24.118431794849123,4.911052004901712,3.7223281180108345,9.882674179383878
linear_lasso,full,143,33.4038751737782,5.779608565792167,4.611630503781192,12.334758881591842
tsm,full,143,24.311622619628906,4.9306817054748535,3.6872870922088623,8.6476631462574
naive_persistence_llm_subset,llm_subset,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive_llm_subset,llm_subset,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge_llm_subset,llm_subset,143,24.118431794849123,4.911052004901712,3.7223281180108345,9.882674179383878
linear_lasso_llm_subset,llm_subset,143,33.4038751737782,5.779608565792167,4.611630503781192,12.334758881591842
tsm_llm_subset,llm_subset,143,24.311622619628906,4.9306817054748535,3.6872870922088623,8.6476631462574
