model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive,full,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge,full,143,19.110448459531717,4.371549892147145,3.550344637446192,8.883856002474962
linear_lasso,full,143,21.66239110032371,4.654287389098755,3.845136208967729,10.062962408470908
tsm,full,143,26.39406394958496,5.137515544891357,3.802560806274414,8.894142508506775
naive_persistence_llm_subset,llm_subset,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive_llm_subset,llm_subset,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge_llm_subset,llm_subset,143,19.110448459531717,4.371549892147145,3.550344637446192,8.883856002474962
linear_lasso_llm_subset,llm_subset,143,21.66239110032371,4.654287389098755,3.845136208967729,10.062962408470908
tsm_llm_subset,llm_subset,143,26.39406394958496,5.137515544891357,3.802560806274414,8.894142508506775
