horizon,mse,rmse,mae,mape,noise_level,model
1,12.885072724248925,3.5895783490890576,2.4471921972184614,5.918938935679259,0.05,tsm
5,37.2662754944439,6.104611002712941,4.972041242296957,12.124921555934257,0.05,tsm
20,98.62970843573855,9.931249087387677,8.01188375605981,20.707299461335815,0.05,tsm
30,137.24026585360917,11.714959063249397,9.411788984247261,24.49840292023544,0.05,tsm
1,12.906633796613384,3.5925803813712207,2.4457222818816713,5.919293401143063,0.1,tsm
5,37.13588804034854,6.093922221389812,4.96095954139507,12.094136757588707,0.1,tsm
20,98.27466009993408,9.913357660244792,7.999761935763805,20.676580201619593,0.1,tsm
30,138.35408843681506,11.762401474053462,9.443821615821681,24.582051164158557,0.1,tsm
1,13.051205442209733,3.6126452139962115,2.477535399543257,5.99957095916313,0.2,tsm
5,37.02358000624271,6.084700486157286,4.938796139591295,12.032567160897594,0.2,tsm
20,97.68273143168885,9.883457463443087,7.97763891015421,20.61990818046596,0.2,tsm
30,140.72320201264782,11.862681063429456,9.507886878970524,24.749347652004793,0.2,tsm
1,13.331043106103753,3.6511701009544533,2.5319183044468314,6.135669289133805,0.3,tsm
5,37.109227736770215,6.091734378382745,4.916632731593246,11.97099754750785,0.3,tsm
20,97.24836008244972,9.861458314187091,7.962124606056078,20.578090557175415,0.3,tsm
30,143.28094042357404,11.970001688536808,9.571952147649801,24.91664415429966,0.3,tsm
