horizon,mse,rmse,mae,mape,noise_level,model
1,1.488137342394027,1.219892348690665,0.9272019682044985,2.3543923987823216,0.05,tsm
5,4.291744323088234,2.0716525584876035,1.546762290301911,3.90311279577078,0.05,tsm
20,25.995901301096247,5.098617587257967,4.068093673792766,10.094146042354309,0.05,tsm
30,35.560082241871314,5.963227502105828,4.892378677809374,12.042806528378525,0.05,tsm
1,1.4983754987635653,1.224081491880163,0.9320600948661218,2.3666084790318305,0.1,tsm
5,4.2989878824680465,2.0734000777631043,1.5480493654757987,3.9060172796542183,0.1,tsm
20,26.024703043167666,5.1014412711671655,4.0711572626881365,10.102684003243949,0.1,tsm
30,35.594025557436375,5.966072875639081,4.8933018322999855,12.046395123312479,0.1,tsm
1,1.539439530180393,1.2407415243234157,0.9480740075041896,2.406126554309971,0.2,tsm
5,4.330057035754202,2.08087890944048,1.5539160071336828,3.919046234007653,0.2,tsm
20,26.09740316177567,5.108561750803808,4.078392156102941,10.12283009012258,0.2,tsm
30,35.67883323898031,5.973176143307705,4.901867367878257,12.072088478643728,0.2,tsm
1,1.6079538558532989,1.2680512039556207,0.9672739668173881,2.4535052044657357,0.3,tsm
5,4.383235574156554,2.093617819506835,1.5627416762845776,3.9394465561655068,0.3,tsm
20,26.1902321234932,5.117639311586271,4.085634343362879,10.142996393072453,0.3,tsm
30,35.786202328787,5.982156996333931,4.911980042682243,12.101971562821328,0.3,tsm
