horizon,mse,rmse,mae,mape,noise_level,model
1,1.415040975380835,1.1895549484495598,0.9045198667321911,2.2947802406192648,0.05,tsm
5,4.117345141129092,2.029124230087722,1.5089150258168476,3.8110033520132576,0.05,tsm
20,24.33328770377715,4.932878237274578,3.896887969801167,9.652151997603156,0.05,tsm
30,34.305882006816155,5.857122331556355,4.711045143352075,11.532083427754012,0.05,tsm
1,1.4201410795396499,1.1916967229709285,0.9082091502102602,2.304370486342698,0.1,tsm
5,4.124925684281946,2.030991305811511,1.50681319857294,3.8060508390460073,0.1,tsm
20,24.345739788156763,4.934140227857004,3.899055634179546,9.658682197310958,0.1,tsm
30,34.30985658863364,5.857461616488293,4.710059167213647,11.530603843360336,0.1,tsm
1,1.4441989259345487,1.2017482789397074,0.9189116245574149,2.3315787676949236,0.2,tsm
5,4.1519069450354245,2.0376228662427756,1.5066068084178097,3.806976384640168,0.2,tsm
20,24.380756425800634,4.937687356020087,3.904669256464089,9.674614816613083,0.2,tsm
30,34.32930679090019,5.859121674013964,4.708323468152811,11.528216993427158,0.2,tsm
1,1.4867336253052381,1.2193168682935696,0.9311613721500418,2.362329574329059,0.3,tsm
5,4.194648436042511,2.0480840891043783,1.5132600918727226,3.8242601049228173,0.3,tsm
20,24.429256363672522,4.942596115774839,3.9118991319469965,9.694362158069861,0.3,tsm
30,34.36409169933401,5.862089362960447,4.706791492486121,11.526399362652787,0.3,tsm
