horizon,mse,rmse,mae,mape,noise_level,model
1,2.5938183176650793,1.6105335506176452,1.1492319009213796,2.8021413906857138,0.05,tsm
5,9.57879657988488,3.094963098307455,2.299279607220498,5.584174634672466,0.05,tsm
20,28.54066089112217,5.342346010052341,4.1533818100247055,9.753976791544442,0.05,tsm
30,36.953035407381215,6.078900838752119,5.175780154990006,12.116254530181267,0.05,tsm
1,2.6050217264738857,1.614007969767772,1.15241440903586,2.8092596459858177,0.1,tsm
5,9.58664669303675,3.096231046455795,2.2987014946461426,5.58388022565303,0.1,tsm
20,28.51088738731395,5.339558725898045,4.151084157769976,9.749210257574632,0.1,tsm
30,36.84792697138933,6.070249333543831,5.166929700013521,12.097248345593247,0.1,tsm
1,2.638550845600336,1.6243616732736388,1.1602364326207468,2.8267666554774262,0.2,tsm
5,9.614347954828839,3.100701203732607,2.298954759571232,5.586211958898137,0.2,tsm
20,28.460371595968997,5.334826294826196,4.146762644093478,9.740382546067309,0.2,tsm
30,36.6473170010613,6.053702751297036,5.1503215099995865,12.061840170799677,0.2,tsm
1,2.6869097066004346,1.6391795833893352,1.1735905665106212,2.856859995281831,0.3,tsm
5,9.658050595477587,3.1077404324488858,2.3038490072333673,5.598310012599596,0.3,tsm
20,28.421897432466295,5.331219131912165,4.146250140926821,9.739811956708122,0.3,tsm
30,36.459516228592776,6.03817159648455,5.1337133196794476,12.026431995616056,0.3,tsm
