horizon,mse,rmse,mae,mape,noise_level,model
1,10.436152400523968,3.230503428341157,2.0924129380442573,5.025078791811472,0.05,tsm
5,22.338774171259338,4.726391241873586,3.873057012458942,9.417608840229825,0.05,tsm
20,96.36143241369871,9.816385914057102,8.039484648239812,20.991252806072076,0.05,tsm
30,119.97790080670589,10.953442418103355,9.30619399226375,24.37800074457521,0.05,tsm
1,10.536629954162402,3.2460175529658497,2.10962301225815,5.0699588295799,0.1,tsm
5,22.289134609201994,4.721137003858498,3.8572779291104116,9.376949046274252,0.1,tsm
20,96.29424447026781,9.812963083099202,8.047796818443919,21.010016861539007,0.1,tsm
30,121.03578455714663,11.001626450536603,9.342173720820512,24.469942432798476,0.1,tsm
1,10.839482193217773,3.2923368893868945,2.1668334489187226,5.216414464550557,0.2,tsm
5,22.310235674970542,4.7233712192639,3.8336874487740995,9.316448511985058,0.2,tsm
20,96.25386757576092,9.810905543106657,8.064421158852133,21.047544972472874,0.2,tsm
30,123.28318748052045,11.10329624393227,9.414646095247454,24.655398692728063,0.2,tsm
1,11.27819732206088,3.3583027442535434,2.2425875303260123,5.41348170402469,0.3,tsm
5,22.491843648753886,4.742556657411051,3.819034719256927,9.27916019857798,0.3,tsm
20,96.33882273305197,9.815234216922791,8.083236766309602,21.090348799068035,0.3,tsm
30,125.7061045145956,11.211873372215528,9.48913933953831,24.847052034625523,0.3,tsm
