horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,2.6259686209212623,1.6204840699375178,1.1591381893206458,2.8264062554153617,0.05,TSM+LLM-COT-RF-HDELTA
5,9.576040103855934,3.0945177498046337,2.288116977660687,5.554539800352436,0.05,TSM+LLM-COT-RF-HDELTA
20,28.232411397789495,5.313418052232432,4.122181630582361,9.689275876319698,0.05,TSM+LLM-COT-RF-HDELTA
30,36.55644905731746,6.046192939140915,5.109519054555914,11.957835983877299,0.05,TSM+LLM-COT-RF-HDELTA
1,2.636495215595922,1.62372879989114,1.1624586932139265,2.8340608964512173,0.1,TSM+LLM-COT-RF-HDELTA
5,9.578038759063952,3.094840667799225,2.287368131989128,5.553922973063424,0.1,TSM+LLM-COT-RF-HDELTA
20,28.201868210388838,5.310543118212,4.119879781557808,9.684561591965899,0.1,TSM+LLM-COT-RF-HDELTA
30,36.45490209331309,6.037789503892388,5.102218690731518,11.942524250599268,0.1,TSM+LLM-COT-RF-HDELTA
1,2.667863251138276,1.6333594984381963,1.1727810668703758,2.8577235354738906,0.2,TSM+LLM-COT-RF-HDELTA
5,9.59382686285921,3.0973903310463164,2.288078469701762,5.55707293823882,0.2,TSM+LLM-COT-RF-HDELTA
20,28.149631408812887,5.30562262216348,4.115470122053598,9.675579705005594,0.2,TSM+LLM-COT-RF-HDELTA
30,36.26113405710217,6.021721851522384,5.087617963082726,11.911900784043212,0.2,TSM+LLM-COT-RF-HDELTA
1,2.712984414938006,1.6471139653764113,1.1860068301105733,2.887978262614617,0.3,TSM+LLM-COT-RF-HDELTA
5,9.625336024493429,3.102472566275716,2.291113822232909,5.565196242294173,0.3,TSM+LLM-COT-RF-HDELTA
20,28.109194038204112,5.301810449101714,4.114592283804108,9.67425405297472,0.3,TSM+LLM-COT-RF-HDELTA
30,36.07980054328832,6.0066463640943875,5.073017235433936,11.881277317487156,0.3,TSM+LLM-COT-RF-HDELTA
