horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,2.625797312932294,1.6204312120334803,1.1589079328947975,2.8258388667013343,0.05,TSM+LLM-COT-RF-HDELTA
5,9.641614796722624,3.1050949738651514,2.2963909484022875,5.57299300099409,0.05,TSM+LLM-COT-RF-HDELTA
20,28.59849371946847,5.347755951749151,4.13992663342056,9.729494242821493,0.05,TSM+LLM-COT-RF-HDELTA
30,37.004881808977515,6.083163799288781,5.137860510163723,12.024080240614419,0.05,TSM+LLM-COT-RF-HDELTA
1,2.636209830800977,1.6236409180606952,1.16199818036223,2.832926119023161,0.1,TSM+LLM-COT-RF-HDELTA
5,9.64491637243528,3.105626566803433,2.2958241821102123,5.572787146866891,0.1,TSM+LLM-COT-RF-HDELTA
20,28.5652653472838,5.344648290325922,4.137877068532923,9.725402651011525,0.1,TSM+LLM-COT-RF-HDELTA
30,36.89898744676417,6.074453674756617,5.130111661546579,12.007770101250589,0.1,TSM+LLM-COT-RF-HDELTA
1,2.667521406280361,1.6332548503771116,1.1718600411669826,2.8554539806177783,0.2,TSM+LLM-COT-RF-HDELTA
5,9.663667821218239,3.108644048651797,2.296898678581814,5.576759058365913,0.2,TSM+LLM-COT-RF-HDELTA
20,28.50774249999231,5.339264228336364,4.133971977302538,9.717666149138896,0.2,TSM+LLM-COT-RF-HDELTA
30,36.696795897650276,6.057788036705335,5.114613964312289,11.97514982252293,0.2,TSM+LLM-COT-RF-HDELTA
1,2.712815034749096,1.6470625473093292,1.1846252915554838,2.8845739303304487,0.3,TSM+LLM-COT-RF-HDELTA
5,9.69861699981139,3.1142602652654756,2.30029818987193,5.585704308744894,0.3,TSM+LLM-COT-RF-HDELTA
20,28.46213151547128,5.334991238556187,4.133598707326876,9.717585882195694,0.3,TSM+LLM-COT-RF-HDELTA
30,36.507400582286756,6.042135432302619,5.099116267078,11.942529543795272,0.3,TSM+LLM-COT-RF-HDELTA
