horizon,mse,rmse,mae,mape,noise_level,model
1,10.50389893280893,3.2409719117587135,2.1024217086697528,5.051158124567452,0.05,tsm
5,22.564778996890468,4.750239888352005,3.8895338188996202,9.4595962002532,0.05,tsm
20,89.74670140863029,9.473473566154617,7.786040219614911,20.31911359271843,0.05,tsm
30,110.35426973471809,10.504964052043114,8.851181428340334,23.220804479448244,0.05,tsm
1,10.602461433175343,3.256142108872913,2.119355548556802,5.09509214229731,0.1,tsm
5,22.517329090280228,4.745242785177617,3.8753750101088196,9.424058086987275,0.1,tsm
20,89.70632035782566,9.47134205684842,7.793766554233434,20.336888800844445,0.1,tsm
30,111.28132805013041,10.548996542331901,8.882801424188767,23.30221583398945,0.1,tsm
1,10.89049169348828,3.30007449817247,2.1693271356903914,5.222150743592302,0.2,tsm
5,22.5296186823148,4.746537546708632,3.8527708442285356,9.366419252134081,0.2,tsm
20,89.70658390301357,9.47135596960718,7.809219223470483,20.372439217096485,0.2,tsm
30,113.25276833463768,10.642028393809033,8.951341305703908,23.47932635823309,0.2,tsm
1,11.299729023031405,3.361506957159453,2.23582198670122,5.394692071151471,0.3,tsm
5,22.68482748226598,4.762859170946164,3.837865728633762,9.328849881631704,0.3,tsm
20,89.81488170596995,9.477071367567618,7.824671896878164,20.407989642906546,0.3,tsm
30,115.38064044157694,10.74153808546881,9.026351966855302,23.671834100354936,0.3,tsm
1,10.503898932964214,3.24097191178267,2.102421708715231,5.051158124610901,0.05,TSM+LLM-COT-RF-HDELTA
5,22.5647790003082,4.750239888711748,3.889533819354414,9.459596201245683,0.05,TSM+LLM-COT-RF-HDELTA
20,89.74670140765248,9.47347356610301,7.786040219892524,20.319113593236978,0.05,TSM+LLM-COT-RF-HDELTA
30,110.35426974672767,10.50496405261473,8.851181428785106,23.220804480563995,0.05,TSM+LLM-COT-RF-HDELTA
1,10.60246143335493,3.25614210890049,2.1193555494986227,5.095092144529539,0.1,TSM+LLM-COT-RF-HDELTA
5,22.51732909657671,4.745242785841069,3.8753750109890763,9.424058088933343,0.1,TSM+LLM-COT-RF-HDELTA
20,89.70632035565431,9.471342056733793,7.793766554788658,20.336888801881546,0.1,TSM+LLM-COT-RF-HDELTA
30,111.28132807312309,10.548996543421705,8.882801425101706,23.30221583627405,0.1,TSM+LLM-COT-RF-HDELTA
1,10.890491693323517,3.3000744981475063,2.169327137588897,5.222150748097834,0.2,TSM+LLM-COT-RF-HDELTA
5,22.529618692751747,4.746537547808059,3.852770846245646,9.366419256739986,0.2,TSM+LLM-COT-RF-HDELTA
20,89.70658389780775,9.471355969332361,7.809219224580929,20.372439219170683,0.2,TSM+LLM-COT-RF-HDELTA
30,113.25276837651697,10.64202839577667,8.951341306817717,23.479326360855275,0.2,TSM+LLM-COT-RF-HDELTA
1,11.299728965541652,3.3615069486082656,2.235821978667829,5.394692051424214,0.3,TSM+LLM-COT-RF-HDELTA
5,22.684827493777515,4.7628591721546325,3.837865732261812,9.32884989054192,0.3,TSM+LLM-COT-RF-HDELTA
20,89.81488163482761,9.477071363814225,7.824671894373199,20.407989636459817,0.3,TSM+LLM-COT-RF-HDELTA
30,115.38064021404836,10.741538074877749,9.026351960284645,23.671834082844086,0.3,TSM+LLM-COT-RF-HDELTA
