horizon,mse,rmse,mae,mape,noise_level,model
1,10.50389893280893,3.2409719117587135,2.1024217086697528,5.051158124567452,0.05,tsm
5,22.564778996890468,4.750239888352005,3.8895338188996202,9.4595962002532,0.05,tsm
20,89.74670140863029,9.473473566154617,7.786040219614911,20.31911359271843,0.05,tsm
30,110.35426973471809,10.504964052043114,8.851181428340334,23.220804479448244,0.05,tsm
1,10.602461433175343,3.256142108872913,2.119355548556802,5.09509214229731,0.1,tsm
5,22.517329090280228,4.745242785177617,3.8753750101088196,9.424058086987275,0.1,tsm
20,89.70632035782566,9.47134205684842,7.793766554233434,20.336888800844445,0.1,tsm
30,111.28132805013041,10.548996542331901,8.882801424188767,23.30221583398945,0.1,tsm
1,10.89049169348828,3.30007449817247,2.1693271356903914,5.222150743592302,0.2,tsm
5,22.5296186823148,4.746537546708632,3.8527708442285356,9.366419252134081,0.2,tsm
20,89.70658390301357,9.47135596960718,7.809219223470483,20.372439217096485,0.2,tsm
30,113.25276833463768,10.642028393809033,8.951341305703908,23.47932635823309,0.2,tsm
1,11.299729023031405,3.361506957159453,2.23582198670122,5.394692071151471,0.3,tsm
5,22.68482748226598,4.762859170946164,3.837865728633762,9.328849881631704,0.3,tsm
20,89.81488170596995,9.477071367567618,7.824671896878164,20.407989642906546,0.3,tsm
30,115.38064044157694,10.74153808546881,9.026351966855302,23.671834100354936,0.3,tsm
1,10.504951761421749,3.241134332517205,2.1026474111031317,5.051588571021183,0.05,TSM+LLM-COT-RF-HDELTA
5,22.789511330248445,4.773836123103561,3.893200983957051,9.464196366626112,0.05,TSM+LLM-COT-RF-HDELTA
20,89.40879768189612,9.455622543328182,7.774219393990466,20.29962748619088,0.05,TSM+LLM-COT-RF-HDELTA
30,108.90328626286664,10.435673733059435,8.792995291750016,23.086374844357817,0.05,TSM+LLM-COT-RF-HDELTA
1,10.604257467604514,3.256417888970105,2.1194946841014084,5.095294248801961,0.1,TSM+LLM-COT-RF-HDELTA
5,22.739480337063327,4.768593119260998,3.8787865854539696,9.428057335970632,0.1,TSM+LLM-COT-RF-HDELTA
20,89.36710005796502,9.453417374577567,7.7819355029778965,20.317455809688834,0.1,TSM+LLM-COT-RF-HDELTA
30,109.81626552030637,10.479325623355082,8.824518927893687,23.167593884948825,0.1,TSM+LLM-COT-RF-HDELTA
1,10.892845271160736,3.3004310735358096,2.1698326436586926,5.2231352346434665,0.2,TSM+LLM-COT-RF-HDELTA
5,22.745761555486173,4.769251676676979,3.8529316958777162,9.363680116721952,0.2,TSM+LLM-COT-RF-HDELTA
20,89.36312029536676,9.453206878904469,7.797367720952758,20.353112456684748,0.2,TSM+LLM-COT-RF-HDELTA
30,111.75827285064138,10.57157854109978,8.892866089263833,23.344319779291965,0.2,TSM+LLM-COT-RF-HDELTA
1,11.301401596304554,3.361755731207215,2.2365821605817775,5.396224523242994,0.3,TSM+LLM-COT-RF-HDELTA
5,22.893833713633185,4.784750120291883,3.8397415787972053,9.329691548763073,0.3,TSM+LLM-COT-RF-HDELTA
20,89.46502784645388,9.458595447869302,7.812799938927618,20.38876910368066,0.3,TSM+LLM-COT-RF-HDELTA
30,113.8550119349172,10.6702864036031,8.967684022384894,23.53644287104269,0.3,TSM+LLM-COT-RF-HDELTA
